ligando,grupo,evidencia_funcional,atomos_pesados,modelo,semilla,modo,afinidad,contactos,atomos_del_ligando_en_contacto,fraccion_ligando_en_contacto,residuos,toca_trp334,dist_min_al_anillo_trp334,dist_min_a_un_atomo_del_anillo
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,2026,5,-4.517,5,20,0.77,331 334 335 337 338,True,3.74,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,2026,6,-4.464,4,15,0.58,331 334 335 338,True,3.8,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,2026,7,-4.282,3,17,0.65,327 331 334,True,3.55,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,2026,8,-4.124,5,15,0.58,331 334 335 338 341,True,5.23,3.97
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,2026,9,-4.071,3,16,0.62,331 334 338,True,3.72,3.66
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,777,1,-5.5,4,16,0.62,334 337 338 342,True,3.65,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,777,2,-5.385,7,17,0.65,331 334 335 338 341 342 346,True,3.72,3.51
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,777,3,-5.313,6,17,0.65,331 334 335 338 339 342,True,4.59,3.64
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,777,4,-5.008,6,14,0.54,313 324 327 328 331 334,True,5.92,3.66
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,777,5,-5.004,3,18,0.69,334 337 338,True,3.74,3.52
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,777,6,-4.93,5,20,0.77,331 334 335 337 338,True,3.77,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,777,7,-4.801,4,18,0.69,331 334 337 338,True,3.65,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,777,8,-4.751,4,15,0.58,331 334 335 338,True,3.68,3.63
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,2,777,9,-4.661,6,15,0.58,331 334 338 341 342 346,True,3.79,3.44
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,42,1,-4.745,4,17,0.65,334 337 338 342,True,3.98,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,42,2,-4.669,9,16,0.62,311 312 313 314 318 323 327 328 331,False,8.03,6.16
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,42,3,-4.646,9,13,0.5,311 312 313 314 323 324 327 328 331,False,8.8,6.96
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,42,4,-4.452,4,13,0.5,331 334 337 338,True,3.73,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,42,5,-4.438,8,15,0.58,312 313 314 323 324 327 328 331,False,9.67,7.55
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,42,6,-4.369,4,18,0.69,331 334 337 338,True,3.62,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,42,7,-4.366,4,15,0.58,327 328 331 334,True,5.77,3.68
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,42,8,-4.35,5,18,0.69,331 334 337 338 341,True,3.82,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,42,9,-4.105,6,15,0.58,331 334 337 338 341 342,True,4.59,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,2026,1,-5.151,4,17,0.65,334 337 338 342,True,4.01,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,2026,2,-5.109,9,15,0.58,311 312 313 314 323 324 327 328 331,False,8.74,6.84
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,2026,3,-5.097,9,14,0.54,311 312 313 314 318 323 327 328 331,False,8.06,6.22
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,2026,4,-5.093,7,14,0.54,307 311 312 313 323 327 331,False,6.63,4.44
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,2026,5,-4.882,4,14,0.54,331 334 337 338,True,3.77,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,2026,6,-4.777,5,19,0.73,331 334 337 338 341,True,3.74,3.65
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,2026,7,-4.677,7,16,0.62,312 313 323 324 327 328 331,False,8.09,6.42
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,2026,8,-4.651,4,16,0.62,331 334 338 342,True,4.53,3.57
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,777,1,-4.794,10,13,0.5,311 312 313 314 318 323 324 327 328 331,False,8.16,6.27
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,777,2,-4.776,4,17,0.65,334 337 338 342,True,3.98,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,777,3,-4.74,7,14,0.54,307 311 312 313 323 327 331,False,6.75,4.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,777,4,-4.71,9,15,0.58,311 312 313 314 323 324 327 328 331,False,8.71,6.86
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,777,5,-4.703,5,19,0.73,331 334 337 338 342,True,4.53,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,777,6,-4.487,5,16,0.62,331 334 335 337 338,True,3.57,3.54
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,777,7,-4.483,4,14,0.54,331 334 337 338,True,3.68,3.53
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,777,8,-4.407,5,18,0.69,331 334 337 338 341,True,3.8,3.64
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,3,777,9,-4.354,3,18,0.69,331 334 338,True,3.68,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,42,1,-5.354,8,15,0.58,331 334 335 338 341 347 348 349,True,3.7,3.57
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,42,2,-5.145,6,15,0.58,331 334 335 337 338 349,True,3.73,3.54
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,42,3,-5.067,5,20,0.77,331 334 335 337 338,True,3.66,3.52
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,42,4,-4.939,7,20,0.77,331 334 335 337 338 341 347,True,3.62,3.54
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,42,5,-4.863,8,19,0.73,331 334 335 337 338 341 347 349,True,5.63,4.38
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,42,6,-4.47,5,13,0.5,331 334 337 338 349,True,3.88,3.55
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,42,7,-4.367,6,14,0.54,331 334 338 347 348 349,True,6.19,4.7
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,42,8,-4.364,6,13,0.5,331 334 335 338 339 349,True,5.86,4.73
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,42,9,-4.157,5,16,0.62,331 334 335 337 338,True,3.96,3.45
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,2026,1,-5.173,9,20,0.77,331 334 335 337 338 341 347 348 349,True,3.71,3.54
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,2026,2,-5.001,6,15,0.58,331 334 335 337 338 349,True,3.75,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,2026,3,-4.81,6,21,0.81,331 334 335 337 338 349,True,3.63,3.51
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,2026,4,-4.628,8,19,0.73,331 334 335 337 338 341 347 349,True,5.57,4.34
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,2026,5,-4.288,10,18,0.69,331 334 335 337 338 339 341 347 348 349,True,6.17,4.85
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,2026,6,-4.269,6,17,0.65,331 334 335 337 338 349,True,3.57,3.48
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,4,2026,7,-4.115,5,10,0.38,331 334 335 337 338,True,4.21,3.63
