ligando,grupo,evidencia_funcional,atomos_pesados,residuo_flexible,modelo,semilla,modo,afinidad,contactos,atomos_del_ligando_en_contacto,fraccion_ligando_en_contacto,residuos,toca_trp334,dist_min_al_anillo_trp334,dist_min_a_un_atomo_del_anillo
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,42,8,-5.326,6,16,0.62,331 334 335 338 339 342,True,3.66,3.41
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,42,9,-5.276,7,17,0.65,331 334 335 338 341 342 346,True,3.77,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,2026,1,-5.128,6,20,0.77,331 334 335 338 339 342,True,4.44,3.52
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,2026,2,-5.123,7,21,0.81,333 334 337 338 341 342 346,True,3.72,3.49
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,2026,3,-5.107,8,19,0.73,331 334 335 338 339 342 346 348,True,3.66,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,2026,4,-5.052,5,20,0.77,334 337 338 341 342,True,3.65,3.55
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,2026,5,-5.011,7,16,0.62,331 334 335 338 341 342 346,True,3.84,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,2026,6,-5.008,7,19,0.73,331 334 335 338 341 342 346,True,3.8,3.48
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,2026,7,-4.963,5,19,0.73,334 338 341 342 346,True,3.63,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,2026,8,-4.933,6,16,0.62,331 334 335 338 339 342,True,3.64,3.36
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,2026,9,-4.894,4,16,0.62,327 330 331 334,True,3.81,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,777,1,-5.113,8,20,0.77,331 334 335 338 339 342 346 348,True,3.66,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,777,2,-5.108,5,20,0.77,331 334 335 338 342,True,4.44,3.5
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,777,3,-5.085,7,20,0.77,333 334 337 338 341 342 346,True,3.81,3.49
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,777,4,-5.051,6,20,0.77,334 337 338 341 342 346,True,3.67,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,777,5,-4.979,7,17,0.65,331 334 335 338 341 342 346,True,3.78,3.57
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,777,6,-4.943,5,18,0.69,334 338 341 342 346,True,3.6,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,777,7,-4.939,6,16,0.62,331 334 335 338 339 342,True,3.65,3.37
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,777,8,-4.917,4,16,0.62,327 330 331 334,True,3.85,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,2,777,9,-4.893,7,18,0.69,331 334 335 338 341 342 346,True,3.86,3.65
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,42,1,-4.908,5,18,0.69,326 327 330 331 334,True,3.69,3.36
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,42,2,-4.799,5,18,0.69,326 327 330 331 334,True,3.65,3.59
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,42,3,-4.778,9,14,0.54,311 312 313 314 323 324 327 328 331,False,9.11,7.37
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,42,4,-4.762,7,14,0.54,307 311 312 313 323 327 331,False,6.57,4.31
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,42,5,-4.624,4,21,0.81,327 330 331 334,True,3.61,3.57
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,42,6,-4.517,5,15,0.58,326 327 330 331 334,True,3.68,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,42,7,-4.494,4,12,0.46,327 330 331 334,True,3.71,3.56
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,42,8,-4.458,5,16,0.62,326 327 330 331 334,True,3.6,3.61
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,42,9,-4.316,4,17,0.65,327 330 331 334,True,3.71,3.55
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,2026,1,-5.077,5,18,0.69,326 327 330 331 334,True,3.7,3.36
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,2026,2,-4.966,5,18,0.69,331 334 337 338 342,True,4.27,3.43
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,2026,3,-4.962,9,13,0.5,311 312 313 314 323 324 327 328 331,False,9.18,7.41
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,2026,4,-4.954,5,18,0.69,326 327 330 331 334,True,3.69,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,2026,5,-4.82,9,13,0.5,311 312 313 314 318 323 327 328 331,False,8.67,7.06
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,2026,6,-4.807,4,21,0.81,327 330 331 334,True,3.61,3.58
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,2026,7,-4.68,4,12,0.46,327 330 331 334,True,3.71,3.45
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,2026,8,-4.628,4,16,0.62,327 330 331 334,True,3.68,3.62
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,2026,9,-4.62,4,14,0.54,327 330 331 334,True,3.79,3.6
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,777,1,-4.996,5,17,0.65,326 327 330 331 334,True,3.69,3.44
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,777,2,-4.914,5,17,0.65,331 334 337 338 342,True,4.37,3.47
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,777,3,-4.885,7,14,0.54,307 311 312 313 323 327 331,False,6.77,4.51
XL20,union medida,"union_directa (SPR + CETSA, dependiente del Trp334)",26,334,3,777,4,-4.88,5,18,0.69,326 327 330 331 334,True,3.65,3.59
