rbind_id,nombre,smiles,mw,pesados,estado
R-BIND (SM) 0071,Compound 2ab,CC(=O)c1ccc(C(=O)N[C@@H](CCCCN)C(=O)N2C[C@H](N)C[C@H](N)C2)cc1,392.52,28,entra (NC)
R-BIND (SM) 0072,NSC260594,C[n+]1ccc(Nc2ccc(NC(=O)c3ccc(Nc4cc[n+](C)c5ccc([N+](=O)[O-])cc45)cc3)cc2)cc1,506.56,38,entra (NC)
R-BIND (SM) 0073,p-Terphenyl 6b,COc1cc(CCN)c(-c2cc(C)c(-c3cc(CCN)c(O)c(CCN)c3)c(C)c2)c(CCN)c1,480.69,35,entra (NC)
R-BIND (SM) 0074,Phenylquinolone 5,Cn1c(-c2ccc(OCCCN3CCCCC3)c(N)c2)cc(=O)c2ccccc21,392.52,29,entra (NC)
R-BIND (SM) 0075,Phenylquinolone 6,CN1CCN(CCCOc2ccc(-c3cc(=O)c4ccccc4n3C)cc2N)CC1,407.54,30,entra (NC)
R-BIND (SM) 0076,Guanine Analog 25f,O=c1[nH]c(NC2CCCCC2)nc2[nH]cnc12,233.28,17,entra (NC)
R-BIND (SM) 0077,Lysine Analog 8,NCCS(=O)(=O)C[C@H](N)C(=O)O,197.23,12,entra (NC)
R-BIND (SM) 0078,Lysine Analog 9,NCCOC[C@H](N)C(=O)O,149.17,10,entra (NC)
R-BIND (SM) 0079,Lysine Analog 11,NC/C=C/CC(N)C(=O)O,145.18,10,entra (NC)
R-BIND (SM) 0080,GQC-05,Cc1c2ccncc2c(C)c2c1[nH]c1ccc(OCCN(C)C)cc12,334.44,25,entra (NC)
R-BIND (SM) 0081,EBAB,N=C(N)c1ccc(NCCNc2ccc(C(=N)N)cc2)cc1,298.39,22,entra (NC)
R-BIND (SM) 0082,Pentamidine-Like Compound 2-5,CC(=O)Nc1cccc(NC(=O)c2csc(NC(=O)c3ccc(Cl)cc3)n2)c1,414.86,28,entra (NC)
