LIGAND INFORMATION,,,,,IN VITRO ASSAYS,,,,,,,,,CELL-BASED ASSAYS,,,,,,,,ANIMAL MODELS,,,,,,,,,,,,,,
#,Previous ID #,SMILES,Name,DOI/PMC,Control,Assay Target(s) ,Observation,Ligand Concentration,Buffer,Category,Assay,Method/Notes,Control/Validation,Control,Cell Line,Observation,Concentration,Category,Assay,Method Notes,Control/Validation,Control,Organism,Observation,Administration/Concentration,Category,Assay,Method/Notes,Control/Validation,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,C,RNA3 (both the Drosha target site and adjacent target site),Kd = 20 ± 7 nM,Ligand = 1 - 100 nM,"11 mM Na2HPO4 (pH = 7.0), 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Binding,Fluorescence-Based Titration (Intrinsic),"RNA contains both the Drosha target site and the adjacent site for individual monomers. RNA was folded by heating at 60 °C for 5 min and slowly cooling to room temperature. The solutions were incubated for 30 min at room temperature and then transferred to a 96-well plate and fluorescence intensity measured.  This measurement was completed in the presence of PEG 8000, a molecular crowding agent that allows in vitro conditions to mimic the molecularly crowded environment in cells.",Compared to monomers,,4175 Lung Metastatic Breast Cancer,"Inhibits biogenesis of mature (decreased), pre-miR-96 (decreased), and pri-miR-96 (increased)",Ligand = 50 nM,On-Target Effect,qRT-PCR,Derived from MDA-MB-231. ,"Analyzed effect on pri- and precursor microRNA-96, used vehicle control",,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,C,RNA4 (GG to GC loop mutation),Kd = 1.2 ± 0.3 µM,Ligand = 1 - 100 nM,"12 mM Na2HPO4 (pH = 7.0), 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Binding,Fluorescence-Based Titration (Intrinsic),RNA contained GG to GC loop mutation. RNA was folded by heating at 60 °C for 5 min and slowly cooling to room temperature. The solutions were incubated for 30 min at room temperature and then transferred to a 96-well plate and fluorescence intensity measured. ,Compared to monomers,,4175 Lung Metastatic Breast Cancer,Increases FOXO1 levels,Ligand = 50 nM,Translational Activity,Western Blot,-,Compared to control (B-actin) and vehicle groups,,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,C,RNA5 (UU loop mutant to UA loop),Kd = 1.5 ± 0.2 µM,Ligand = 1 - 100 nM,"13 mM Na2HPO4 (pH = 7.0), 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Binding,Fluorescence-Based Titration (Intrinsic),RNA contained UU to UA loop mutation. RNA was folded by heating at 60 °C for 5 min and slowly cooling to room temperature. The solutions were incubated for 30 min at room temperature and then transferred to a 96-well plate and fluorescence intensity measured. ,Compared to monomers,,4175 Lung Metastatic Breast Cancer,"Triggers apoptosis, forced expression of pri-miR-96 decreased apoptosis",Ligand = 50 nM,Apoptosis,Annexin V,-,Conducted with or without forced overexpression of pri-miR-96,,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,C,AT-rich DNA hairpin,Kd > 50 µM,Ligand = 1 - 100 nM,"14 mM Na2HPO4 (pH = 7.0), 190 mM NaCl, 1 mM EDTA, and 40 µg/mL BSA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),RNA was folded by heating at 60 °C for 5 min and slowly cooling to room temperature. The solutions were incubated for 30 min at room temperature and then transferred to a 96-well plate and fluorescence intensity measured. ,Compared to monomers,,4175 Lung Metastatic Breast Cancer,Only miR-96 expression was affected,Ligand = 50 nM,On-Target Effect,qRT-PCR,Conducted using TargetScan,Compared to vehicle,,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,,,,,,,,,,C,MDA-MB-231 TNBC Cells,Observed an approximately five-fold enrichment of pri-miR-96,Ligand = 50 nM,On-Target Effect,Chem-CLIP,Ligand is appended with a nucleic acid reactive module that allows small molecules to be conjugated to their cellular RNA targets and a biotin module that allows for isolation of biotinylated products,"Tested appended ligand for binding to pri-miR-96 in vitro, had controls in which the RNA-binding modules are removed for experiment",,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,,,,,,,,,,C,MDA-MB-231 TNBC Cells,Reduced the amount of pri-miR-96 pulled down by ligand in a dose-dependent manner,"Ligand = 1000, 5000 nM; Competitive probe = 50 nM",On-Target Effect,Competitive Chem-CLIP,Cells are cotreated with the Chem-CLIP probe and the unreactive parent compound; targets that are bound selectively by the parent compound are depleted by the pull-down; accounts for no-selective effects due to cross-linking and purification modules,-,,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,,,,,,,,,,C,TA98 Salmonella Typhimurim Strain,Compound is not mutagenic under the conditions and strain evaluated,"Ligand = 0.006, 0.003, 0.02, 0.08, 0.4 2, 10 µM",Pharmacological Profiling,Ames Test,Strains were used to detect frameshift mutations and base pair substitutions; mutagenicity was evaluated after 5 d of exposure,"Mutagenic potential was studied in the presence (+S9) and absence (?S9) of rat liver extract S9. Nitrofluorene, amino anthracene, and sodium azide were used as positive controls.",,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1073/pnas.1523975113,,,,,,,,,,C,TA100 Salmonella Typhimurim  Strain,Compound is not mutagenic under the conditions and strain evaluated,"Ligand = 0.006, 0.003, 0.02, 0.08, 0.4 2, 10 µM",Pharmacological Profiling,Ames Test,Strains were used to detect frameshift mutations and base pair substitutions; mutagenicity was evaluated after 5 d of exposure,"Mutagenic potential was studied in the presence (+S9) and absence (?S9) of rat liver extract S9. Nitrofluorene, amino anthracene, and sodium azide were used as positive controls.",,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1021/jacs.8b10558,,,,,,,,,,C,MCF-7 Cells,No effect on mir-515-5p levels,Ligand = 500 nM,Off-Target Effect,RT-qPCR,After 48 hours of treatment,Compared to untreated cells and active compound 2,,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1021/acschembio.8b00827,,pri-miR-96,Kd = 39 ± 18 nM,Ligand = NR; RNA = 5 nM,NR,Binding,Microscale Thermophoresis,Cy5-labeled RNA was used,Compared to bleomycin-ligand conjugate,C,MDA-MB-231 TNBC Cells,No effect on DNA damage and double-stranded breaks,Ligand = 500 nM,Off-Target Effect,Fluorescence Microscopy,"An antibody of the gamma H2A histone family, member X, was used as a marker for DNA double-stranded breaks visualized as nuclear foci. Imaged with antibody filter and DAPI filter, then merged. Cells were treated with compound for 12 h.",Compared to bleomycin-ligand conjugate and bleomycin alone. Bleomycin is a known DNA binder and cleavage agent. Also compared to vehicle. ,,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1021/acschembio.8b00827,C,AT-rich DNA hairpin,Kd > 30 µM,Ligand = NR; DNA = 5 nM,NR,Binding,Microscale Thermophoresis,Cy5-labeled DNA was used,Compared to bleomycin-ligand conjugate,,MDA-MB-231 TNBC Cells,Increased levels of pri-miR-96 and diminished the cleaving capacity of bleomycin-ligand conjugate,"Ligand = 5, 50, and 500 nM",On-Target Effect,RT-qPCR,Used to outcompete bleomycin-ligand conjugate. Cells grown to 70% confluency. Compound treatment conducted for 24 h.,Compared to bleomycin-ligand conjugate alone and untreated cells. Normalized to U6 small nucleolar RNA.,,,,,,,,,,,,,,,
