ligand,target,affinity,mmgbsa_dG,e_complex,e_receptor,e_ligand,error,papel,quimia
DEC_CHEMBL1373785,SOD1,-5.264,-17.11,-792.84,-776.84,1.1,,fondo,emparejado con diazepanoquinazolina_4MQ (18 atomos)
DEC_CHEMBL1461506,SOD1,-5.847,-15.18,-851.23,-765.33,-70.72,,fondo,emparejado con diazepanoquinazolina_4MQ (18 atomos)
DECM_CHEMBL1969867,SOD1,-4.916,-22.32,-1136.41,-1074.66,-39.44,,fondo,emparejado con diazepanoquinazolina_4MQ (18 atomos)
DEC_CHEMBL1440455,SOD1,-5.031,-14.23,-972.17,-823.08,-134.86,,fondo,emparejado con diazepanoquinazolina_4MQ (18 atomos)
DEC_5-HYDROXYFLAVONE,SOD1,-5.964,-16.44,-960.0,-870.84,-72.71,,fondo,emparejado con diazepanoquinazolina_4MQ (18 atomos)
DECH_CHEMBL1256841,SOD1,-5.806,-23.58,-1085.07,-1034.42,-27.07,,fondo,emparejado con cf3quinazolina_ZO0 (22 atomos)
DECH_CHEMBL1310629,SOD1,-5.743,-14.97,-800.08,-770.78,-14.33,,fondo,emparejado con cf3quinazolina_ZO0 (22 atomos)
DECH_CHEMBL1486005,SOD1,-5.556,-14.7,-372.4,-332.89,-24.81,,fondo,emparejado con cf3quinazolina_ZO0 (22 atomos)
DECH_CHEMBL1601733,SOD1,-5.950,-20.48,-1149.35,-1118.78,-10.09,,fondo,emparejado con cf3quinazolina_ZO0 (22 atomos)
DECH_CHEMBL1457,SOD1,-5.268,-11.48,-809.63,-848.24,50.09,,fondo,emparejado con cf3quinazolina_ZO0 (22 atomos)
DECH_CHEMBL294199,SOD1,-5.543,-34.84,-1169.89,-1106.16,-28.89,,fondo,emparejado con cf3quinazolina_ZO0 (22 atomos)
DECH_CHEMBL953,SOD1,-5.035,-19.75,-819.62,-778.67,-21.19,,fondo,repartido por tamaño (cuantil 33/45)
DECH_CHEMBL1418679,SOD1,-5.499,-15.29,-806.78,-694.37,-97.12,,fondo,emparejado con naftalenoaminoalcohol_946 (23 atomos)
DECH_CHEMBL1485521,SOD1,-4.951,-14.89,-848.97,-839.94,5.86,,fondo,emparejado con naftalenoaminoalcohol_946 (23 atomos)
DECH_CHEMBL1311703,SOD1,-6.101,-18.35,-790.62,-762.95,-9.32,,fondo,emparejado con naftalenoaminoalcohol_946 (23 atomos)
DECH_CHEMBL1507664,SOD1,-5.408,-19.02,-877.33,-778.11,-80.2,,fondo,emparejado con naftalenoaminoalcohol_946 (23 atomos)
DEC_CHEMBL1322610,SOD1,-5.172,-19.54,-742.1,-691.37,-31.19,,fondo,emparejado con naftalenoaminoalcohol_946 (23 atomos)
DECH_CHEMBL8488,SOD1,-5.162,-3.68,-1137.23,-1021.91,-111.64,,fondo,emparejado con naftalenoaminoalcohol_946 (23 atomos)
DECH_CHEMBL656,SOD1,-5.621,-14.19,7542.65,7480.24,76.6,,fondo,repartido por tamaño (cuantil 34/45)
DECH_CHEMBL1201251,SOD1,-6.048,-27.91,-1111.48,-1070.54,-13.03,,fondo,repartido por tamaño (cuantil 35/45)
DEC_CHEMBL1558140,SOD1,-5.507,-18.14,-374.41,-371.33,15.07,,fondo,repartido por tamaño (cuantil 36/45)
DECH_CHEMBL490,SOD1,-6.213,-21.03,-844.79,-833.36,9.59,,fondo,repartido por tamaño (cuantil 37/45)
DECH_CHEMBL105,SOD1,-5.134,-5.9,-227.85,-439.43,217.48,,fondo,repartido por tamaño (cuantil 38/45)
DEC_CHEMBL2143380,SOD1,-5.739,-23.93,-1027.26,-1016.61,13.28,,fondo,repartido por tamaño (cuantil 39/45)
DECH_CHEMBL3309988,SOD1,-6.202,-19.8,-886.0,-788.7,-77.49,,fondo,repartido por tamaño (cuantil 40/45)
DECH_CHEMBL25014,SOD1,-6.372,-15.2,-905.87,-941.83,51.17,,fondo,repartido por tamaño (cuantil 41/45)
DEC_CHEMBL1570226,SOD1,-5.149,-15.36,-1089.46,-1038.13,-35.96,,fondo,repartido por tamaño (cuantil 42/45)
DECM_CHEMBL473417,SOD1,-5.952,-16.56,-1127.07,-1022.42,-88.1,,fondo,repartido por tamaño (cuantil 43/45)
DECM_CHEMBL17224,SOD1,-6.699,-23.75,-957.86,-753.12,-180.98,,fondo,emparejado con paliperidona_K4I (31 atomos)
DECM_CHEMBL20651,SOD1,-7.138,-10.13,-752.46,-661.84,-80.49,,fondo,repartido por tamaño (cuantil 44/45)
DECM_CHEMBL4435214,SOD1,-6.652,-33.73,-1429.97,-935.97,-460.27,,fondo,emparejado con paliperidona_K4I (31 atomos)
DECM_CHEMBL9250,SOD1,-7.229,-18.12,-384.05,-387.17,21.24,,fondo,emparejado con paliperidona_K4I (31 atomos)
DECM_CHEMBL15139,SOD1,-6.289,-26.15,-1104.21,-1048.81,-29.25,,fondo,emparejado con paliperidona_K4I (31 atomos)
DEC_CHEMBL1472702,SOD1,-6.677,-11.69,-1047.12,-1024.8,-10.63,,fondo,emparejado con paliperidona_K4I (31 atomos)
DECM_CHEMBL14043,SOD1,-7.187,-25.11,-1062.26,-1058.86,21.72,,fondo,emparejado con paliperidona_K4I (31 atomos)
DECM_CHEMBL1431783,SOD1,-5.940,-20.98,-765.56,-720.88,-23.7,,fondo,emparejado con Lig9_6B3 (33 atomos)
DEC_CHEMBL1441905,SOD1,-5.269,-19.68,-780.37,-720.29,-40.41,,fondo,emparejado con Lig9_6B3 (33 atomos)
DEC_CHEMBL1431783,SOD1,-5.986,-19.91,-766.36,-722.65,-23.8,,fondo,emparejado con Lig9_6B3 (33 atomos)
DEC_CHEMBL1731670,SOD1,-5.392,-25.91,-957.99,-950.07,17.99,,fondo,emparejado con Lig9_6B3 (33 atomos)
DECM_CHEMBL4435669,SOD1,-6.339,-21.18,-1164.02,-976.47,-166.36,,fondo,emparejado con Lig9_6B3 (33 atomos)
DECM_CHEMBL28286,SOD1,-5.793,-16.54,-830.03,-758.25,-55.24,,fondo,emparejado con Lig9_6B3 (33 atomos)
DECM_CHEMBL4435035,SOD1,-6.600,-24.49,-969.78,-778.35,-166.95,,fondo,repartido por tamaño (cuantil 45/45)
