ligando,nombre,estructura,copias,desvio_superposicion_A,atomos_superpuestos,dist_centroide_caja_A,E_nativa_caja_proyecto,E_nativa_caja_propia,E_nativa_minimizada,deriva_minimizacion_A,E_dock,delta_nativa_menos_dock
4MQ,diazepanoquinazolina,4A7Q,A1000,0.82,140,7.86,0.746,0.746,-0.085,9.95,-10.07,10.82
ZO0,cf3-diazepanoquinazolina,2WZ6,F206,0.75,140,5.62,7.026,7.026,-3.878,4.93,-9.83,16.86
12I,piperazinaquinazolina,4A7G,A1001,0.86,138,5.84,7.656,7.656,-1.474,6.31,-4.89,12.55
