ligando,reparado,atomos_smiles,atomos_preparado,motivo
CHEMBL4533349,1,36,36,ya estaba
CHEMBL4533352,1,38,38,ya estaba
CHEMBL4533414,0,43,43,tipos no validos: {'B': 1}
CHEMBL4533447,1,29,29,ya estaba
CHEMBL4533456,1,34,34,ya estaba
CHEMBL4533505,1,29,29,ya estaba
CHEMBL4533512,1,27,27,ya estaba
CHEMBL4533524,1,31,31,ya estaba
CHEMBL4533526,1,51,51,ya estaba
CHEMBL4533588,1,182,182,ya estaba
CHEMBL4533594,1,17,17,ya estaba
CHEMBL4533607,1,19,19,ya estaba
CHEMBL4533620,1,43,43,ya estaba
CHEMBL4533696,1,22,22,ya estaba
CHEMBL4533702,1,18,18,ya estaba
CHEMBL4533719,1,18,18,ya estaba
CHEMBL4533721,1,38,38,ya estaba
CHEMBL4533733,1,58,58,ya estaba
CHEMBL4533744,1,36,36,ya estaba
CHEMBL4533797,1,30,30,ya estaba
CHEMBL4533818,1,41,41,ya estaba
CHEMBL4533868,1,20,20,ya estaba
CHEMBL4533895,1,26,26,ya estaba
CHEMBL4533909,1,37,37,ya estaba
CHEMBL4533933,1,20,20,ya estaba
CHEMBL4533957,1,24,24,ya estaba
CHEMBL4534005,1,36,36,ya estaba
CHEMBL4534028,1,170,170,
CHEMBL4534061,1,18,18,ya estaba
CHEMBL4534065,1,36,36,ya estaba
CHEMBL4534096,1,19,19,ya estaba
CHEMBL4534136,1,37,37,ya estaba
CHEMBL4534141,1,24,24,ya estaba
CHEMBL4534142,1,24,24,ya estaba
CHEMBL4534156,1,20,20,ya estaba
CHEMBL4534186,1,28,28,ya estaba
CHEMBL4534235,1,20,20,ya estaba
CHEMBL4534239,1,20,20,ya estaba
CHEMBL4534273,1,20,20,ya estaba
CHEMBL4534285,1,46,46,ya estaba
CHEMBL4534286,1,57,57,ya estaba
CHEMBL4534297,1,23,23,ya estaba
CHEMBL4534315,1,16,16,ya estaba
CHEMBL4534347,1,40,40,ya estaba
CHEMBL4534388,1,30,30,ya estaba
CHEMBL4534398,1,32,32,ya estaba
CHEMBL4534438,1,23,23,ya estaba
CHEMBL4534439,1,38,38,ya estaba
CHEMBL4534477,1,141,141,
CHEMBL4534480,1,22,22,ya estaba
CHEMBL4534494,1,25,25,ya estaba
CHEMBL4534586,1,19,19,ya estaba
CHEMBL4534588,1,26,26,ya estaba
CHEMBL4534611,1,37,37,ya estaba
CHEMBL4534614,1,20,20,ya estaba
CHEMBL4534622,1,25,25,ya estaba
CHEMBL4534646,1,36,36,ya estaba
CHEMBL4534669,1,55,55,ya estaba
CHEMBL4534704,1,30,30,ya estaba
CHEMBL4534753,1,61,61,ya estaba
CHEMBL4548479,1,17,17,ya estaba
CHEMBL4548517,1,26,26,ya estaba
CHEMBL4548518,1,20,20,ya estaba
CHEMBL4562726,1,45,45,ya estaba
CHEMBL4562732,1,32,32,ya estaba
CHEMBL4562733,1,17,17,ya estaba
CHEMBL4562735,1,17,17,ya estaba
CHEMBL4562756,1,56,56,ya estaba
CHEMBL4562765,1,53,53,ya estaba
CHEMBL4562802,1,34,34,ya estaba
CHEMBL4562804,1,58,58,ya estaba
CHEMBL4562861,1,33,33,ya estaba
CHEMBL4562885,1,17,17,ya estaba
CHEMBL4563096,1,27,27,ya estaba
CHEMBL4563203,1,112,112,ya estaba
CHEMBL4564073,1,15,15,ya estaba
CHEMBL4564138,1,18,18,ya estaba
CHEMBL4564139,1,42,42,ya estaba
CHEMBL4564152,1,69,69,ya estaba
CHEMBL4564178,1,39,39,ya estaba
CHEMBL4564201,1,27,27,ya estaba
CHEMBL4564257,1,36,36,ya estaba
CHEMBL4564271,1,30,30,ya estaba
CHEMBL4564342,1,26,26,ya estaba
CHEMBL4564347,1,17,17,ya estaba
CHEMBL4564364,1,34,34,ya estaba
CHEMBL4564386,1,29,29,ya estaba
CHEMBL4564420,1,51,51,ya estaba
CHEMBL4564447,1,17,17,ya estaba
CHEMBL4564474,1,112,112,ya estaba
CHEMBL4564483,1,33,33,ya estaba
CHEMBL4564496,1,31,31,ya estaba
CHEMBL4564514,1,39,39,ya estaba
CHEMBL4564519,1,28,28,ya estaba
CHEMBL4564578,1,74,74,ya estaba
CHEMBL4564611,1,23,23,ya estaba
CHEMBL4564660,1,57,57,ya estaba
CHEMBL4564687,1,35,35,ya estaba
CHEMBL4564700,1,134,134,ya estaba
CHEMBL4564727,1,121,121,ya estaba
CHEMBL4564729,1,41,41,ya estaba
CHEMBL4564733,1,18,18,ya estaba
CHEMBL4564846,1,20,20,ya estaba
CHEMBL4564854,1,49,49,ya estaba
CHEMBL4564923,1,57,57,ya estaba
CHEMBL4564982,1,32,32,ya estaba
CHEMBL4564987,1,25,25,ya estaba
CHEMBL4565082,1,34,34,ya estaba
CHEMBL4565119,1,19,19,ya estaba
CHEMBL4565134,1,10,10,ya estaba
CHEMBL4565156,1,25,25,ya estaba
CHEMBL4565164,1,66,66,ya estaba
CHEMBL4565173,1,23,23,ya estaba
CHEMBL4565176,1,59,59,ya estaba
CHEMBL4565187,1,72,72,ya estaba
CHEMBL4565201,0,38,38,tipos no validos: {'B': 1}
CHEMBL4565743,1,62,62,ya estaba
CHEMBL4566114,1,20,20,ya estaba
CHEMBL4566116,1,51,51,ya estaba
CHEMBL4566127,1,29,29,ya estaba
CHEMBL4566128,1,44,44,ya estaba
CHEMBL4566134,1,40,40,ya estaba
CHEMBL4566142,1,23,23,ya estaba
CHEMBL4566150,1,61,61,ya estaba
CHEMBL4566163,1,70,70,ya estaba
CHEMBL4566166,1,16,16,ya estaba
CHEMBL4566174,1,43,43,ya estaba
CHEMBL4566193,1,31,31,ya estaba
CHEMBL4566196,1,12,12,ya estaba
CHEMBL4566209,1,20,20,ya estaba
CHEMBL4566331,1,14,14,ya estaba
CHEMBL4566351,1,26,26,ya estaba
CHEMBL4566377,1,20,20,ya estaba
CHEMBL4566396,1,19,19,ya estaba
CHEMBL4566401,1,26,26,ya estaba
CHEMBL4566429,1,18,18,ya estaba
CHEMBL4566430,1,43,43,ya estaba
CHEMBL4566439,1,39,39,ya estaba
CHEMBL4566448,1,19,19,ya estaba
CHEMBL4566461,1,20,20,ya estaba
CHEMBL4566464,1,29,29,ya estaba
CHEMBL4566465,1,26,26,ya estaba
CHEMBL4566470,1,32,32,ya estaba
CHEMBL4566484,1,28,28,ya estaba
CHEMBL4566518,1,46,46,ya estaba
CHEMBL4566532,1,24,24,ya estaba
CHEMBL4566542,1,34,34,ya estaba
CHEMBL4566585,1,57,57,ya estaba
CHEMBL4566634,1,36,36,ya estaba
CHEMBL4567654,1,26,26,ya estaba
CHEMBL4567712,1,36,36,ya estaba
CHEMBL4567728,1,30,30,ya estaba
CHEMBL4567730,1,55,55,ya estaba
CHEMBL4567791,1,31,31,ya estaba
CHEMBL4567808,1,20,20,ya estaba
CHEMBL4567819,1,36,36,ya estaba
CHEMBL4567848,1,55,55,ya estaba
CHEMBL4567849,1,17,17,ya estaba
CHEMBL4567889,1,30,30,ya estaba
CHEMBL4567906,1,22,22,ya estaba
CHEMBL4567939,1,22,22,ya estaba
CHEMBL4567942,1,41,41,ya estaba
CHEMBL4568016,1,16,16,ya estaba
CHEMBL4568066,1,44,44,ya estaba
CHEMBL4568139,1,24,24,ya estaba
CHEMBL4568148,1,43,43,ya estaba
CHEMBL4568150,1,15,15,ya estaba
CHEMBL4568153,1,75,75,ya estaba
CHEMBL4568160,1,46,46,ya estaba
CHEMBL4568162,1,34,34,ya estaba
CHEMBL4568192,1,24,24,ya estaba
CHEMBL4568221,1,19,19,ya estaba
CHEMBL4568231,1,50,50,ya estaba
CHEMBL4568239,1,20,20,ya estaba
CHEMBL4568256,1,26,26,ya estaba
CHEMBL4568282,1,26,26,ya estaba
CHEMBL4568332,1,29,29,ya estaba
CHEMBL4568337,1,69,69,ya estaba
CHEMBL4568338,1,25,25,ya estaba
CHEMBL4568390,1,20,20,ya estaba
CHEMBL4568397,1,25,25,ya estaba
CHEMBL4568409,1,22,22,ya estaba
CHEMBL4568433,1,18,18,ya estaba
CHEMBL4568450,1,22,22,ya estaba
CHEMBL4568460,1,22,22,ya estaba
CHEMBL4568539,1,75,75,ya estaba
CHEMBL4568561,1,26,26,ya estaba
CHEMBL4568572,1,51,51,ya estaba
CHEMBL4568626,1,28,28,ya estaba
CHEMBL4568666,1,44,44,ya estaba
CHEMBL4568686,1,43,43,ya estaba
CHEMBL4568724,1,31,31,ya estaba
CHEMBL4568764,1,63,63,ya estaba
CHEMBL4568792,1,29,29,ya estaba
CHEMBL4568811,1,18,18,ya estaba
CHEMBL4568850,1,24,24,ya estaba
CHEMBL4568856,1,19,19,ya estaba
CHEMBL4568862,1,17,17,ya estaba
CHEMBL4569183,1,27,27,ya estaba
CHEMBL4569244,0,37,37,tipos no validos: {'B': 1}
CHEMBL4569259,1,27,27,ya estaba
CHEMBL4569295,1,20,20,ya estaba
CHEMBL4569307,1,17,17,ya estaba
CHEMBL4569312,1,32,32,ya estaba
CHEMBL4569314,1,22,22,ya estaba
CHEMBL4569341,1,24,24,ya estaba
CHEMBL4569350,1,20,20,ya estaba
CHEMBL4569360,1,32,32,ya estaba
CHEMBL4569367,1,33,33,ya estaba
CHEMBL4569381,1,26,26,ya estaba
CHEMBL4569388,1,31,31,ya estaba
CHEMBL4569395,1,27,27,ya estaba
CHEMBL4569440,1,56,56,ya estaba
CHEMBL4569449,1,38,38,ya estaba
CHEMBL4570011,1,35,35,ya estaba
CHEMBL4570020,1,29,29,ya estaba
CHEMBL4570028,1,32,32,ya estaba
CHEMBL4570039,1,22,22,ya estaba
CHEMBL4570043,1,18,18,ya estaba
CHEMBL4570181,1,63,63,ya estaba
CHEMBL4570214,1,36,36,ya estaba
CHEMBL4570272,1,44,44,ya estaba
CHEMBL4570290,1,35,35,ya estaba
CHEMBL4570336,1,29,29,ya estaba
CHEMBL4570364,1,32,32,ya estaba
CHEMBL4570403,0,38,38,tipos no validos: {'B': 1}
CHEMBL4570411,1,26,26,ya estaba
CHEMBL4570438,1,31,31,ya estaba
CHEMBL4570454,1,33,33,ya estaba
CHEMBL4570466,1,20,20,ya estaba
CHEMBL4570468,1,44,44,ya estaba
CHEMBL4570553,1,17,17,ya estaba
CHEMBL4570620,1,18,18,ya estaba
CHEMBL4570643,1,33,33,ya estaba
CHEMBL4570708,1,20,20,ya estaba
CHEMBL4570709,1,18,18,ya estaba
CHEMBL4570734,1,24,24,ya estaba
CHEMBL4570756,1,30,30,ya estaba
CHEMBL4570762,1,30,30,ya estaba
CHEMBL4570804,1,13,13,ya estaba
CHEMBL4570816,1,24,24,ya estaba
CHEMBL4570821,1,26,26,ya estaba
CHEMBL4570873,1,23,23,ya estaba
CHEMBL4570880,1,15,15,ya estaba
CHEMBL4570883,1,69,69,ya estaba
CHEMBL4570886,1,27,27,ya estaba
CHEMBL4570897,1,18,18,ya estaba
CHEMBL4570930,1,27,27,ya estaba
CHEMBL4570998,1,16,16,ya estaba
CHEMBL4571005,1,28,28,ya estaba
CHEMBL4571033,1,35,35,ya estaba
CHEMBL4571128,1,29,29,ya estaba
CHEMBL4571133,1,45,45,ya estaba
CHEMBL4571146,1,40,40,ya estaba
CHEMBL4571152,1,18,18,ya estaba
CHEMBL4571171,1,41,41,ya estaba
CHEMBL4571181,1,48,48,ya estaba
CHEMBL4571198,1,20,20,ya estaba
CHEMBL4571204,1,27,27,ya estaba
CHEMBL4571214,1,82,82,ya estaba
CHEMBL4571217,1,30,30,ya estaba
CHEMBL4571234,1,75,75,ya estaba
CHEMBL4571275,1,12,12,ya estaba
CHEMBL4571291,1,17,17,ya estaba
CHEMBL4571327,1,29,29,ya estaba
CHEMBL4571336,1,19,19,ya estaba
CHEMBL4571340,1,27,27,ya estaba
CHEMBL4571350,1,12,12,ya estaba
CHEMBL4571374,1,43,43,ya estaba
CHEMBL4571375,1,31,31,ya estaba
CHEMBL4571379,1,18,18,ya estaba
CHEMBL4571398,1,20,20,ya estaba
CHEMBL4571464,1,72,72,ya estaba
CHEMBL4571487,1,43,43,ya estaba
CHEMBL4571515,1,29,29,ya estaba
CHEMBL4571523,1,18,18,ya estaba
CHEMBL4571538,1,14,14,ya estaba
CHEMBL4571541,1,20,20,ya estaba
CHEMBL4571570,1,26,26,ya estaba
CHEMBL4571641,1,19,19,ya estaba
CHEMBL4571710,1,33,33,ya estaba
CHEMBL4571718,1,26,26,ya estaba
CHEMBL4571787,1,31,31,ya estaba
CHEMBL4571826,1,20,20,ya estaba
CHEMBL4571853,1,20,20,ya estaba
CHEMBL4571913,1,23,23,ya estaba
CHEMBL4571932,1,20,20,ya estaba
CHEMBL4571997,1,25,25,ya estaba
CHEMBL4572008,1,80,80,ya estaba
CHEMBL4572045,1,35,35,ya estaba
CHEMBL4572080,1,24,24,ya estaba
CHEMBL4572101,1,33,33,ya estaba
CHEMBL4572105,1,19,19,ya estaba
CHEMBL4572135,1,23,23,ya estaba
CHEMBL4572146,1,22,22,ya estaba
CHEMBL4572225,1,28,28,ya estaba
CHEMBL4572234,1,33,33,ya estaba
CHEMBL4572242,1,36,36,ya estaba
CHEMBL4572248,1,34,34,ya estaba
CHEMBL4572257,1,26,26,ya estaba
CHEMBL4572270,1,27,27,ya estaba
CHEMBL4572692,1,26,26,ya estaba
CHEMBL4572694,1,26,26,ya estaba
CHEMBL4572721,1,46,46,ya estaba
CHEMBL4572738,1,25,25,ya estaba
CHEMBL4572749,1,16,16,ya estaba
CHEMBL4572769,1,36,36,ya estaba
CHEMBL4572789,1,20,20,ya estaba
CHEMBL4572821,1,30,30,ya estaba
CHEMBL4572830,1,33,33,ya estaba
CHEMBL4572845,1,68,68,ya estaba
CHEMBL4572846,1,32,32,ya estaba
CHEMBL4572857,1,26,26,ya estaba
CHEMBL4572867,1,46,46,ya estaba
CHEMBL4572871,1,26,26,ya estaba
CHEMBL4572874,1,24,24,ya estaba
CHEMBL4572887,1,29,29,ya estaba
CHEMBL4572889,1,26,26,ya estaba
CHEMBL4572904,1,18,18,ya estaba
CHEMBL4572919,1,26,26,ya estaba
CHEMBL4572986,1,19,19,ya estaba
CHEMBL4573004,1,24,24,ya estaba
CHEMBL4573050,1,80,80,ya estaba
CHEMBL4573052,1,19,19,ya estaba
CHEMBL4573106,1,64,64,ya estaba
CHEMBL4573118,1,12,12,ya estaba
CHEMBL4573148,1,17,17,ya estaba
CHEMBL4573174,1,19,19,ya estaba
CHEMBL4573201,1,16,16,ya estaba
CHEMBL4573280,1,31,31,ya estaba
CHEMBL4573312,1,28,28,ya estaba
CHEMBL4573323,1,20,20,ya estaba
CHEMBL4573360,1,25,25,ya estaba
CHEMBL4573372,1,24,24,ya estaba
CHEMBL4573377,1,37,37,ya estaba
CHEMBL4573378,1,24,24,ya estaba
CHEMBL4573419,1,31,31,ya estaba
CHEMBL4573477,1,58,58,ya estaba
CHEMBL4573483,1,26,26,ya estaba
CHEMBL4573492,1,33,33,ya estaba
CHEMBL4573494,1,34,34,ya estaba
CHEMBL4573510,1,48,48,ya estaba
CHEMBL4573525,1,16,16,ya estaba
CHEMBL4573545,1,161,161,
CHEMBL4573552,1,57,57,ya estaba
CHEMBL4573593,1,25,25,ya estaba
CHEMBL4573619,1,35,35,ya estaba
CHEMBL4573658,1,33,33,ya estaba
CHEMBL4573704,1,39,39,ya estaba
CHEMBL4573706,1,40,40,ya estaba
CHEMBL4573737,1,68,68,ya estaba
CHEMBL4573751,1,20,20,ya estaba
CHEMBL4573752,0,39,39,tipos no validos: {'B': 1}
CHEMBL4573785,1,23,23,ya estaba
CHEMBL4573811,1,30,30,ya estaba
CHEMBL4573827,1,13,13,ya estaba
CHEMBL4573851,1,23,23,ya estaba
CHEMBL4573877,1,23,23,ya estaba
CHEMBL4573881,1,33,33,ya estaba
CHEMBL4573882,1,45,45,ya estaba
CHEMBL4573898,1,19,19,ya estaba
CHEMBL4573906,1,41,41,ya estaba
CHEMBL4573910,1,23,23,ya estaba
CHEMBL4573915,1,27,27,ya estaba
CHEMBL4573931,1,24,24,ya estaba
CHEMBL4573971,1,9,9,ya estaba
CHEMBL4573973,1,67,67,ya estaba
CHEMBL4573980,1,26,26,ya estaba
CHEMBL4574086,1,29,29,ya estaba
CHEMBL4574093,1,19,19,ya estaba
CHEMBL4574214,1,20,20,ya estaba
CHEMBL4574220,1,25,25,ya estaba
CHEMBL4574293,1,20,20,ya estaba
CHEMBL4574295,1,32,32,ya estaba
CHEMBL4574396,1,52,52,ya estaba
CHEMBL4574397,1,25,25,ya estaba
CHEMBL4574406,1,55,55,ya estaba
CHEMBL4574724,1,22,22,ya estaba
CHEMBL4574812,1,19,19,ya estaba
CHEMBL4574855,1,56,56,ya estaba
CHEMBL4574869,1,22,22,ya estaba
CHEMBL4574877,1,19,19,ya estaba
CHEMBL4574884,1,30,30,ya estaba
CHEMBL4574912,1,17,17,ya estaba
CHEMBL4574957,1,22,22,ya estaba
CHEMBL4574986,1,53,53,ya estaba
CHEMBL4574987,1,20,20,ya estaba
CHEMBL4574995,1,38,38,ya estaba
CHEMBL4574996,1,20,20,ya estaba
CHEMBL4575052,1,39,39,ya estaba
CHEMBL4575056,1,56,56,ya estaba
CHEMBL4575057,1,55,55,ya estaba
CHEMBL4575068,1,35,35,ya estaba
CHEMBL4575071,1,35,35,ya estaba
CHEMBL4575078,0,39,39,tipos no validos: {'B': 1}
CHEMBL4575113,1,62,62,ya estaba
CHEMBL4575134,1,27,27,ya estaba
CHEMBL4575151,1,57,57,ya estaba
CHEMBL4575193,1,20,20,ya estaba
CHEMBL4575197,1,21,21,ya estaba
CHEMBL4575199,1,23,23,ya estaba
CHEMBL4575334,1,62,62,ya estaba
CHEMBL4575339,1,45,45,ya estaba
CHEMBL4575437,1,22,22,ya estaba
CHEMBL4575450,1,43,43,ya estaba
CHEMBL4575517,1,35,35,ya estaba
CHEMBL4575530,1,138,138,ya estaba
CHEMBL4575610,1,25,25,ya estaba
CHEMBL4575708,1,25,25,ya estaba
CHEMBL4575786,1,20,20,ya estaba
CHEMBL4575787,1,11,11,ya estaba
CHEMBL4575790,1,19,19,ya estaba
CHEMBL4575809,1,25,25,ya estaba
CHEMBL4575896,1,62,62,ya estaba
CHEMBL4575948,1,22,22,ya estaba
CHEMBL4575949,1,23,23,ya estaba
CHEMBL4580633,1,19,19,ya estaba
CHEMBL4580684,1,18,18,ya estaba
CHEMBL4580688,1,104,104,
CHEMBL4580732,1,16,16,ya estaba
CHEMBL4580738,1,73,73,ya estaba
CHEMBL4580764,1,26,26,ya estaba
CHEMBL4580765,1,33,33,ya estaba
CHEMBL4580766,1,25,25,ya estaba
CHEMBL4580771,1,76,76,ya estaba
CHEMBL4580776,1,36,36,ya estaba
CHEMBL4580782,1,20,20,ya estaba
CHEMBL4580786,1,31,31,ya estaba
CHEMBL4580814,1,53,53,ya estaba
CHEMBL4580820,1,25,25,ya estaba
CHEMBL4580851,1,19,19,ya estaba
CHEMBL4580865,1,55,55,ya estaba
CHEMBL4580873,1,23,23,ya estaba
CHEMBL4580882,1,80,80,ya estaba
CHEMBL4580890,1,19,19,ya estaba
CHEMBL4580894,1,33,33,ya estaba
CHEMBL4580983,1,63,63,ya estaba
CHEMBL4581031,1,36,36,ya estaba
CHEMBL4581083,1,23,23,ya estaba
CHEMBL4581101,1,37,37,ya estaba
CHEMBL4581105,1,32,32,ya estaba
CHEMBL4581108,1,22,22,ya estaba
CHEMBL4581149,1,155,155,
CHEMBL4581190,1,16,16,ya estaba
CHEMBL4581215,1,26,26,ya estaba
CHEMBL4581221,1,26,26,ya estaba
CHEMBL4581229,1,51,51,ya estaba
CHEMBL4581241,1,22,22,ya estaba
CHEMBL4581305,1,26,26,ya estaba
CHEMBL4581343,1,26,26,ya estaba
CHEMBL4581346,1,13,13,ya estaba
CHEMBL4581359,1,34,34,ya estaba
CHEMBL4581396,0,42,42,tipos no validos: {'B': 1}
CHEMBL4581419,1,18,18,ya estaba
CHEMBL4581422,1,13,13,ya estaba
CHEMBL4581488,1,20,20,ya estaba
CHEMBL4581490,1,18,18,ya estaba
CHEMBL4581496,1,20,20,ya estaba
CHEMBL4581545,1,33,33,ya estaba
CHEMBL4581557,1,37,37,ya estaba
CHEMBL4581587,1,42,42,ya estaba
CHEMBL4581623,1,35,35,ya estaba
CHEMBL4581645,1,32,32,ya estaba
CHEMBL4581672,1,26,26,ya estaba
CHEMBL4581720,1,46,46,ya estaba
CHEMBL4581779,1,34,34,ya estaba
CHEMBL4581785,1,12,12,ya estaba
CHEMBL4581789,1,35,35,ya estaba
CHEMBL4581791,1,20,20,ya estaba
CHEMBL4581881,1,26,26,ya estaba
CHEMBL4581972,1,33,33,ya estaba
CHEMBL4582140,1,75,75,ya estaba
CHEMBL4582173,1,9,9,ya estaba
CHEMBL4582215,1,25,25,ya estaba
CHEMBL4582247,1,115,115,ya estaba
CHEMBL4582273,1,35,35,ya estaba
CHEMBL4582283,1,19,19,ya estaba
CHEMBL4582329,1,41,41,ya estaba
CHEMBL4582338,1,26,26,ya estaba
CHEMBL4582376,1,25,25,ya estaba
CHEMBL4582395,1,19,19,ya estaba
CHEMBL4582403,1,18,18,ya estaba
CHEMBL4582437,1,63,63,ya estaba
CHEMBL4582447,1,19,19,ya estaba
CHEMBL4582461,1,21,21,ya estaba
CHEMBL4582464,1,36,36,ya estaba
CHEMBL4582478,1,50,50,ya estaba
CHEMBL4582486,1,59,59,ya estaba
CHEMBL4582504,1,35,35,ya estaba
CHEMBL4582512,1,49,49,ya estaba
CHEMBL4582519,1,33,33,ya estaba
CHEMBL4582601,1,47,47,ya estaba
CHEMBL4582618,1,23,23,ya estaba
CHEMBL4582713,1,38,38,ya estaba
CHEMBL4582714,1,28,28,ya estaba
CHEMBL4583417,1,20,20,ya estaba
CHEMBL4583437,1,26,26,ya estaba
CHEMBL4583441,1,101,101,ya estaba
CHEMBL4583453,1,29,29,ya estaba
CHEMBL4583498,1,19,19,ya estaba
CHEMBL4583521,1,15,15,ya estaba
CHEMBL4583522,1,33,33,ya estaba
CHEMBL4583549,1,25,25,ya estaba
CHEMBL4583571,1,20,20,ya estaba
CHEMBL4583625,1,21,21,ya estaba
CHEMBL4583629,1,27,27,ya estaba
CHEMBL4583662,1,30,30,ya estaba
CHEMBL4583664,1,21,21,ya estaba
CHEMBL4583695,1,19,19,ya estaba
CHEMBL4583731,1,16,16,ya estaba
CHEMBL4584625,1,20,20,ya estaba
CHEMBL4584642,1,52,52,ya estaba
CHEMBL4584672,1,53,53,ya estaba
CHEMBL4584764,1,124,124,ya estaba
CHEMBL4584782,1,26,26,ya estaba
CHEMBL4584795,1,24,24,ya estaba
CHEMBL4584804,1,47,47,ya estaba
CHEMBL4584815,1,50,50,ya estaba
CHEMBL4584879,1,28,28,ya estaba
CHEMBL4584905,1,28,28,ya estaba
CHEMBL4584934,1,30,30,ya estaba
CHEMBL4584945,1,20,20,ya estaba
CHEMBL4584956,1,21,21,ya estaba
CHEMBL4584957,1,36,36,ya estaba
CHEMBL4584959,1,26,26,ya estaba
CHEMBL4584978,1,21,21,ya estaba
CHEMBL4585002,1,25,25,ya estaba
CHEMBL4585026,1,21,21,ya estaba
CHEMBL4585094,1,57,57,ya estaba
CHEMBL4585119,1,35,35,ya estaba
CHEMBL4585140,1,23,23,ya estaba
CHEMBL4585149,1,114,114,ya estaba
CHEMBL4585184,1,30,30,ya estaba
CHEMBL4585201,1,28,28,ya estaba
CHEMBL4585209,1,29,29,ya estaba
CHEMBL4585286,1,24,24,ya estaba
CHEMBL4585303,1,81,81,ya estaba
CHEMBL4585305,1,26,26,ya estaba
CHEMBL4585336,1,36,36,ya estaba
CHEMBL4585417,1,29,29,ya estaba
CHEMBL4585449,1,62,62,ya estaba
CHEMBL4585474,0,38,38,tipos no validos: {'B': 1}
CHEMBL4634646,1,39,39,ya estaba
CHEMBL4634658,1,41,41,ya estaba
CHEMBL4634680,1,44,44,ya estaba
CHEMBL4634686,1,124,124,ya estaba
CHEMBL4634696,1,34,34,ya estaba
CHEMBL4634714,1,21,21,ya estaba
CHEMBL4634720,1,22,22,ya estaba
CHEMBL4634726,1,83,83,ya estaba
CHEMBL4634738,1,49,49,ya estaba
CHEMBL4634740,1,31,31,ya estaba
CHEMBL4634744,1,23,23,ya estaba
CHEMBL4634785,1,17,17,ya estaba
CHEMBL4634787,1,17,17,ya estaba
CHEMBL4634805,1,79,79,ya estaba
CHEMBL4634809,1,28,28,ya estaba
CHEMBL4634813,1,35,35,ya estaba
CHEMBL4634817,1,40,40,ya estaba
CHEMBL4634836,1,15,15,ya estaba
CHEMBL4634869,1,37,37,ya estaba
CHEMBL4634876,1,37,37,ya estaba
CHEMBL4634888,1,39,39,ya estaba
CHEMBL4634930,1,40,40,ya estaba
CHEMBL4634931,1,29,29,ya estaba
CHEMBL4634932,1,27,27,ya estaba
CHEMBL4634942,1,15,15,ya estaba
CHEMBL4634948,1,27,27,ya estaba
CHEMBL4634996,1,47,47,ya estaba
CHEMBL4635034,1,33,33,ya estaba
CHEMBL4635039,1,69,69,ya estaba
CHEMBL4635077,1,36,36,ya estaba
CHEMBL4635085,1,74,74,ya estaba
CHEMBL4635105,1,16,16,ya estaba
CHEMBL4635141,1,128,128,ya estaba
CHEMBL4635142,1,65,65,ya estaba
CHEMBL4635150,1,74,74,ya estaba
CHEMBL4635155,1,43,43,ya estaba
CHEMBL4635161,1,34,34,ya estaba
CHEMBL4635217,1,28,28,ya estaba
CHEMBL4635248,1,38,38,ya estaba
CHEMBL4635291,1,44,44,ya estaba
CHEMBL4635293,1,16,16,ya estaba
CHEMBL4635302,1,33,33,ya estaba
CHEMBL4635305,1,32,32,ya estaba
CHEMBL4635313,1,40,40,ya estaba
CHEMBL4635337,1,32,32,ya estaba
CHEMBL4635345,1,119,119,ya estaba
CHEMBL4635408,1,81,81,ya estaba
CHEMBL4635419,1,34,34,ya estaba
CHEMBL4635441,1,41,41,ya estaba
CHEMBL4635447,1,26,26,ya estaba
CHEMBL4635453,1,31,31,ya estaba
CHEMBL4635456,1,29,29,ya estaba
CHEMBL4635462,1,115,115,ya estaba
CHEMBL4635482,1,26,26,ya estaba
CHEMBL4635504,1,48,48,ya estaba
CHEMBL4635509,1,20,20,ya estaba
CHEMBL4635578,1,47,47,ya estaba
CHEMBL4635587,1,27,27,ya estaba
CHEMBL4635641,1,33,33,ya estaba
CHEMBL4635650,1,27,27,ya estaba
CHEMBL4635654,1,39,39,ya estaba
CHEMBL4635678,1,35,35,ya estaba
CHEMBL4635735,1,52,52,ya estaba
CHEMBL4635756,1,23,23,ya estaba
CHEMBL4635760,1,52,52,ya estaba
CHEMBL4635773,1,58,58,ya estaba
CHEMBL4635776,1,35,35,ya estaba
CHEMBL4635781,1,85,85,ya estaba
CHEMBL4635791,1,49,49,ya estaba
CHEMBL4635795,1,20,20,ya estaba
CHEMBL4635807,1,60,60,ya estaba
CHEMBL4635825,1,41,41,ya estaba
CHEMBL4635849,1,72,72,ya estaba
CHEMBL4635854,1,14,14,ya estaba
CHEMBL4635889,1,33,33,ya estaba
CHEMBL4635950,1,34,34,ya estaba
CHEMBL4635952,1,22,22,ya estaba
CHEMBL4635974,1,31,31,ya estaba
CHEMBL4635987,1,62,62,ya estaba
CHEMBL4636014,1,15,15,ya estaba
CHEMBL4636017,1,37,37,ya estaba
CHEMBL4636042,1,54,54,ya estaba
CHEMBL4636051,1,31,31,ya estaba
CHEMBL4636082,1,43,43,ya estaba
CHEMBL4636098,1,23,23,ya estaba
CHEMBL4636110,1,45,45,ya estaba
CHEMBL4636151,1,27,27,ya estaba
CHEMBL4636152,1,24,24,ya estaba
CHEMBL4636186,1,21,21,ya estaba
CHEMBL4636194,1,22,22,ya estaba
