ligando,reparado,atomos_smiles,atomos_preparado,motivo
CHEMBL1796260,1,35,35,ya estaba
CHEMBL1796261,1,35,35,ya estaba
CHEMBL1796262,1,35,35,ya estaba
CHEMBL1796272,1,26,26,ya estaba
CHEMBL1796273,1,29,29,ya estaba
CHEMBL1796274,1,30,30,ya estaba
CHEMBL1796275,1,28,28,ya estaba
CHEMBL1796276,1,29,29,ya estaba
CHEMBL1796690,1,39,39,ya estaba
CHEMBL1796691,1,29,29,ya estaba
CHEMBL1796692,1,30,30,ya estaba
CHEMBL1796693,1,32,32,ya estaba
CHEMBL1796973,1,25,25,ya estaba
CHEMBL1796974,1,19,19,ya estaba
CHEMBL1796975,1,25,25,ya estaba
CHEMBL1796977,1,26,26,ya estaba
CHEMBL1796980,1,20,20,ya estaba
CHEMBL1796981,1,20,20,ya estaba
CHEMBL1796982,1,22,22,ya estaba
CHEMBL1796984,1,24,24,ya estaba
CHEMBL1796985,1,26,26,ya estaba
CHEMBL1796986,1,26,26,ya estaba
CHEMBL1796988,1,29,29,ya estaba
CHEMBL1796989,1,30,30,ya estaba
CHEMBL1796990,1,27,27,ya estaba
CHEMBL1796991,1,28,28,ya estaba
CHEMBL1796992,1,26,26,ya estaba
CHEMBL1796994,1,28,28,ya estaba
CHEMBL1796995,1,34,34,ya estaba
CHEMBL1796996,1,31,31,ya estaba
CHEMBL1806528,1,117,117,
CHEMBL1806530,1,117,117,
CHEMBL1806826,1,29,29,ya estaba
CHEMBL1806924,1,78,78,
CHEMBL1806977,1,81,81,ya estaba
CHEMBL1806980,1,77,77,ya estaba
CHEMBL1806989,1,31,31,ya estaba
CHEMBL1807009,1,35,35,ya estaba
CHEMBL1807010,1,35,35,ya estaba
CHEMBL1807087,1,80,80,ya estaba
CHEMBL1807088,1,80,80,ya estaba
CHEMBL1807093,1,80,80,ya estaba
CHEMBL1807585,1,25,25,ya estaba
CHEMBL1807834,1,27,27,ya estaba
CHEMBL1807835,1,27,27,ya estaba
CHEMBL1807837,1,33,33,ya estaba
CHEMBL1807838,1,37,37,ya estaba
CHEMBL1807839,1,33,33,ya estaba
CHEMBL1808213,1,24,24,ya estaba
CHEMBL1808411,1,33,33,ya estaba
CHEMBL1808803,1,66,66,ya estaba
CHEMBL1808808,1,69,69,ya estaba
CHEMBL1808809,1,69,69,ya estaba
CHEMBL1808812,1,69,69,
CHEMBL1808815,1,73,73,ya estaba
CHEMBL1808817,1,70,70,ya estaba
CHEMBL1808820,1,66,66,ya estaba
CHEMBL1808825,1,67,67,ya estaba
CHEMBL1808827,1,71,71,ya estaba
CHEMBL1808828,1,74,74,ya estaba
CHEMBL1808830,1,68,68,ya estaba
CHEMBL1808831,1,71,71,ya estaba
CHEMBL1809125,1,31,31,ya estaba
CHEMBL1809126,1,38,38,ya estaba
CHEMBL1809129,1,20,20,ya estaba
CHEMBL1809131,1,23,23,ya estaba
CHEMBL1809132,1,22,22,ya estaba
CHEMBL1809134,1,22,22,ya estaba
CHEMBL1858003,1,27,27,ya estaba
CHEMBL1858112,1,21,21,ya estaba
CHEMBL1858260,1,28,28,ya estaba
CHEMBL1858294,1,27,27,ya estaba
CHEMBL1858305,1,25,25,ya estaba
CHEMBL1858330,1,27,27,ya estaba
CHEMBL1858366,1,25,25,ya estaba
CHEMBL1858383,1,21,21,ya estaba
CHEMBL1858423,1,27,27,ya estaba
CHEMBL1858441,1,25,25,ya estaba
CHEMBL1858508,1,20,20,ya estaba
CHEMBL1858525,1,25,25,ya estaba
CHEMBL1858584,1,23,23,ya estaba
CHEMBL1858741,1,27,27,ya estaba
CHEMBL1858785,1,23,23,ya estaba
CHEMBL1858910,1,24,24,ya estaba
CHEMBL1858918,1,22,22,ya estaba
CHEMBL1858942,1,22,22,ya estaba
CHEMBL1858963,1,22,22,ya estaba
CHEMBL1859256,1,20,20,ya estaba
