ligand,smiles,metal,motivo,smiles_corregido
ACAMPROSATE CALCIUM,CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],Ca,metal_Ca,CC(=O)NCCCS(=O)(=O)[O-]
ACETARSONE,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,As,metal_As,CC(=O)Nc1cc([As](=O)(O)O)ccc1O
ACETAZOLAMIDE SODIUM,CC(=O)Nc1nnc(S([NH-])(=O)=O)s1.[Na+],Na,metal_Na,CC(=O)Nc1nnc(S([NH-])(=O)=O)s1
ACETRIZOATE SODIUM,CC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I.O.[Na+],Na,metal_Na,CC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I
ACYCLOVIR SODIUM,Nc1nc([O-])c2ncn(COCCO)c2n1.[Na+],Na,metal_Na,Nc1nc([O-])c2ncn(COCCO)c2n1
ALENDRONATE SODIUM,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],Na,metal_Na,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O
ALLOPURINOL SODIUM,O=c1[n-]cnc2[nH]ncc12.[Na+],Na,metal_Na,O=c1[n-]cnc2[nH]ncc12
ALUMINUM ACETATE,CC(=O)[O-].CC(=O)[O-].CC(=O)[O-].[Al+3],Al,metal_Al,[Al+3]
ALUMINUM CHLORIDE,O.O.O.O.O.O.[Al+3].[Cl-].[Cl-].[Cl-],Al,metal_Al,[Al+3]
ALUMINUM CHLORIDE ANHYDROUS,Cl[Al](Cl)Cl,Al,metal_Al,[Cl][Al]([Cl])[Cl]
ALUMINUM HYDROXIDE,O[Al](O)O,Al,metal_Al,[OH][Al]([OH])[OH]
AMINOHIPPURATE SODIUM,Nc1ccc(C(=O)NCC(=O)[O-])cc1.[Na+],Na,metal_Na,Nc1ccc(C(=O)NCC(=O)[O-])cc1
AMINOSALICYLATE POTASSIUM,Nc1ccc(C(=O)[O-])c(O)c1.[K+],K,metal_K,Nc1ccc(C(=O)[O-])c(O)c1
AMINOSALICYLATE SODIUM,Nc1ccc(C(=O)[O-])c(O)c1.O.O.[Na+],Na,metal_Na,Nc1ccc(C(=O)[O-])c(O)c1
AMOBARBITAL SODIUM,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O.[Na+],Na,metal_Na,CCC1(CCC(C)C)C(=O)N=C([O-])NC1=O
AMPICILLIN SODIUM,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],Na,metal_Na,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
ARSENIC TRIOXIDE,O=[As][As+](=O)[O-],As,metal_As,O=[As][As+](=O)[O-]
ATORVASTATIN CALCIUM,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2],Ca,metal_Ca,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-]
AVIBACTAM SODIUM,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],Na,metal_Na,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-]
AZATHIOPRINE SODIUM,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12.[Na+],Na,metal_Na,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12
AZILSARTAN KAMEDOXOMIL,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[n-]2)cc1.[K+],K,metal_K,CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[n-]2)cc1
AZLOCILLIN SODIUM,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],Na,metal_Na,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
BALSALAZIDE DISODIUM,O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1.[Na+].[Na+],Na,metal_Na,O=C([O-])CCNC(=O)c1ccc(/N=N/c2ccc(O)c(C(=O)[O-])c2)cc1
BARBITAL SODIUM,CCC1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],Na,metal_Na,CCC1(CC)C(=O)[N-]C(=O)NC1=O
BARIUM SULFATE,O=S(=O)([O-])[O-].[Ba+2],Ba,metal_Ba,[Ba+2]
BETAMETHASONE SODIUM PHOSPHATE,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+],Na,metal_Na,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-]
BICTEGRAVIR SODIUM,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c([O-])c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2.[Na+],Na,metal_Na,O=C(NCc1c(F)cc(F)cc1F)c1cn2c(c([O-])c1=O)C(=O)N1[C@H]3CC[C@H](C3)O[C@@H]1C2
BITHIONOLATE SODIUM,[Na+].[Na+].[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-],Na,metal_Na,[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-]
BRILLIANT BLUE G,CCOc1ccc(Nc2ccc(/C(=C3/C=C/C(=[N+](/CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)[O-])c4)cc3C)cc2)cc1.[Na+],Na,metal_Na,CCOc1ccc(Nc2ccc(/C(=C3C=C/C(=[N+](/CC)Cc4cccc(S(=O)(=O)[O-])c4)C=C/3C)c3ccc(N(CC)Cc4cccc(S(=O)(=O)[O-])c4)cc3C)cc2)cc1
BROMFENAC SODIUM,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1.O.O.O.[Na+].[Na+],Na,metal_Na,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccc(Br)cc1
BUTABARBITAL SODIUM,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],Na,metal_Na,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O
CABOTEGRAVIR SODIUM,C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12.[Na+],Na,metal_Na,C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c([O-])c3C(=O)N12
CALCIUM,[Ca],Ca,metal_Ca,[Ca]
CALCIUM ACETATE,CC(=O)[O-].CC(=O)[O-].[Ca+2],Ca,metal_Ca,CC(=O)[O-]
CALCIUM CARBONATE,O=C([O-])[O-].[Ca+2],Ca,metal_Ca,O=C([O-])[O-]
CALCIUM CHLORIDE,[Ca+2].[Cl-].[Cl-],Ca,metal_Ca,[Ca+2]
CALCIUM GLUBIONATE,O.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Ca+2],Ca,metal_Ca,O=C([O-])[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO
CALCIUM GLUBIONATE ANHYDROUS,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO.[Ca+2],Ca,metal_Ca,O=C([O-])[C@H](O)[C@@H](O)[C@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)CO
CALCIUM GLUCEPTATE,O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],Ca,metal_Ca,O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
CALCIUM GLUCONATE,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],Ca,metal_Ca,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
CALCIUM METRIZOATE,CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I.CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I.[Ca+2],Ca,metal_Ca,CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I
CALCIUM OXYBATE,O=C([O-])CCCO.O=C([O-])CCCO.[Ca+2],Ca,metal_Ca,O=C([O-])CCCO
CANGRELOR TETRASODIUM,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])[C@@H](O)[C@H]1O.[Na+].[Na+].[Na+].[Na+],Na,metal_Na,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])[C@@H](O)[C@H]1O
CARBENICILLIN DISODIUM,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+].[Na+],Na,metal_Na,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)[O-])c3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
CARBENICILLIN INDANYL SODIUM,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],Na,metal_Na,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
CARBENOXOLONE SODIUM,CC1(C)[C@@H](OC(=O)CCC(=O)[O-])CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)[O-])CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12.[Na+].[Na+],Na,metal_Na,CC1(C)[C@@H](OC(=O)CCC(=O)[O-])CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)[O-])CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12
CEFAMANDOLE NAFATE,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1.[Na+],Na,metal_Na,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)[C@H](OC=O)c3ccccc3)[C@H]2SC1
CEFAZOLIN SODIUM,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1.[Na+],Na,metal_Na,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1
CEFMETAZOLE SODIUM,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+],Na,metal_Na,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21
CEFONICID SODIUM,O=C([O-])C1=C(CSc2nnnn2CS(=O)(=O)[O-])CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12.[Na+].[Na+],Na,metal_Na,O=C([O-])C1=C(CSc2nnnn2CS(=O)(=O)[O-])CS[C@@H]2[C@H](NC(=O)[C@H](O)c3ccccc3)C(=O)N12
CEFOPERAZONE SODIUM,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O.[Na+],Na,metal_Na,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O
CEFOTAXIME SODIUM,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+],Na,metal_Na,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1
CEFOTETAN DISODIUM,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)[O-])S2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21.[Na+].[Na+],Na,metal_Na,CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)[O-])S2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21
CEFOXITIN SODIUM,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@@H]21.[Na+],Na,metal_Na,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@@H]21
CEFPIRAMIDE SODIUM,Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1.[Na+],Na,metal_Na,Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1
CEFTAZIDIME SODIUM,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)[O-].[Na+],Na,metal_Na,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)[O-]
CEFTIZOXIME SODIUM,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=CCS[C@H]12)c1csc(N)n1.[Na+],Na,metal_Na,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=CCS[C@H]12)c1csc(N)n1
CEFTOBIPROLE MEDOCARIL SODIUM,Cc1oc(=O)oc1COC(=O)N1CC[C@@H](N2CC/C(=C\C3=C(C(=O)[O-])N4C(=O)[C@@H](NC(=O)/C(=N/O)c5nsc(N)n5)[C@H]4SC3)C2=O)C1.[Na+],Na,metal_Na,Cc1oc(=O)oc1COC(=O)N1CC[C@@H](N2CC/C(=C\C3=C(C(=O)[O-])N4C(=O)[C@@H](NC(=O)/C(=N/O)c5nsc(N)n5)[C@H]4SC3)C2=O)C1
CEFTRIAXONE SODIUM,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CS[C@H]12)c1csc(N)n1.CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CS[C@H]12)c1csc(N)n1.O.O.O.O.O.O.O.[Na+].[Na+].[Na+].[Na+],Na,metal_Na,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(CSc3nc(=O)c([O-])nn3C)CS[C@H]12)c1csc(N)n1
CEFUROXIME SODIUM,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1.[Na+],Na,metal_Na,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@H]12)c1ccco1
CEPHALOTHIN SODIUM,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1.[Na+],Na,metal_Na,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2SC1
CEPHAPIRIN SODIUM,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1.[Na+],Na,metal_Na,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)[C@@H](NC(=O)CSc3ccncc3)[C@H]2SC1
CERIVASTATIN SODIUM,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+],Na,metal_Na,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1
CHEMBL1003,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[K+],K,metal_K,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21
CHEMBL1010,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1.[Na+],Na,metal_Na,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS[C@H]12)c1csc(N)n1
CHEMBL1034,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],Na,metal_Na,O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl
CHEMBL1060,O=P([O-])([O-])O.[Na+].[Na+],Na,metal_Na,O=P([O-])([O-])O
CHEMBL107217,CCN(CC)C(=S)[S-].[Na+],Na,metal_Na,CCN(CC)C(=S)[S-]
CHEMBL1097279,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])[C@@H](O)[C@H]1O.[Na+].[Na+].[Na+].[Na+],Na,metal_Na,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])C(Cl)(Cl)P(=O)([O-])[O-])[C@@H](O)[C@H]1O
CHEMBL1097620,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I.[Na+],Na,metal_Na,CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)[O-])c1I
CHEMBL109962,N[C@@H](C[SeH])C(=O)O,Se,metal_Se,N[C@@H](C[SeH])C(=O)O
CHEMBL112302,O=[Se]([O-])[O-].[Na+].[Na+],Se,metal_Se,O=[Se]([O-])[O-]
CHEMBL1126,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],Na,metal_Na,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)[O-]
CHEMBL113178,C[Se]CC[C@H](N)C(=O)O,Se,metal_Se,C[Se]CC[C@H](N)C(=O)O
CHEMBL1141,[I-].[K+],K,metal_K,[K+]
CHEMBL114503,O=[Se](=O)([O-])[O-].[Na+].[Na+],Se,metal_Se,O=[Se](=O)([O-])[O-]
CHEMBL1164,COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].[Na+],Na,metal_Na,COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-]
CHEMBL1200345,O=C([O-])CCC(=O)O.[Na+],Na,metal_Na,O=C([O-])CCC(=O)O
CHEMBL1200350,O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I.[Na+].[Na+],Na,metal_Na,O=C(CCCCC(=O)Nc1c(I)cc(I)c(C(=O)[O-])c1I)Nc1c(I)cc(I)c(C(=O)[O-])c1I
CHEMBL1200351,Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1.[Na+],Na,metal_Na,Nc1ccc(S(=O)(=O)[N-]c2ncccn2)cc1
CHEMBL1200354,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-].[Na+],Na,metal_Na,CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-]
CHEMBL1200357,CO[C@@]1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21.[Na+].[Na+],Na,metal_Na,CO[C@@]1(NC(=O)C(C(=O)[O-])c2ccc(O)cc2)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CO[C@@H]21
CHEMBL1200358,O=C([O-])Cc1ccccc1.[Na+],Na,metal_Na,O=C([O-])Cc1ccccc1
CHEMBL1200365,Nc1ccc(C(=O)NCC(=O)[O-])cc1.[Na+],Na,metal_Na,Nc1ccc(C(=O)NCC(=O)[O-])cc1
CHEMBL1200375,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Ca+2].[Na+].[Na+],Ca,metal_Ca,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-]
CHEMBL1200380,Nc1nc([O-])c2ncn(COCCO)c2n1.[Na+],Na,metal_Na,Nc1nc([O-])c2ncn(COCCO)c2n1
CHEMBL1200388,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].O.[Na+],Na,metal_Na,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-]
CHEMBL1200400,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12.[Na+],Na,metal_Na,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12
CHEMBL1200423,CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I.[Na+],Na,metal_Na,CC(=O)Nc1c(I)c(C(=O)[O-])c(I)c(N(C)C(C)=O)c1I
CHEMBL1200424,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Zn+2],Na,metal_Na,O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)[O-]
CHEMBL1200439,O=C([O-])CNC(=O)c1ccccc1[123I].[Na+],Na,metal_Na,O=C([O-])CNC(=O)c1ccccc1[123I]
CHEMBL1200448,O=P([O-])(O)C(Sc1ccc(Cl)cc1)P(=O)([O-])O.[Na+].[Na+],Na,metal_Na,O=P([O-])(O)C(Sc1ccc(Cl)cc1)P(=O)([O-])O
CHEMBL1200458,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],K,metal_K,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
CHEMBL1200459,O=P([O-])([O-])O.[K+].[K+],K,metal_K,O=P([O-])([O-])O
CHEMBL1200463,O=C([O-])CCc1nc(-c2ccccc2)c(-c2ccccc2)o1.[K+],K,metal_K,O=C([O-])CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
CHEMBL1200470,COc1ccc2[n-]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1.[Na+],Na,metal_Na,COc1ccc2[n-]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
CHEMBL1200471,[O-][n+]1ccccc1[S-].[O-][n+]1ccccc1[S-].[Zn+2],Zn,metal_Zn,[O-][n+]1ccccc1[S-]
CHEMBL1200477,O=c1[n-]cnc2[nH]ncc12.[Na+],Na,metal_Na,O=c1[n-]cnc2[nH]ncc12
CHEMBL1200482,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O.[Na+],Na,metal_Na,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)[O-])=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O
CHEMBL1200487,C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl.[Na+],Na,metal_Na,C=C(CC)C(=O)c1ccc(OCC(=O)[O-])c(Cl)c1Cl
CHEMBL1200495,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-].[Na+],Na,metal_Na,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-]
CHEMBL1200496,[Ca],Ca,metal_Ca,[Ca]
CHEMBL1200523,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1.[Na+],Na,metal_Na,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1
CHEMBL1200530,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@@H]21.[Na+],Na,metal_Na,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CS[C@@H]21
CHEMBL1200539,O=C([O-])[O-].[Ca+2],Ca,metal_Ca,O=C([O-])[O-]
CHEMBL1200563,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1.[Na+],Na,metal_Na,COCc1c(C(C)C)nc(C(C)C)c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])c1-c1ccc(F)cc1
CHEMBL1200572,O=[Mg],Mg,metal_Mg,[O]=[Mg]
CHEMBL1200574,[Cl-].[Na+],Na,metal_Na,[Na+]
CHEMBL1200578,Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCC(=O)[O-].[Na+],Na,metal_Na,Cn1c(=O)c2[nH]cnc2n(C)c1=O
CHEMBL1200580,O=S([O-])CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)[O-])cc2)cc1.[Na+].[Na+],Na,metal_Na,O=S([O-])CNc1ccc(S(=O)(=O)c2ccc(NCS(=O)[O-])cc2)cc1
