ligand,smiles,metal,motivo,smiles_corregido
CHEMBL6199105,CC(C)C[C@H](NC(=O)OCc1cccc(C(F)(F)F)c1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C@H](O)S(=O)(=O)[O-].[Na+],Na,metal_Na,CC(C)C[C@H](NC(=O)OCc1cccc(C(F)(F)F)c1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C@H](O)S(=O)(=O)[O-]
CHEMBL62381,CCCC(=O)[O-].[Na+],Na,metal_Na,CCCC(=O)[O-]
CHEMBL62382,C[Se]C[C@H](N)C(=O)O,Se,metal_Se,C[Se]C[C@H](N)C(=O)O
CHEMBL63384,O=C([O-])c1ccccc1-c1c2cc([N+](=O)[O-])c(=O)c(Br)c-2oc2c(Br)c([O-])c([N+](=O)[O-])cc12.[Na+].[Na+],Na,metal_Na,O=C([O-])c1ccccc1-c1c2cc([N+](=O)[O-])c(=O)c(Br)c-2oc2c(Br)c([O-])c([N+](=O)[O-])cc12
CHEMBL6461,C[C@]1(/C=C/C#N)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+],Na,metal_Na,C[C@]1(/C=C/C#N)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O
CHEMBL6469,C[C@]1(/C=C\C#N)[C@H](C(=O)[O-])N2C(=O)[C@@H](CO)[C@H]2S1(=O)=O.[Na+],Na,metal_Na,C[C@]1(/C=C\C#N)[C@H](C(=O)[O-])N2C(=O)[C@@H](CO)[C@H]2S1(=O)=O
CHEMBL6533,C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)[C@@H](CO)[C@H]2S1(=O)=O.[Na+],Na,metal_Na,C[C@]1(Cn2ccnn2)[C@H](C(=O)[O-])N2C(=O)[C@@H](CO)[C@H]2S1(=O)=O
CHEMBL6678,CO/N=C/[C@@]1(C)[C@H](C(=O)[O-])N2C(=O)[C@@H](CO)[C@H]2S1(=O)=O.[Na+],Na,metal_Na,CO/N=C/[C@@]1(C)[C@H](C(=O)[O-])N2C(=O)[C@@H](CO)[C@H]2S1(=O)=O
CHEMBL675,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],Na,metal_Na,NCCCC(O)(P(=O)([O-])O)P(=O)(O)O
CHEMBL6754,C=C1[C@@H](CC(=O)[O-])[C@H]1CCCC.[Na+],Na,metal_Na,C=C1[C@@H](CC(=O)[O-])[C@H]1CCCC
CHEMBL690,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+],Na,metal_Na,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21
CHEMBL6923,C=C1[C@H](CCCCCCCCCCCC)[C@H]1CC(=O)[O-].[Na+],Na,metal_Na,C=C1[C@H](CCCCCCCCCCCC)[C@H]1CC(=O)[O-]
CHEMBL693,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].[Na+],Na,metal_Na,Cc1onc(-c2ccccc2)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-]
CHEMBL7007,C=C1[C@H](CCCC)[C@H]1CC(=O)[O-].[Na+],Na,metal_Na,C=C1[C@H](CCCC)[C@H]1CC(=O)[O-]
CHEMBL7235,C=C1C[C@@H]1CC(=O)[O-].[Na+],Na,metal_Na,C=C1C[C@@H]1CC(=O)[O-]
CHEMBL738,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O.[Na+],Na,metal_Na,CCCC(C)C1(CC)C(=O)[N-]C(=S)NC1=O
CHEMBL74,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+],Na,metal_Na,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1
CHEMBL7402,C=C1[C@@H](CC(=O)[O-])[C@H]1CCCCCCCCCCCC.[Na+],Na,metal_Na,C=C1[C@@H](CC(=O)[O-])[C@H]1CCCCCCCCCCCC
CHEMBL7468,C=C1[C@@H](CC(=O)[O-])[C@H]1CCCCCCCC.[Na+],Na,metal_Na,C=C1[C@@H](CC(=O)[O-])[C@H]1CCCCCCCC
CHEMBL754,O=C([O-])P(=O)([O-])[O-].[Na+].[Na+].[Na+],Na,metal_Na,O=C([O-])P(=O)([O-])[O-]
CHEMBL80536,CC[C@](O)(C(=O)[O-])c1cc2n(c(=O)c1CO)Cc1cc3ccccc3nc1-2.[Na+],Na,metal_Na,CC[C@](O)(C(=O)[O-])c1cc2n(c(=O)c1CO)Cc1cc3ccccc3nc1-2
CHEMBL8511,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C\c3ccccc3)[C@H]2S(=O)(=O)C1.[Na+],Na,metal_Na,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C\c3ccccc3)[C@H]2S(=O)(=O)C1
CHEMBL876,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl.[Na+],Na,metal_Na,Cc1ccc(Cl)c(Nc2ccccc2C(=O)[O-])c1Cl
