name,smiles,quimia,origen,cita,esqueleto
LCS-1,CC1=CC(=CC=C1)N2C(=O)C(=C(C=N2)Cl)Cl,piridazinona,conjunto anterior (independiente),Wright et al. 2013 / cribado previo del proyecto,O=c1cccnn1-c1ccccc1
PRG-A01,CC1(C(CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)OC(=O)C=CC4=CC(=C(C=C4)O)OC)C,cumarina,conjunto anterior (independiente),Wright et al. 2013 / cribado previo del proyecto,O=C(C=Cc1ccccc1)OC1COc2cc3oc(=O)ccc3cc2C1
CHEMBL2165613,O=c1cc(COc2cccc(-c3ccccc3)c2)[nH][nH]1,pirazolona (serie),"serie congenerica, colapsada a un representante (17 mas no se cuentan)",serie ChEMBL2165601-2165614 y ChEMBL1643541/56/57,O=c1cc(COc2cccc(-c3ccccc3)c2)[nH][nH]1
5-fluorouridine,O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)cc1F,nucleosido,ligando co-cristalizado en Trp32,Wright et al. 2013 (SOD1 Trp32),O=c1ccn(C2CCCO2)c(=O)[nH]1
isoproterenol,CC(C)NCC(O)c1ccc(O)c(O)c1.Cl,catecolamina,ligando co-cristalizado en Trp32,Wright et al. 2013 (SOD1 Trp32),c1ccccc1
dopamine,Cl.NCCc1ccc(O)c(O)c1,catecolamina,ligando co-cristalizado en Trp32,Wright et al. 2013 (SOD1 Trp32),c1ccccc1
epinephrine,CNC[C@H](O)c1ccc(O)c(O)c1.O=C(O)C(O)C(O)C(=O)O,catecolamina,ligando co-cristalizado en Trp32,Wright et al. 2013 (SOD1 Trp32),c1ccccc1
