ligand,motivo,n_atomos,tipos
CHEMBL38375,tipo_invalido:K,33,"A,C,Cl,K,N,NA,OA"
CHEMBL38378,fallo_empirico_4_proteinas,32,"A,C,HD,NA,OA"
CHEMBL38400,fallo_empirico_4_proteinas,18,"A,C,HD,I,N,NA,S"
CHEMBL38421,tipo_invalido:Na,29,"A,C,F,NA,Na,OA"
CHEMBL38437,fallo_empirico_4_proteinas,18,"A,C,HD,I,N,NA,S"
CHEMBL38459,fallo_empirico_4_proteinas,27,"A,C,HD,I,N,NA,OA,S"
CHEMBL38476,tipo_invalido:Na,32,"A,C,F,NA,Na,OA"
CHEMBL38487,fallo_empirico_4_proteinas,25,"C,HD,NA,OA,P"
CHEMBL38523,fallo_empirico_4_proteinas,17,"A,C,HD,I,N,NA,S"
CHEMBL38525,fallo_empirico_4_proteinas,25,"A,Br,C,N,OA"
CHEMBL38535,fallo_empirico_4_proteinas,32,"A,Br,C,N,OA,S"
CHEMBL38577,fallo_empirico_4_proteinas,23,"A,C,Cl,HD,I,N,NA,OA"
CHEMBL38589,fallo_empirico_4_proteinas,15,"Br,C,N,NA"
CHEMBL38639,tipo_invalido:Na,29,"A,C,Cl,F,NA,Na,OA"
CHEMBL38640,fallo_empirico_4_proteinas,29,"A,Br,C,N,OA,S"
CHEMBL38710,tipo_invalido:Na,39,"A,C,HD,N,NA,Na,OA,S"
CHEMBL38763,fallo_empirico_4_proteinas,44,"A,C,Cl,N,OA"
CHEMBL38779,fallo_empirico_4_proteinas,20,"A,C,HD,I,N,NA,OA,S"
CHEMBL38859,fallo_empirico_4_proteinas,21,"A,Br,C,N,NA,OA"
CHEMBL38951,fallo_empirico_4_proteinas,21,"A,Br,C,Cl,N,NA"
CHEMBL38971,fallo_empirico_4_proteinas,31,"A,C,HD,NA,OA,S"
CHEMBL38978,tipo_invalido:Na,29,"A,C,F,NA,Na,OA"
CHEMBL38995,fallo_empirico_4_proteinas,22,"A,Br,C,N,NA,OA"
CHEMBL39087,fallo_empirico_4_proteinas,23,"A,C,Cl,HD,I,N,NA,OA"
CHEMBL39106,fallo_empirico_4_proteinas,22,"A,C,HD,I,N,NA,OA,S"
CHEMBL39133,fallo_empirico_4_proteinas,15,"Br,C,HD,N,NA,OA"
CHEMBL39151,tipo_invalido:Na,28,"A,C,F,NA,Na,OA"
CHEMBL39188,tipo_invalido:Na,29,"A,C,F,NA,Na,OA"
CHEMBL39190,fallo_empirico_4_proteinas,23,"A,Br,C,N,NA,OA"
CHEMBL39198,fallo_empirico_4_proteinas,20,"A,Br,C,N,NA,OA,S"
CHEMBL39213,fallo_empirico_4_proteinas,13,"Br,C,N,NA"
CHEMBL39277,fallo_empirico_4_proteinas,26,"C,HD,NA,OA,P"
CHEMBL39307,fallo_empirico_4_proteinas,21,"A,Br,C,Cl,N,NA"
CHEMBL39327,fallo_empirico_4_proteinas,28,"C,HD,NA,OA,P"
CHEMBL39369,fallo_empirico_4_proteinas,33,"A,C,HD,NA,OA"
CHEMBL39380,tipo_invalido:Na,31,"A,C,Cl,HD,Na,OA,P"
CHEMBL39388,fallo_empirico_4_proteinas,21,"A,C,HD,I,N,NA,OA,S"
CHEMBL39426,fallo_empirico_4_proteinas,36,"A,C,HD,N,NA,OA"
CHEMBL39430,tipo_invalido:Na,26,"A,C,HD,N,NA,Na,OA"
CHEMBL39456,tipo_invalido:Na,25,"A,C,HD,N,NA,Na,OA"
CHEMBL39479,fallo_empirico_4_proteinas,35,"A,C,HD,N,NA,OA"
CHEMBL39496,tipo_invalido:K,26,"A,C,HD,K,N,OA"
CHEMBL39520,tipo_invalido:K,29,"A,C,HD,K,N,NA,OA,S"
CHEMBL39550,fallo_empirico_4_proteinas,15,"A,C,HD,I,N,NA,S"
CHEMBL39569,fallo_empirico_4_proteinas,21,"A,C,I,N,OA"
CHEMBL39570,fallo_empirico_4_proteinas,21,"A,Br,C,Cl,N,NA"
CHEMBL39571,fallo_empirico_4_proteinas,18,"Br,C,N,NA,OA"
CHEMBL39603,fallo_empirico_4_proteinas,32,"A,C,HD,NA,OA"
CHEMBL39619,fallo_empirico_4_proteinas,27,"A,C,HD,I,N,NA,OA,S"
CHEMBL39621,fallo_empirico_4_proteinas,38,"A,C,HD,N,NA,OA"
CHEMBL39640,tipo_invalido:Na,19,"C,N,Na,OA,S"
CHEMBL39644,fallo_empirico_4_proteinas,31,"A,C,HD,NA,OA"
CHEMBL39682,fallo_empirico_4_proteinas,24,"C,HD,NA,OA"
CHEMBL39695,tipo_invalido:Na,38,"A,C,HD,N,NA,Na,OA,S"
CHEMBL39706,fallo_empirico_4_proteinas,26,"C,HD,NA,OA"
CHEMBL39771,fallo_empirico_4_proteinas,20,"A,Br,C,N,NA"
CHEMBL39774,fallo_empirico_4_proteinas,35,"A,C,HD,N,OA,S"
CHEMBL39846,fallo_empirico_4_proteinas,32,"A,C,HD,NA,OA"
CHEMBL39873,fallo_empirico_4_proteinas,25,"C,HD,NA,OA"
CHEMBL39884,fallo_empirico_4_proteinas,24,"A,Br,C,N,NA,OA"
CHEMBL3989803,tipo_invalido:Na,25,"A,C,HD,N,Na,OA,S"
CHEMBL3989811,fallo_empirico_4_proteinas,39,"A,C,F,HD,OA"
CHEMBL39899,fallo_empirico_4_proteinas,17,"Br,C,Cl,HD,N,NA,OA"
CHEMBL39934,fallo_empirico_4_proteinas,37,"A,C,HD,N,NA,OA"
CHEMBL39951,fallo_empirico_4_proteinas,36,"A,C,HD,NA,OA"
CHEMBL39956,fallo_empirico_4_proteinas,31,"A,C,Cl,F,HD,NA,OA"
CHEMBL39980,fallo_empirico_4_proteinas,36,"A,C,HD,NA,OA"
CHEMBL39987,fallo_empirico_4_proteinas,25,"C,HD,NA,OA"
CHEMBL40005,fallo_empirico_4_proteinas,29,"A,C,HD,NA,OA"
CHEMBL40017,fallo_empirico_4_proteinas,22,"A,C,HD,N,NA,OA"
CHEMBL40136,fallo_empirico_4_proteinas,21,"A,Br,C,N,OA,S"
CHEMBL40324,fallo_empirico_4_proteinas,21,"A,C,HD,I,N,OA"
CHEMBL40349,tipo_invalido:Na,40,"A,C,HD,N,NA,Na,OA,S"
CHEMBL40360,tipo_invalido:Na,34,"A,C,N,Na,OA"
CHEMBL40364,tipo_invalido:B,40,"A,B,C,HD,N,NA,OA"
CHEMBL40404,fallo_empirico_4_proteinas,28,"A,C,HD,N,NA,OA,S"
CHEMBL40407,tipo_invalido:B,41,"A,B,C,HD,N,NA,OA"
CHEMBL40423,fallo_empirico_4_proteinas,29,"A,C,HD,NA,OA,S"
CHEMBL40456,fallo_empirico_4_proteinas,29,"A,C,HD,N,NA,OA,S"
CHEMBL40485,tipo_invalido:Na,40,"A,C,HD,N,NA,Na,OA,S"
CHEMBL40494,fallo_empirico_4_proteinas,30,"A,C,HD,N,NA,OA,S"
CHEMBL40495,fallo_empirico_4_proteinas,29,"A,C,HD,N,NA,OA,S"
CHEMBL40626,fallo_empirico_4_proteinas,25,"C,HD,NA,OA"
CHEMBL40691,tipo_invalido:Na,36,"A,C,HD,N,NA,Na,OA,S"
CHEMBL40783,fallo_empirico_4_proteinas,27,"C,HD,NA,OA"
CHEMBL40854,tipo_invalido:B,51,"A,B,C,HD,N,NA,OA,S"
CHEMBL40971,fallo_empirico_4_proteinas,26,"C,HD,NA,OA"
CHEMBL40973,fallo_empirico_4_proteinas,27,"A,Br,C,HD,N,NA,OA"
CHEMBL40998,tipo_invalido:Si,34,"A,C,HD,N,OA,Si"
CHEMBL41026,tipo_invalido:Na,34,"A,C,HD,N,NA,Na,OA,S"
CHEMBL41041,fallo_empirico_4_proteinas,28,"A,C,HD,NA,OA"
CHEMBL41114,fallo_empirico_4_proteinas,33,"A,C,F,HD,NA,OA"
CHEMBL41152,tipo_invalido:B,46,"A,B,C,F,HD,N,NA,OA"
CHEMBL41191,fallo_empirico_4_proteinas,28,"A,C,HD,NA"
CHEMBL41219,fallo_empirico_4_proteinas,25,"A,C,NA"
CHEMBL41238,fallo_empirico_4_proteinas,33,"A,C,F,HD,NA,OA,S"
CHEMBL41250,fallo_empirico_4_proteinas,23,"C,HD,NA,OA,P"
CHEMBL41275,fallo_empirico_4_proteinas,39,"A,C,Cl,HD,N,OA"
CHEMBL41277,tipo_invalido:Si,28,"A,C,Cl,HD,OA,Si"
CHEMBL41301,tipo_invalido:Na,35,"A,C,HD,Na,OA,S"
CHEMBL41368,fallo_empirico_4_proteinas,27,"A,C,HD,NA"
CHEMBL41378,fallo_empirico_4_proteinas,26,"C,HD,NA,OA"
CHEMBL413905,"tipo_invalido:CG,G0",72,"A,C,CG,G0,HD,N,OA"
CHEMBL41593,fallo_empirico_4_proteinas,21,"A,Br,C,HD,I,N,OA"
CHEMBL41594,fallo_empirico_4_proteinas,24,"A,C,Cl,HD,N,OA,S"
CHEMBL41604,fallo_empirico_4_proteinas,24,"A,Br,C,Cl,HD,N,OA,S"
CHEMBL41768,fallo_empirico_4_proteinas,26,"A,C,NA"
CHEMBL41786,fallo_empirico_4_proteinas,27,"A,Br,C,HD,N,NA,OA"
CHEMBL41799,tipo_invalido:Na,27,"A,C,F,NA,Na,OA,S"
CHEMBL41839,fallo_empirico_4_proteinas,27,"C,HD,NA,OA"
CHEMBL41884,fallo_empirico_4_proteinas,23,"A,C,HD,I,N,NA,OA,S"
CHEMBL41893,fallo_empirico_4_proteinas,24,"A,C,HD,I,N,NA,OA,S"
CHEMBL41899,fallo_empirico_4_proteinas,24,"A,C,Cl,HD,N,OA,S"
CHEMBL41914,fallo_empirico_4_proteinas,14,"A,C,HD,I,N,NA,S"
CHEMBL42077,tipo_invalido:Na,26,"A,C,NA,Na,OA,S"
CHEMBL42269,tipo_invalido:Na,39,"C,HD,Na,OA"
CHEMBL42338,fallo_empirico_4_proteinas,36,"A,C,Cl,HD,N,NA"
CHEMBL42512,fallo_empirico_4_proteinas,24,"A,C,Cl,HD,N,OA"
CHEMBL42528,tipo_invalido:Na,29,"A,C,N,NA,Na,OA,S"
CHEMBL42634,tipo_invalido:Si,38,"A,C,HD,N,NA,OA,Si"
CHEMBL42852,tipo_invalido:B,38,"A,B,C,HD,N,NA,OA"
CHEMBL42864,fallo_empirico_4_proteinas,18,"A,C,HD,I,N,NA,S"
CHEMBL4297111,"tipo_invalido:CG,G0,G1,G2,G3",166,"A,C,CG,Cl,G0,G1,G2,G3,HD,N,NA,OA"
CHEMBL4297147,fallo_empirico_4_proteinas,35,"A,C,Cl,F,HD,NA,OA"
CHEMBL4298926,tipo_invalido:B,17,"B,Br,C,HD,N,OA"
CHEMBL4299065,tipo_invalido:Te,30,"C,Cl,HD,NA,OA,Te"
CHEMBL4299066,tipo_invalido:Si,37,"A,C,Cl,HD,N,NA,OA,Si"
CHEMBL4299068,tipo_invalido:Te,9,"C,Cl,HD,OA,Te"
CHEMBL4299159,tipo_invalido:Si,37,"A,Cl,HD,OA,Si"
CHEMBL4299160,tipo_invalido:Si,35,"C,Cl,HD,OA,Si"
CHEMBL4299161,tipo_invalido:Si,55,"A,Cl,HD,NA,OA,Si"
CHEMBL4299165,fallo_empirico_4_proteinas,53,"A,C,HD,N,NA,OA,S"
CHEMBL4299166,fallo_empirico_4_proteinas,52,"A,C,HD,N,NA,OA,S"
CHEMBL4299167,fallo_empirico_4_proteinas,52,"A,C,HD,N,NA,OA,S"
CHEMBL4299173,fallo_empirico_4_proteinas,52,"A,C,Cl,HD,N,NA,OA"
CHEMBL4299185,fallo_empirico_4_proteinas,28,"A,C,Cl,HD,N,NA,OA,S"
CHEMBL4299873,tipo_invalido:B,42,"A,B,C,HD,N,NA,OA,P"
CHEMBL4299960,fallo_empirico_4_proteinas,18,"Cl,HD,OA"
CHEMBL4300169,tipo_invalido:B,42,"A,B,C,HD,N,NA,OA,P"
CHEMBL43081,fallo_empirico_4_proteinas,31,"A,C,N,OA,P"
CHEMBL43128,fallo_empirico_4_proteinas,38,"A,C,HD,N,NA,OA,P"
CHEMBL43129,fallo_empirico_4_proteinas,26,"A,C,NA"
CHEMBL43140,tipo_invalido:B,47,"A,B,C,HD,N,NA,OA,S"
CHEMBL43170,tipo_invalido:Na,27,"A,C,HD,N,NA,Na,OA,S"
CHEMBL43204,tipo_invalido:Na,24,"A,C,HD,N,Na,OA,S"
CHEMBL43216,fallo_empirico_4_proteinas,33,"A,Br,C,HD,N,NA,OA,S"
CHEMBL43236,fallo_empirico_4_proteinas,26,"C,HD,NA,OA,P"
CHEMBL43268,fallo_empirico_4_proteinas,34,"A,C,HD,N,NA,OA,S"
CHEMBL43299,fallo_empirico_4_proteinas,21,"A,C,HD,I,N,NA,OA,S"
CHEMBL43302,fallo_empirico_4_proteinas,39,"A,C,HD,N,NA,OA,P"
CHEMBL43418,tipo_invalido:Si,29,"A,C,HD,OA,Si"
CHEMBL43453,fallo_empirico_4_proteinas,22,"A,C,Cl,HD,N"
CHEMBL43579,tipo_invalido:Si,37,"A,C,NA,OA,S,Si"
CHEMBL43582,tipo_invalido:K,24,"A,C,K,OA"
CHEMBL43639,tipo_invalido:Na,31,"A,C,F,HD,NA,Na,OA"
CHEMBL43686,fallo_empirico_4_proteinas,7,"A,Cl,HD,NA,S"
CHEMBL43708,fallo_empirico_4_proteinas,27,"C,HD,N,NA,OA,S"
CHEMBL43784,fallo_empirico_4_proteinas,18,"A,C,Cl,F,N,OA,S"
CHEMBL43788,fallo_empirico_4_proteinas,37,"A,C,Cl,HD,N,NA,OA,S"
CHEMBL43843,fallo_empirico_4_proteinas,38,"A,C,Cl,HD,NA,OA"
CHEMBL43955,tipo_invalido:Na,31,"A,C,HD,N,NA,Na,OA,S"
CHEMBL44005,tipo_invalido:Li,30,"A,C,HD,Li,N,NA,OA,P"
CHEMBL44117,fallo_empirico_4_proteinas,29,"A,C,HD,N,OA,S"
CHEMBL44169,fallo_empirico_4_proteinas,34,"A,C,Cl,HD,N,NA,OA,S"
CHEMBL44171,fallo_empirico_4_proteinas,36,"A,C,Cl,F,N,NA,OA,S"
CHEMBL442567,fallo_empirico_4_proteinas,48,"A,C,Cl,HD,N,OA"
CHEMBL44267,fallo_empirico_4_proteinas,21,"A,C,Cl,F,N,OA,S"
CHEMBL44274,tipo_invalido:Na,34,"A,C,HD,N,NA,Na,OA,S"
CHEMBL44278,tipo_invalido:Na,36,"A,C,HD,N,NA,Na,OA,S"
CHEMBL443151,fallo_empirico_4_proteinas,47,"A,C,Cl,F,HD,N,OA"
CHEMBL44325,fallo_empirico_4_proteinas,22,"A,Br,C,HD,N,OA"
CHEMBL4434666,fallo_empirico_4_proteinas,37,"A,C,Cl,HD,NA,OA,S"
CHEMBL4434667,fallo_empirico_4_proteinas,25,"A,C,I,N,OA,S"
CHEMBL4434669,fallo_empirico_4_proteinas,30,"A,C,Cl,HD,N,NA,OA,S"
CHEMBL4434893,fallo_empirico_4_proteinas,27,"A,Br,C,F,HD,N,NA,S"
CHEMBL4434903,fallo_empirico_4_proteinas,45,"A,Br,C,N,OA"
CHEMBL4434927,tipo_invalido:B,19,"A,B,C,Cl,HD,N,OA"
CHEMBL4434965,"tipo_invalido:B,Si",18,"A,B,C,F,HD,OA,Si"
CHEMBL4435010,fallo_empirico_4_proteinas,31,"A,C,Cl,HD,N,NA,OA,S"
CHEMBL4435028,fallo_empirico_4_proteinas,35,"A,C,Cl,HD,N,NA,OA"
CHEMBL4435052,fallo_empirico_4_proteinas,20,"A,C,Cl,HD,N,NA,OA"
CHEMBL4435078,tipo_invalido:Te,26,"A,C,HD,NA,OA,S,Te"
CHEMBL4435099,fallo_empirico_4_proteinas,32,"A,C,Cl,HD,NA,OA,S"
CHEMBL4435124,fallo_empirico_4_proteinas,32,"A,C,Cl,F,HD,N,NA,OA,S"
CHEMBL4435138,fallo_empirico_4_proteinas,48,"A,C,Cl,F,HD,N,NA,OA"
CHEMBL4435165,tipo_invalido:B,26,"A,B,C,HD,N,NA,OA"
CHEMBL4435181,fallo_empirico_4_proteinas,55,"A,C,F,HD,N,NA,OA,P"
CHEMBL4435218,tipo_invalido:Si,45,"A,C,N,NA,OA,Si"
CHEMBL4435222,tipo_invalido:B,31,"A,B,C,HD,N,OA"
CHEMBL4435311,tipo_invalido:Na,22,"A,C,HD,N,NA,Na,OA,P,S"
CHEMBL4435328,fallo_empirico_4_proteinas,47,"C,Cl,HD,N,NA,OA"
CHEMBL4435350,fallo_empirico_4_proteinas,32,"A,C,HD,NA,OA"
CHEMBL4435388,tipo_invalido:K,36,"A,C,HD,K,N,NA,OA,P"
CHEMBL4435446,fallo_empirico_4_proteinas,35,"A,C,Cl,F,HD,N,NA,OA,S"
CHEMBL4435459,fallo_empirico_4_proteinas,30,"A,Br,C,HD,N,NA,OA,S"
CHEMBL4435483,tipo_invalido:Na,29,"A,C,HD,I,N,NA,Na,OA,S"
CHEMBL4435484,tipo_invalido:Na,27,"A,C,Cl,HD,N,Na,OA,P"
CHEMBL4435551,fallo_empirico_4_proteinas,24,"A,C,Cl,HD,NA,OA,S"
CHEMBL4435556,tipo_invalido:K,29,"A,C,HD,K,NA,OA,P"
CHEMBL4435582,tipo_invalido:Na,34,"C,HD,N,NA,Na,OA"
CHEMBL4435605,tipo_invalido:B,23,"A,B,C,Cl,N,OA"
CHEMBL4435620,fallo_empirico_4_proteinas,32,"A,C,Cl,HD,N,NA,OA"
CHEMBL4435631,fallo_empirico_4_proteinas,30,"A,C,Cl,HD,N,NA,OA"
CHEMBL4435649,tipo_invalido:B,32,"A,B,C,HD,N,OA"
CHEMBL4435670,fallo_empirico_4_proteinas,27,"A,Br,C,HD,N,OA,S"
CHEMBL4435703,fallo_empirico_4_proteinas,33,"A,C,Cl,HD,N,NA,OA"
CHEMBL4435717,tipo_invalido:Na,21,"A,C,N,NA,Na,OA,S"
CHEMBL4435728,fallo_empirico_4_proteinas,40,"A,C,Cl,HD,N,NA,OA"
CHEMBL4435742,fallo_empirico_4_proteinas,21,"A,C,Cl,HD,NA,OA"
CHEMBL4435761,fallo_empirico_4_proteinas,46,"A,C,Cl,F,HD,N,NA,OA"
CHEMBL4435820,tipo_invalido:B,34,"A,B,C,Cl,HD,N,NA,OA"
CHEMBL4435901,fallo_empirico_4_proteinas,34,"A,C,Cl,HD,N,NA,OA"
CHEMBL4435903,tipo_invalido:B,34,"A,B,Cl,F,HD,N,NA,OA"
CHEMBL4435917,fallo_empirico_4_proteinas,37,"A,C,Cl,F,HD,N,NA,OA"
CHEMBL4435925,fallo_empirico_4_proteinas,45,"A,Br,C,N,NA,OA"
CHEMBL4435958,fallo_empirico_4_proteinas,35,"A,C,F,HD,N,NA,OA"
CHEMBL4435959,fallo_empirico_4_proteinas,33,"A,C,Cl,HD,N,NA,OA,S"
CHEMBL4435965,tipo_invalido:Na,30,"A,C,HD,N,Na,OA,P"
CHEMBL443598,"tipo_invalido:CG,G0,G1",56,"C,CG,G0,G1,HD,OA"
CHEMBL4435981,fallo_empirico_4_proteinas,45,"A,C,F,HD,N,NA,OA,S"
CHEMBL4435998,fallo_empirico_4_proteinas,32,"A,C,HD,I,N,OA"
CHEMBL4436011,fallo_empirico_4_proteinas,22,"A,C,Cl,HD,N,NA,OA"
CHEMBL4436024,tipo_invalido:Na,18,"A,C,HD,N,Na,OA,SA"
CHEMBL4436035,fallo_empirico_4_proteinas,20,"C,Cl,HD,NA,OA"
CHEMBL4436048,tipo_invalido:B,34,"A,B,C,Cl,HD,N,NA,OA"
CHEMBL4436072,fallo_empirico_4_proteinas,34,"A,C,Cl,F,HD,N,NA,OA"
CHEMBL4436117,fallo_empirico_4_proteinas,28,"A,C,Cl,HD,NA,OA,S"
CHEMBL4436142,fallo_empirico_4_proteinas,37,"A,C,F,HD,N,NA,OA"
CHEMBL4436207,tipo_invalido:B,44,"A,B,C,HD,N,NA,OA,S"
CHEMBL4436263,fallo_empirico_4_proteinas,32,"A,C,HD,I,N,OA"
CHEMBL4436277,fallo_empirico_4_proteinas,33,"A,Br,C,F,N,NA,OA"
CHEMBL4436319,fallo_empirico_4_proteinas,35,"A,C,Cl,HD,N,NA,OA,S"
CHEMBL4436321,fallo_empirico_4_proteinas,28,"A,C,Cl,HD,N,NA,OA,S"
CHEMBL4436327,fallo_empirico_4_proteinas,24,"A,C,Cl,HD,N,NA"
CHEMBL4436333,fallo_empirico_4_proteinas,39,"A,C,F,HD,N,NA,OA"
CHEMBL4436352,fallo_empirico_4_proteinas,28,"A,Br,C,HD,N,NA,OA,S"
CHEMBL4436391,fallo_empirico_4_proteinas,40,"A,C,Cl,HD,N,NA,OA"
CHEMBL4436450,fallo_empirico_4_proteinas,46,"A,C,F,HD,N,NA,OA"
CHEMBL4436477,tipo_invalido:Ag,17,"A,Ag,HD,N,NA,OA,S"
CHEMBL4436484,tipo_invalido:Na,27,"A,C,Cl,HD,N,NA,Na,OA,S"
CHEMBL4436541,fallo_empirico_4_proteinas,43,"A,C,Cl,F,HD,N,NA,OA"
CHEMBL4436547,fallo_empirico_4_proteinas,52,"A,C,Cl,F,HD,N,NA,OA"
CHEMBL4436581,fallo_empirico_4_proteinas,44,"A,C,Cl,F,HD,N,NA,OA"
CHEMBL4436599,fallo_empirico_4_proteinas,29,"A,C,Cl,HD,N,NA,OA,S"
CHEMBL4436605,fallo_empirico_4_proteinas,31,"A,C,Cl,F,HD,NA,OA"
CHEMBL4436627,fallo_empirico_4_proteinas,28,"A,C,Cl,HD,N,NA,OA"
CHEMBL4436649,fallo_empirico_4_proteinas,29,"A,C,Cl,HD,N,NA,OA,S"
CHEMBL4436669,tipo_invalido:B,28,"A,B,C,HD,N,NA,OA,S"
CHEMBL4436673,fallo_empirico_4_proteinas,30,"A,C,Cl,F,HD,N,NA,OA"
CHEMBL44394,fallo_empirico_4_proteinas,22,"A,C,Cl,I,N,S"
CHEMBL44534,tipo_invalido:Na,26,"A,C,HD,N,Na,OA,S"
CHEMBL44570,tipo_invalido:Li,26,"A,C,HD,Li,N,NA,OA,P"
CHEMBL44574,tipo_invalido:Na,29,"A,C,HD,Na,OA,P"
CHEMBL44588,tipo_invalido:Na,33,"A,C,HD,N,NA,Na,OA,S"
CHEMBL44615,fallo_empirico_4_proteinas,37,"A,Br,C,F,HD,N,NA,OA,S"
CHEMBL44661,tipo_invalido:Na,18,"A,C,NA,Na,OA,S"
CHEMBL44675,tipo_invalido:Li,54,"A,C,HD,Li,N,NA,OA,P,S"
CHEMBL44713,fallo_empirico_4_proteinas,18,"A,Br,C,Cl,F,N,OA,S"
CHEMBL44733,fallo_empirico_4_proteinas,21,"A,Br,C,F,N,OA,S"
CHEMBL44754,tipo_invalido:Na,31,"A,C,HD,N,NA,Na,OA,S"
CHEMBL447886,"tipo_invalido:CG,G0",45,"A,C,CG,G0,HD,NA,OA"
CHEMBL44816,tipo_invalido:Na,31,"A,C,HD,N,NA,Na,OA,S"
CHEMBL44835,fallo_empirico_4_proteinas,36,"A,C,Cl,HD,NA,OA"
CHEMBL44932,tipo_invalido:Na,38,"A,C,HD,N,NA,Na,OA,S"
CHEMBL44944,fallo_empirico_4_proteinas,30,"A,C,Cl,HD,N,OA"
CHEMBL449977,fallo_empirico_4_proteinas,46,"A,C,Cl,HD,N,OA"
CHEMBL44999,tipo_invalido:Li,31,"A,C,HD,Li,N,NA,OA,P"
CHEMBL45082,fallo_empirico_4_proteinas,21,"A,C,Cl,HD,N,NA,OA"
CHEMBL45084,tipo_invalido:Na,23,"A,C,I,N,NA,Na,OA,S"
CHEMBL45118,fallo_empirico_4_proteinas,24,"A,C,Cl,HD,N,NA,OA,S"
CHEMBL45136,tipo_invalido:Na,23,"A,Br,C,N,NA,Na,OA,S"
CHEMBL45159,fallo_empirico_4_proteinas,23,"C,I,N,OA,S"
CHEMBL45172,fallo_empirico_4_proteinas,37,"A,C,Cl,HD,NA,OA"
CHEMBL45248,fallo_empirico_4_proteinas,35,"A,C,Cl,HD,I,N,OA"
CHEMBL45273,tipo_invalido:Na,27,"A,C,N,NA,Na,OA,S"
CHEMBL4527880,tipo_invalido:B,41,"A,B,C,HD,N,OA"
CHEMBL4527941,"tipo_invalido:CG,G0",21,"A,C,CG,G0,N,NA,OA"
CHEMBL4528179,"tipo_invalido:CG,G0",37,"A,C,CG,G0,HD,N,OA,SA"
CHEMBL4528190,"tipo_invalido:CG,G0",87,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL4528258,"tipo_invalido:CG,G0",52,"A,C,CG,G0,HD,N,OA"
CHEMBL45291,tipo_invalido:Li,26,"A,C,HD,Li,N,NA,OA,P"
CHEMBL4529430,"tipo_invalido:CG,G0",37,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL4529479,tipo_invalido:B,55,"A,B,C,F,N,OA"
CHEMBL4529500,"tipo_invalido:CG,G0",26,"A,C,CG,Cl,F,G0,HD,N,OA"
CHEMBL4529530,"tipo_invalido:CG,G0",32,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL4529532,"tipo_invalido:CG,G0",39,"A,C,CG,F,G0,HD,N,NA"
CHEMBL4529618,"tipo_invalido:B,Si",17,"A,B,C,F,HD,OA,Si"
CHEMBL4529624,"tipo_invalido:CG,G0",56,"A,C,CG,G0,HD,N,NA,OA,SA"
CHEMBL4529628,tipo_invalido:B,25,"B,C,HD,N,NA,OA"
CHEMBL4529639,"tipo_invalido:CG,G0",64,"A,C,CG,F,G0,HD,N,OA"
CHEMBL4529660,"tipo_invalido:B,CG,G0",43,"A,B,C,CG,F,G0,HD,N,OA"
CHEMBL4529676,"tipo_invalido:CG,G0",23,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL4529681,"tipo_invalido:CG,G0",24,"A,C,CG,G0,NA,OA"
CHEMBL4529691,tipo_invalido:B,32,"A,B,C,F,HD,N,OA"
CHEMBL4529696,"tipo_invalido:CG,G0",23,"A,C,CG,G0,HD,NA,OA"
CHEMBL4529717,"tipo_invalido:CG,G0",26,"A,C,CG,F,G0,NA,S"
CHEMBL4529730,"tipo_invalido:CG,G0",23,"A,C,CG,G0,HD,NA,OA"
CHEMBL4529751,"tipo_invalido:CG,G0",48,"A,C,CG,G0,HD,NA"
CHEMBL4529771,"tipo_invalido:CG,G0",73,"C,CG,G0,HD,N,NA,OA,S"
CHEMBL4529797,"tipo_invalido:CG,G0",21,"C,CG,G0,HD,NA,OA"
CHEMBL4529800,fallo_empirico_4_proteinas,67,"C,F,HD,N,OA"
CHEMBL4529823,"tipo_invalido:CG,G0",30,"A,C,CG,G0,HD,NA,OA"
CHEMBL4529829,"tipo_invalido:CG,G0",37,"A,C,CG,F,G0,HD,NA,OA"
CHEMBL4529841,"tipo_invalido:CG,G0",73,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL4529863,"tipo_invalido:CG,G0",44,"A,C,CG,Cl,G0,HD,N,NA,OA"
CHEMBL4529868,"tipo_invalido:CG,G0",32,"A,C,CG,G0,HD,N,OA,S"
CHEMBL4529877,"tipo_invalido:CG,G0",20,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL4529883,"tipo_invalido:CG,G0",26,"A,C,CG,G0,HD,NA,OA"
CHEMBL4529895,"tipo_invalido:CG,G0",41,"A,C,CG,G0,HD,NA,OA"
CHEMBL4529904,"tipo_invalido:CG,G0",38,"A,C,CG,G0,HD,N,NA,OA,S"
CHEMBL4529917,"tipo_invalido:CG,G0",23,"A,C,CG,G0,OA"
CHEMBL4529928,"tipo_invalido:CG,G0",40,"A,C,CG,Cl,F,G0,HD,NA,OA"
CHEMBL4529931,"tipo_invalido:CG,G0",58,"A,C,CG,G0,OA"
CHEMBL4529943,"tipo_invalido:CG,G0",28,"A,C,CG,Cl,G0,N,NA,OA"
CHEMBL4529946,"tipo_invalido:CG,G0",46,"A,C,CG,Cl,G0,HD,N,NA,OA,S"
