ligand,motivo,n_atomos,tipos
CHEMBL1206947,"tipo_invalido:CG,G0",42,"A,C,CG,F,G0,HD,NA,OA,P"
CHEMBL1206998,fallo_empirico_4_proteinas,71,"C,HD,N,OA,SA"
CHEMBL1207007,"tipo_invalido:CG,G0",37,"A,C,CG,F,G0,HD,N,NA,OA"
CHEMBL1207215,"tipo_invalido:CG,G0",56,"C,CG,G0,HD,NA,OA"
CHEMBL1207285,"tipo_invalido:CG,G0",76,"A,C,CG,G0,HD,N,OA"
CHEMBL1207297,"tipo_invalido:CG,G0",44,"A,C,CG,F,G0,HD,N,OA"
CHEMBL1207357,"tipo_invalido:CG,G0",93,"A,C,CG,G0,HD,N,OA,S"
CHEMBL1207498,"tipo_invalido:CG,G0,G1,G2",122,"A,C,CG,G0,G1,G2,HD,N,NA,OA,S,SA"
CHEMBL1207507,fallo_empirico_4_proteinas,129,"C,HD,NA,OA,S"
CHEMBL1207689,"tipo_invalido:CG,G0",35,"A,C,CG,Cl,G0,HD,N,OA,S"
CHEMBL1207702,"tipo_invalido:CG,G0",40,"A,C,CG,F,G0,HD,NA,OA,S"
CHEMBL1207705,"tipo_invalido:CG,G0",28,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1207752,"tipo_invalido:CG,G0",78,"A,C,CG,G0,HD,N,OA,P"
CHEMBL1207779,"tipo_invalido:CG,G0",94,"A,C,CG,G0,HD,N,OA,S"
CHEMBL1207834,"tipo_invalido:CG,G0",55,"A,C,CG,G0,HD,OA,S"
CHEMBL1207905,"tipo_invalido:CG,G0",53,"A,C,CG,G0,HD,OA,S"
CHEMBL1207961,"tipo_invalido:CG,G0",62,"A,Br,C,CG,G0,HD,N,NA,OA,S"
CHEMBL1208056,"tipo_invalido:CG,G0",39,"A,C,CG,G0,HD,N,OA,P,SA"
CHEMBL1208222,"tipo_invalido:CG,G0",51,"A,C,CG,G0,HD,OA,S"
CHEMBL1208622,"tipo_invalido:CG,G0",37,"A,C,CG,G0,HD,N,OA,S"
CHEMBL1208628,"tipo_invalido:CG,G0",35,"A,C,CG,G0,HD,N,OA,S"
CHEMBL1209679,tipo_invalido:B,12,"A,B,Cl,HD,OA"
CHEMBL1210704,"tipo_invalido:CG,G0",35,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1210705,"tipo_invalido:CG,G0",34,"A,Br,C,CG,G0,HD,N,NA,OA"
CHEMBL1210706,"tipo_invalido:CG,G0",34,"A,C,CG,F,G0,HD,N,NA,OA"
CHEMBL1237048,fallo_empirico_4_proteinas,56,"C,HD,NA,OA,S"
CHEMBL1237055,fallo_empirico_4_proteinas,24,"A,C,Cl,HD,NA,OA"
CHEMBL1237065,fallo_empirico_4_proteinas,22,"A,C,Cl,HD,NA,OA"
CHEMBL1237066,tipo_invalido:Ca,43,"C,Ca,HD,OA"
CHEMBL1237068,fallo_empirico_4_proteinas,34,"C,HD,OA"
CHEMBL1237080,fallo_empirico_4_proteinas,26,"A,C,Cl,HD,N,NA,OA"
CHEMBL1237082,fallo_empirico_4_proteinas,15,"C,Cl,HD,NA"
CHEMBL1237102,fallo_empirico_4_proteinas,34,"A,C,Cl,F,HD,NA,OA"
CHEMBL1237104,fallo_empirico_4_proteinas,27,"A,C,Cl,HD,NA,OA"
CHEMBL1237108,fallo_empirico_4_proteinas,26,"A,Br,C,HD,N,OA"
CHEMBL1242326,"tipo_invalido:CG,G0",28,"A,C,CG,G0,HD,NA,OA"
CHEMBL1242327,"tipo_invalido:CG,G0",24,"C,CG,G0,HD,N,OA"
CHEMBL1242374,"tipo_invalido:CG,G0",43,"C,CG,G0,HD,OA"
CHEMBL1242418,"tipo_invalido:CG,G0",23,"C,CG,G0,NA,OA"
CHEMBL1242465,"tipo_invalido:CG,G0",33,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1242467,"tipo_invalido:CG,G0",42,"C,CG,G0,HD,OA"
CHEMBL1242564,"tipo_invalido:CG,G0",45,"C,CG,G0,HD,OA"
CHEMBL1242632,"tipo_invalido:CG,G0",37,"A,C,CG,G0,N,NA,OA"
CHEMBL1242633,"tipo_invalido:CG,G0",37,"A,C,CG,G0,N,NA,OA"
CHEMBL1242646,"tipo_invalido:CG,G0",56,"C,CG,G0,HD,N,NA,OA"
CHEMBL1242650,"tipo_invalido:CG,G0",31,"A,C,CG,G0,HD,N,NA,OA,S"
CHEMBL1242654,"tipo_invalido:CG,G0",45,"C,CG,G0,HD,OA"
CHEMBL1242745,"tipo_invalido:CG,G0",43,"C,CG,G0,HD,OA"
CHEMBL1242750,"tipo_invalido:CG,G0",30,"A,C,CG,F,G0,HD,N,NA,OA"
CHEMBL1242825,tipo_invalido:Si,39,"A,Br,C,OA,Si"
CHEMBL1242841,"tipo_invalido:CG,G0",41,"C,CG,G0,HD,OA"
CHEMBL1242929,"tipo_invalido:CG,G0",40,"A,C,CG,G0,HD,N,OA,SA"
CHEMBL1242934,"tipo_invalido:CG,G0",34,"A,C,CG,G0,HD,N,NA,OA,S,SA"
CHEMBL1242935,"tipo_invalido:CG,G0",49,"A,C,CG,G0,HD,N,OA"
CHEMBL1242955,"tipo_invalido:CG,G0",40,"A,C,CG,G0,HD,N,OA,SA"
CHEMBL1242956,"tipo_invalido:CG,G0",33,"C,CG,G0,N,OA,SA"
CHEMBL1242963,"tipo_invalido:CG,G0",49,"A,C,CG,G0,HD,N,OA"
CHEMBL1242982,"tipo_invalido:CG,G0",34,"C,CG,G0,N,OA,SA"
CHEMBL1242983,"tipo_invalido:CG,G0",37,"C,CG,G0,N,OA,SA"
CHEMBL1242989,"tipo_invalido:CG,G0",42,"A,C,CG,G0,HD,N,NA,OA,S,SA"
CHEMBL1242990,"tipo_invalido:CG,G0",49,"A,C,CG,G0,HD,N,OA"
CHEMBL1243014,"tipo_invalido:CG,G0",37,"C,CG,G0,HD,N,OA,SA"
CHEMBL1243022,"tipo_invalido:CG,G0",34,"A,C,CG,G0,HD,N,NA,OA,S,SA"
CHEMBL1243029,"tipo_invalido:CG,G0",36,"A,C,CG,G0,HD,OA"
CHEMBL1243030,"tipo_invalido:CG,G0",36,"A,C,CG,G0,OA"
CHEMBL1243047,"tipo_invalido:CG,G0",39,"A,C,CG,G0,N,OA,SA"
CHEMBL1243062,"tipo_invalido:CG,G0",36,"A,C,CG,G0,OA"
CHEMBL1243063,"tipo_invalido:CG,G0",36,"A,C,CG,G0,HD,OA"
CHEMBL1243079,"tipo_invalido:CG,G0",40,"A,C,CG,G0,N,OA,SA"
CHEMBL1243080,"tipo_invalido:CG,G0",34,"C,CG,G0,HD,N,OA,SA"
CHEMBL1243114,"tipo_invalido:CG,G0",39,"A,C,CG,G0,HD,N,OA,SA"
CHEMBL1243115,"tipo_invalido:CG,G0",35,"C,CG,G0,HD,N,OA,SA"
CHEMBL1243123,"tipo_invalido:CG,G0",39,"C,CG,G0,HD,NA,OA,S"
CHEMBL1243149,"tipo_invalido:CG,G0",37,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1243179,"tipo_invalido:CG,G0,G1",38,"C,CG,G0,G1,HD,N,NA,OA"
CHEMBL1243184,tipo_invalido:B,31,"A,B,C,HD,N,OA"
CHEMBL1243337,"tipo_invalido:CG,G0",37,"A,C,CG,G0,HD,N,NA,OA,S,SA"
CHEMBL1243370,"tipo_invalido:CG,G0",49,"A,C,CG,G0,HD,N,OA"
CHEMBL1243373,tipo_invalido:B,27,"A,B,C,HD,N,OA"
CHEMBL1243390,"tipo_invalido:CG,G0",33,"C,CG,G0,HD,N,OA,SA"
CHEMBL1243398,"tipo_invalido:CG,G0",49,"A,C,CG,G0,HD,N,OA"
CHEMBL1310614,"tipo_invalido:CG,G0",27,"A,C,CG,G0,HD,N,OA,S"
CHEMBL1401300,"tipo_invalido:CG,G0",34,"A,C,CG,F,G0,HD,N,NA,OA,S"
CHEMBL1422689,"tipo_invalido:CG,G0",25,"A,C,CG,Cl,G0,HD,N,NA,OA,S"
CHEMBL1435671,"tipo_invalido:CG,G0",27,"A,C,CG,Cl,G0,HD,N,OA"
CHEMBL1436528,"tipo_invalido:CG,G0",36,"A,C,CG,G0,HD,N,OA,S"
CHEMBL1473738,"tipo_invalido:CG,G0",34,"A,Br,C,CG,Cl,F,G0,HD,N,OA"
CHEMBL1474751,"tipo_invalido:CG,G0",33,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1500978,"tipo_invalido:CG,G0",17,"A,C,CG,G0,NA"
CHEMBL1507589,"tipo_invalido:CG,G0",37,"A,C,CG,Cl,G0,N,OA"
CHEMBL1547534,"tipo_invalido:CG,G0",25,"A,C,CG,G0,HD,N,NA,OA,SA"
CHEMBL1554159,"tipo_invalido:CG,G0",27,"A,C,CG,Cl,G0,HD,N,NA"
CHEMBL1598103,"tipo_invalido:CG,G0",27,"A,C,CG,G0,HD,N,OA"
CHEMBL1615736,fallo_empirico_4_proteinas,118,"C,HD,OA,S"
CHEMBL1654,tipo_invalido:Na,22,"A,C,HD,NA,Na,OA,P"
CHEMBL1658,"tipo_invalido:CG,G0",39,"C,CG,G0,HD,NA,OA,SA"
CHEMBL1660,"tipo_invalido:CG,G0",71,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1685,"tipo_invalido:CG,G0",23,"A,C,CG,G0,HD,NA,OA"
CHEMBL1708773,"tipo_invalido:CG,G0",33,"A,C,CG,F,G0,HD,N,NA,OA,S"
CHEMBL1712281,"tipo_invalido:CG,G0",34,"A,C,CG,G0,HD,N,NA,OA,S"
CHEMBL1741046,fallo_empirico_4_proteinas,161,"C,HD,OA,S"
CHEMBL1773447,fallo_empirico_4_proteinas,125,"A,C,HD,N,NA,OA"
CHEMBL1773720,fallo_empirico_4_proteinas,128,"A,C,HD,N,NA,OA"
CHEMBL1773870,fallo_empirico_4_proteinas,124,"A,C,HD,N,NA,OA"
CHEMBL1795355,"tipo_invalido:CG,G0",39,"A,C,CG,Cl,G0,HD,N,NA,OA"
CHEMBL1795525,"tipo_invalido:CG,G0,G1",74,"A,C,CG,G0,G1,HD,OA"
CHEMBL1796246,"tipo_invalido:CG,G0",40,"A,C,CG,Cl,F,G0,HD,N,NA,OA"
CHEMBL1796247,"tipo_invalido:CG,G0",42,"A,C,CG,Cl,F,G0,HD,N,NA,OA"
CHEMBL1796248,"tipo_invalido:CG,G0",37,"A,C,CG,Cl,G0,HD,N,NA,OA"
CHEMBL1796249,"tipo_invalido:CG,G0",41,"A,C,CG,Cl,G0,HD,N,NA,OA,S"
CHEMBL1796250,"tipo_invalido:CG,G0",42,"A,C,CG,Cl,G0,HD,N,NA,OA,S"
CHEMBL1796251,"tipo_invalido:CG,G0",44,"A,C,CG,Cl,F,G0,HD,N,NA,OA,S"
CHEMBL1796252,"tipo_invalido:CG,G0",42,"A,C,CG,Cl,G0,HD,N,NA,OA,S"
CHEMBL1796253,"tipo_invalido:CG,G0",37,"A,C,CG,Cl,G0,HD,N,NA,OA"
CHEMBL1796254,"tipo_invalido:CG,G0",42,"A,C,CG,Cl,G0,HD,N,NA,OA,S"
CHEMBL1796255,"tipo_invalido:CG,G0",36,"A,C,CG,Cl,G0,HD,N,NA,OA"
CHEMBL1796256,"tipo_invalido:CG,G0",34,"A,C,CG,Cl,G0,HD,N,NA,OA"
CHEMBL1796257,"tipo_invalido:CG,G0",42,"A,C,CG,Cl,G0,HD,N,NA,OA,S"
CHEMBL1796258,"tipo_invalido:CG,G0",43,"A,C,CG,Cl,G0,HD,N,NA,OA,S"
CHEMBL1796259,"tipo_invalido:CG,G0",40,"A,C,CG,Cl,G0,HD,N,NA,OA,S"
CHEMBL1796260,"tipo_invalido:CG,G0",40,"A,C,CG,Cl,G0,HD,N,NA,OA,S"
CHEMBL1796261,"tipo_invalido:CG,G0",40,"A,C,CG,Cl,G0,HD,N,NA,OA,S"
CHEMBL1796262,"tipo_invalido:CG,G0",40,"A,C,CG,Cl,G0,HD,N,NA,OA,S"
CHEMBL1796272,"tipo_invalido:CG,G0",28,"A,C,CG,Cl,G0,N,OA,S"
CHEMBL1796273,"tipo_invalido:CG,G0",32,"A,C,CG,Cl,G0,HD,N,OA,S"
CHEMBL1796274,"tipo_invalido:CG,G0",33,"A,C,CG,Cl,G0,HD,N,OA,S"
CHEMBL1796275,"tipo_invalido:CG,G0",32,"A,C,CG,Cl,G0,HD,N,OA,S"
CHEMBL1796276,"tipo_invalido:CG,G0",32,"A,C,CG,Cl,G0,HD,N,OA,S"
CHEMBL1796690,"tipo_invalido:CG,G0",44,"A,C,CG,G0,HD,N,NA,OA,S,SA"
CHEMBL1796691,"tipo_invalido:CG,G0",34,"A,C,CG,G0,HD,N,NA,OA,S,SA"
CHEMBL1796692,"tipo_invalido:CG,G0",35,"A,C,CG,G0,HD,N,NA,OA,S,SA"
CHEMBL1796693,"tipo_invalido:CG,G0",38,"A,C,CG,G0,HD,N,NA,OA,S,SA"
CHEMBL1796973,"tipo_invalido:CG,G0",28,"A,C,CG,G0,HD,N,OA"
CHEMBL1796974,"tipo_invalido:CG,G0",23,"A,C,CG,G0,HD,N,OA"
CHEMBL1796975,"tipo_invalido:CG,G0",29,"A,C,CG,G0,HD,N,OA"
CHEMBL1796977,"tipo_invalido:CG,G0",28,"A,C,CG,G0,N,OA"
CHEMBL1796980,"tipo_invalido:CG,G0",23,"A,C,CG,G0,HD,N,OA"
CHEMBL1796981,"tipo_invalido:CG,G0",23,"A,C,CG,G0,HD,N,OA"
CHEMBL1796982,"tipo_invalido:CG,G0",25,"A,C,CG,F,G0,HD,N,OA"
CHEMBL1796984,"tipo_invalido:CG,G0",27,"A,C,CG,G0,HD,N,OA"
CHEMBL1796985,"tipo_invalido:CG,G0",29,"A,C,CG,G0,HD,N,OA"
CHEMBL1796986,"tipo_invalido:CG,G0",30,"A,C,CG,G0,HD,N,OA"
CHEMBL1796988,"tipo_invalido:CG,G0",32,"A,C,CG,G0,HD,N,OA"
CHEMBL1796989,"tipo_invalido:CG,G0",33,"A,C,CG,G0,HD,N,OA"
CHEMBL1796990,"tipo_invalido:CG,G0",30,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1796991,"tipo_invalido:CG,G0",33,"A,C,CG,G0,HD,N,OA"
CHEMBL1796992,"tipo_invalido:CG,G0",30,"A,C,CG,G0,HD,N,OA"
CHEMBL1796994,"tipo_invalido:CG,G0",30,"A,C,CG,G0,N,OA"
CHEMBL1796995,"tipo_invalido:CG,G0",38,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1796996,"tipo_invalido:CG,G0",34,"A,C,CG,G0,HD,N,OA"
CHEMBL1806528,"tipo_invalido:CG,G0",143,"A,C,CG,G0,HD,N,NA,OA,SA"
CHEMBL1806530,"tipo_invalido:CG,G0",143,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1806826,"tipo_invalido:CG,G0",33,"A,C,CG,G0,HD,NA,OA"
CHEMBL1806924,"tipo_invalido:CG,G0",86,"A,C,CG,Cl,G0,HD,N,NA,OA"
CHEMBL1806977,"tipo_invalido:CG,G0",89,"A,C,CG,Cl,G0,HD,N,NA,OA"
CHEMBL1806980,"tipo_invalido:CG,G0",84,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1806989,"tipo_invalido:CG,G0",35,"A,C,CG,G0,HD,NA,OA"
CHEMBL1807009,"tipo_invalido:CG,G0",38,"A,C,CG,Cl,G0,HD,N,OA"
CHEMBL1807010,"tipo_invalido:CG,G0",38,"A,C,CG,F,G0,HD,N,OA"
CHEMBL1807087,"tipo_invalido:CG,G0",87,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1807088,"tipo_invalido:CG,G0",87,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1807093,"tipo_invalido:CG,G0",86,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1807585,"tipo_invalido:CG,G0",29,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1807834,"tipo_invalido:CG,G0",31,"A,Br,C,CG,G0,HD,N,NA"
CHEMBL1807835,"tipo_invalido:CG,G0",31,"A,C,CG,Cl,G0,HD,N,NA"
CHEMBL1807837,"tipo_invalido:CG,G0",37,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1807838,"tipo_invalido:CG,G0",41,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1807839,"tipo_invalido:CG,G0",37,"A,C,CG,G0,HD,N,NA"
CHEMBL1808213,"tipo_invalido:CG,G0",26,"A,C,CG,G0,N,NA"
CHEMBL1808411,"tipo_invalido:CG,G0",37,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1808803,"tipo_invalido:CG,G0",71,"A,C,CG,G0,HD,N,NA,OA,SA"
CHEMBL1808808,"tipo_invalido:CG,G0",73,"A,C,CG,G0,HD,N,NA,OA,SA"
CHEMBL1808809,"tipo_invalido:CG,G0",71,"A,C,CG,G0,N,NA,OA,SA"
CHEMBL1808812,"tipo_invalido:CG,G0",71,"A,C,CG,G0,N,NA,OA,SA"
CHEMBL1808815,"tipo_invalido:CG,G0",75,"A,C,CG,G0,N,NA,OA,SA"
CHEMBL1808817,"tipo_invalido:CG,G0",72,"A,Br,C,CG,G0,N,NA,OA,SA"
CHEMBL1808820,"tipo_invalido:CG,G0",70,"A,C,CG,G0,HD,N,NA,OA,SA"
CHEMBL1808825,"tipo_invalido:CG,G0",71,"A,C,CG,G0,HD,N,NA,OA,SA"
CHEMBL1808827,"tipo_invalido:CG,G0",73,"A,C,CG,G0,N,NA,OA,SA"
CHEMBL1808828,"tipo_invalido:CG,G0",76,"A,C,CG,G0,N,NA,OA,SA"
CHEMBL1808830,"tipo_invalido:CG,G0",72,"A,C,CG,G0,HD,N,NA,OA,SA"
CHEMBL1808831,"tipo_invalido:CG,G0",74,"A,C,CG,G0,HD,N,NA,OA,SA"
CHEMBL1809125,"tipo_invalido:CG,G0",33,"C,CG,G0,OA"
CHEMBL1809126,"tipo_invalido:CG,G0",40,"C,CG,G0,NA,OA"
CHEMBL1809129,"tipo_invalido:CG,G0",23,"C,CG,G0,HD,OA"
CHEMBL1809131,"tipo_invalido:CG,G0",25,"C,CG,G0,OA"
CHEMBL1809132,"tipo_invalido:CG,G0",25,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1809134,"tipo_invalido:CG,G0",24,"C,CG,G0,OA"
CHEMBL1858003,"tipo_invalido:CG,G0",30,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1858112,"tipo_invalido:CG,G0",24,"A,Br,C,CG,G0,HD,NA,OA"
CHEMBL1858260,"tipo_invalido:CG,G0",31,"A,C,CG,G0,HD,NA,OA"
CHEMBL1858294,"tipo_invalido:CG,G0",30,"A,C,CG,G0,HD,N,NA,OA,SA"
CHEMBL1858305,"tipo_invalido:CG,G0",28,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1858330,"tipo_invalido:CG,G0",30,"A,C,CG,Cl,G0,HD,N,NA,OA"
CHEMBL1858366,"tipo_invalido:CG,G0",28,"A,C,CG,F,G0,HD,N,NA,OA"
CHEMBL1858383,"tipo_invalido:CG,G0",25,"A,C,CG,G0,HD,NA,OA"
CHEMBL1858423,"tipo_invalido:CG,G0",30,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1858441,"tipo_invalido:CG,G0",28,"A,C,CG,G0,HD,NA,OA"
CHEMBL1858508,"tipo_invalido:CG,G0",23,"A,C,CG,Cl,G0,HD,NA,OA,S"
CHEMBL1858525,"tipo_invalido:CG,G0",28,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1858584,"tipo_invalido:CG,G0",25,"A,C,CG,G0,NA,OA"
CHEMBL1858741,"tipo_invalido:CG,G0",30,"A,C,CG,G0,HD,NA,OA"
CHEMBL1858785,"tipo_invalido:CG,G0",26,"A,C,CG,G0,HD,NA,OA"
CHEMBL1858910,"tipo_invalido:CG,G0",27,"A,C,CG,G0,HD,NA,OA"
CHEMBL1858918,"tipo_invalido:CG,G0",25,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1858942,"tipo_invalido:CG,G0",24,"A,C,CG,G0,NA,OA"
CHEMBL1858963,"tipo_invalido:CG,G0",25,"A,C,CG,G0,HD,NA,OA"
CHEMBL1859256,"tipo_invalido:CG,G0",22,"A,C,CG,Cl,G0,NA,OA"
CHEMBL1859281,"tipo_invalido:CG,G0",33,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1859306,"tipo_invalido:CG,G0",31,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1859373,"tipo_invalido:CG,G0",27,"A,C,CG,F,G0,HD,N,NA,OA"
CHEMBL1859446,"tipo_invalido:CG,G0",23,"A,C,CG,G0,HD,NA,OA"
CHEMBL1859478,"tipo_invalido:CG,G0",30,"A,C,CG,G0,HD,N,NA,OA"
CHEMBL1859661,"tipo_invalido:CG,G0",29,"A,C,CG,Cl,G0,HD,N,NA,OA"
CHEMBL1859738,"tipo_invalido:CG,G0",22,"A,Br,C,CG,G0,NA,OA"
CHEMBL1859763,"tipo_invalido:CG,G0",24,"A,Br,C,CG,G0,HD,NA,OA"
CHEMBL1859772,"tipo_invalido:CG,G0",27,"A,C,CG,F,G0,HD,N,NA,OA"
CHEMBL1859926,"tipo_invalido:CG,G0",28,"A,C,CG,Cl,F,G0,HD,N,NA,OA"
CHEMBL1859933,"tipo_invalido:CG,G0",23,"A,C,CG,Cl,G0,NA,OA"
CHEMBL1860229,"tipo_invalido:CG,G0",28,"A,C,CG,G0,HD,N,NA,OA"
