ligand,rol,affinity
DEC_CHEMBL1547432,decoy,-5.388
DEC_CHEMBL1570375,decoy,-5.383
DEC_CHEMBL1256364,decoy,-5.381
DEC_CHEMBL1569875,decoy,-5.375
DEC_CHEMBL2165602,decoy,-5.372
DEC_CHEMBL1579933,decoy,-5.369
DEC_Lamotrigine,decoy,-5.352
DEC_CHEMBL1502123,decoy,-5.347
DEC_CHEMBL2165612,decoy,-5.347
ACT_CHEMBL2165602,activo,-5.344
ACT_CHEMBL2165611,activo,-5.333
DEC_CHEMBL1601845,decoy,-5.324
ACT_CHEMBL2165605,activo,-5.319
DEC_Escitalopram,decoy,-5.317
DEC_Melatonin,decoy,-5.298
DEC_CHEMBL1429107,decoy,-5.296
ACT_CHEMBL2165612,activo,-5.295
DEC_CHEMBL1896432,decoy,-5.289
ACT_LCS-1,activo,-5.282
DEC_CHEMBL1643541,decoy,-5.279
DEC_CHEMBL1896436,decoy,-5.264
DEC_CHEMBL1575024,decoy,-5.254
DEC_CHEMBL1509423,decoy,-5.246
DEC_CHEMBL1558218,decoy,-5.243
DEC_CHEMBL1896241,decoy,-5.235
DEC_CHEMBL1343679,decoy,-5.226
DEC_CHEMBL1491689,decoy,-5.223
DEC_CHEMBL3193932,decoy,-5.191
DEC_CHEMBL1470785,decoy,-5.188
DEC_CHEMBL1429852,decoy,-5.176
DEC_CHEMBL1401914,decoy,-5.17
DEC_CHEMBL3189534,decoy,-5.16
ACT_CHEMBL1643541,activo,-5.145
DEC_Pramipexole,decoy,-5.14
DEC_CHEMBL1527656,decoy,-5.131
ACT_CHEMBL1643556,activo,-5.128
DEC_CHEMBL1402270,decoy,-5.117
DEC_Baclofen,decoy,-5.114
DEC_CHEMBL1970198,decoy,-5.106
DEC_Ezogabine,decoy,-5.104
DEC_CHEMBL1334295,decoy,-5.087
DEC_Thiamine,decoy,-5.082
DEC_CHEMBL1446677,decoy,-5.075
DEC_CHEMBL1969867,decoy,-5.07
DEC_CHEMBL1344270,decoy,-5.061
DEC_CHEMBL1390652,decoy,-5.057
DEC_CHEMBL1730221,decoy,-5.056
DEC_CHEMBL1539969,decoy,-5.03
DEC_CHEMBL2359981,decoy,-5.022
DEC_CHEMBL1602618,decoy,-5.019
DEC_Arimoclomol,decoy,-5.014
DEC_CHEMBL1429958,decoy,-5.006
DEC_CHEMBL1541085,decoy,-4.98
DEC_CHEMBL1409776,decoy,-4.941
DEC_Gabapentin,decoy,-4.929
DEC_CHEMBL1574978,decoy,-4.902
DEC_CHEMBL1476483,decoy,-4.899
DEC_CHEMBL1414576,decoy,-4.867
DEC_CHEMBL1563897,decoy,-4.861
DEC_CHEMBL1579274,decoy,-4.859
DEC_CHEMBL1486052,decoy,-4.85
DEC_CHEMBL1728134,decoy,-4.844
