ligand,rol,affinity
DEC_CHEMBL4568397,decoy,-10.505
DEC_CHEMBL4533320,decoy,-9.156
DEC_CHEMBL1866100,decoy,-7.805
DEC_CHEMBL497782,decoy,-7.365
DEC_CHEMBL4570029,decoy,-7.291
DEC_CHEMBL520894,decoy,-7.174
DEC_CHEMBL4534366,decoy,-7.158
DEC_CHEMBL4570759,decoy,-7.152
DEC_CHEMBL1453506,decoy,-7.017
DEC_CHEMBL607364,decoy,-6.899
DEC_CHEMBL521491,decoy,-6.648
DEC_CHEMBL570050,decoy,-6.612
DEC_CHEMBL517859,decoy,-6.582
DEC_CHEMBL519226,decoy,-6.551
DEC_CHEMBL565402,decoy,-6.499
DEC_CHEMBL511186,decoy,-6.322
DEC_CHEMBL512809,decoy,-6.263
DEC_CHEMBL4534312,decoy,-6.105
DEC_CHEMBL561942,decoy,-6.071
ACT_rTRD01,activo,-6.003
DEC_CHEMBL498925,decoy,-5.864
DEC_CHEMBL1865782,decoy,-5.752
DEC_CHEMBL4565232,decoy,-5.666
DEC_CHEMBL562583,decoy,-5.63
DEC_CHEMBL1206472,decoy,-5.433
DEC_CHEMBL4638066,decoy,-5.362
DEC_CHEMBL515192,decoy,-5.254
DEC_CHEMBL561994,decoy,-5.236
DEC_CHEMBL516168,decoy,-4.997
DEC_CHEMBL1865375,decoy,-4.943
DEC_CHEMBL4574213,decoy,-4.561
ACT_5FUrd,activo,-4.488
DEC_CHEMBL565199,decoy,-4.44
DEC_DEXRAZOXANE,decoy,-4.391
DEC_FORODESINE,decoy,-4.373
DEC_CHEMBL4573679,decoy,-4.208
DEC_CHEMBL565167,decoy,-4.144
DEC_DYPHYLLINE,decoy,-3.992
DEC_CHEMBL512479,decoy,-3.966
DEC_CHEMBL1207988,decoy,-3.653
DEC_CHEMBL498968,decoy,-3.459
DEC_CHEMBL4530265,decoy,-3.458
