etiqueta,auc_crudo,auc_residual,ef5,correlacion_tamano,pendiente_kcal_por_atomo,quimios_recuperadas,quimias,auc_estratificado,detalle_quimias
ACOPLAMIENTO,0.4574223245109321,0.4902186421173763,1.8181818181818181,-0.8263300170488871,-0.09913681263097049,3,8,0.5339923883783533,aminoalcohol naftenico;benzisoxazol-piperidina;catecolamina
RESCORING VINA,0.4614499424626007,0.5143843498273878,1.8181818181818181,-0.8230747456119671,-0.10142738637184781,3,8,0.5768727373990532,aminoalcohol naftenico;benzisoxazol-piperidina;catecolamina
RESCORING VINARDO,0.4614499424626007,0.5040276179516686,1.8181818181818181,-0.6445172465396596,-0.0775126418093793,6,8,0.5775642810730529,aminoalcohol naftenico;anilina;benzisoxazol-piperidina;catecolamina;quinazolina;quinazolina-CF3
RESCORING MM-GBSA,0.4533947065592635,0.4948216340621404,1.8181818181818181,-0.48663685585659533,-0.49793583351398224,4,8,0.5147718834122342,aminoalcohol naftenico;anilina;benzisoxazol-piperidina;quinazolina-CF3
