etiqueta,auc_crudo,auc_residual,ef5,correlacion_tamano,pendiente_kcal_por_atomo,quimios_recuperadas,quimias,auc_estratificado,detalle_quimias
"CONTROL: energia del ACOPLAMIENTO (toda la lista, N=513)",0.4394568087514146,0.4775556393813655,3.6363636363636362,-0.7225024326070553,-0.10698707620045007,5,8,0.4905880578856774,aminoalcohol naftenico;anilina;benzisoxazol-piperidina;catecolamina;fenantridinona
"RESCORING VINA (--score_only sobre las mismas poses, N=513)",0.4345529988683516,0.5009430403621274,3.6363636363636362,-0.7306238120053669,-0.10798280563754321,4,8,0.4994391033798509,aminoalcohol naftenico;anilina;benzisoxazol-piperidina;catecolamina
"RESCORING VINARDO (--score_only sobre las mismas poses, N=513)",0.46284420973217655,0.486797434930215,1.8181818181818181,-0.548999492948787,-0.0903330019718524,6,8,0.5155008740282434,aminoalcohol naftenico;anilina;benzisoxazol-piperidina;catecolamina;quinazolina;quinazolina-CF3
"RESCORING MM-GBSA (muestra emparejada por tamaño: 11 positivos, 71 señuelos)",0.5659411011523687,0.6235595390524968,1.8181818181818181,-0.5098433917581113,-0.4815362149532711,6,8,0.6334887613582019,aminoalcohol naftenico;anilina;benzisoxazol-piperidina;catecolamina;quinazolina;quinazolina-CF3
