ligand,papel,quimia,afinidad,pesados,puesto,residual
DECM_CHEMBL1431783,fondo,,-5.94,31,96,0.565
DECH_CHEMBL23647,fondo,,-5.936,24,97,-0.175
DECH_CHEMBL3310302,fondo,,-5.934,23,98,-0.28
DECH_CHEMBL588,fondo,,-5.934,21,99,-0.492
DECM_CHEMBL170988,fondo,,-5.927,15,100,-1.123
DECH_CHEMBL313972,fondo,,-5.925,22,101,-0.377
DEC_CHEMBL1476483,fondo,,-5.923,24,102,-0.162
DEC_CHEMBL1402356,fondo,,-5.918,23,103,-0.264
DEC_CHEMBL1304181,fondo,,-5.911,29,104,0.381
DEC_CHEMBL1896176,fondo,,-5.91,22,105,-0.362
DECM_CHEMBL469,fondo,,-5.905,19,106,-0.676
DEC_Baicalein,fondo,,-5.899,19,107,-0.67
DEC_CHEMBL1452318,fondo,,-5.893,21,108,-0.451
DEC_CHEMBL2360645,fondo,,-5.886,26,109,0.087
DECM_CHEMBL2165606,fondo,,-5.885,16,110,-0.975
DECH_CHEMBL53,fondo,,-5.883,20,111,-0.547
DECM_CHEMBL465026,fondo,,-5.876,19,112,-0.647
DECH_CHEMBL1077248,fondo,,-5.872,25,113,-0.005
DEC_CHEMBL1309718,fondo,,-5.848,26,114,0.125
DEC_CHEMBL1461506,fondo,,-5.847,18,115,-0.724
DECH_CHEMBL1303069,fondo,,-5.834,20,116,-0.498
DECM_CHEMBL27275,fondo,,-5.834,32,117,0.777
DEC_CHEMBL1429038,fondo,,-5.831,30,118,0.567
DECH_CHEMBL4543361,fondo,,-5.824,25,119,0.043
DEC_CHEMBL1579999,fondo,,-5.822,25,120,0.045
DECH_CHEMBL10012,fondo,,-5.82,22,121,-0.272
DEC_CHEMBL1502132,fondo,,-5.808,20,122,-0.472
DEC_Luteolin,fondo,,-5.808,21,123,-0.366
DECH_CHEMBL1256841,fondo,,-5.806,22,124,-0.258
DEC_CHEMBL3208261,fondo,,-5.805,22,125,-0.257
DEC_Teriflunomide,fondo,,-5.805,19,126,-0.576
DECM_CHEMBL266960,fondo,,-5.802,30,127,0.596
DECM_CHEMBL28286,fondo,,-5.793,31,128,0.712
DEC_Apigenin,fondo,,-5.791,20,129,-0.455
DECM_CHEMBL1474963,fondo,,-5.788,20,130,-0.452
DECH_CHEMBL80,fondo,,-5.78,24,131,-0.019
DECM_CHEMBL898,fondo,,-5.777,18,132,-0.654
DEC_CHEMBL1602108,fondo,,-5.762,22,133,-0.214
DEC_KAEMPFEROL,fondo,,-5.759,21,134,-0.317
DEC_CHEMBL1510247,fondo,,-5.754,21,135,-0.312
DECH_CHEMBL1310629,fondo,,-5.743,22,136,-0.195
DEC_Quercetin,fondo,,-5.74,22,137,-0.192
DEC_CHEMBL2143380,fondo,,-5.739,24,138,0.022
DECM_CHEMBL1461506,fondo,,-5.734,18,139,-0.611
DEC_CHEMBL1530615,fondo,,-5.731,24,140,0.03
DECH_CHEMBL1362943,fondo,,-5.717,22,141,-0.169
DEC_CHEMBL1373390,fondo,,-5.715,26,142,0.258
DECM_CHEMBL648,fondo,,-5.702,20,143,-0.366
DEC_CHEMBL2165608,fondo,,-5.701,18,144,-0.578
DECH_CHEMBL1578770,fondo,,-5.699,21,145,-0.257
DECM_CHEMBL21042,fondo,,-5.696,32,146,0.915
DEC_Genistein,fondo,,-5.691,20,147,-0.355
DEC_CHEMBL3194612,fondo,,-5.677,18,148,-0.554
DEC_CHEMBL1374893,fondo,,-5.657,20,149,-0.321
DECH_CHEMBL1462043,fondo,,-5.633,21,150,-0.191
DECM_CHEMBL1068,fondo,,-5.623,19,151,-0.394
DECH_CHEMBL656,fondo,,-5.621,23,152,0.033
DEC_CHEMBL1354314,fondo,,-5.619,22,153,-0.071
DEC_CHEMBL1474627,fondo,,-5.618,24,154,0.143
DEC_CHEMBL1486005,fondo,,-5.616,22,155,-0.068
DECM_CHEMBL445,fondo,,-5.612,20,156,-0.276
DEC_CHEMBL1531633,fondo,,-5.604,20,157,-0.268
DEC_CHEMBL1570913,fondo,,-5.604,24,158,0.157
DEC_CHEMBL1605531,fondo,,-5.604,20,159,-0.268
DEC_CHEMBL1343668,fondo,,-5.599,21,160,-0.157
DECH_CHEMBL329522,fondo,,-5.598,20,161,-0.262
DEC_CHEMBL2179268,fondo,,-5.595,19,162,-0.366
DEC_CHEMBL1476890,fondo,,-5.583,21,163,-0.141
DECM_CHEMBL315985,fondo,,-5.581,19,164,-0.352
DEC_CHEMBL2142154,fondo,,-5.575,24,165,0.186
DECM_CHEMBL282052,fondo,,-5.573,19,166,-0.344
DECM_CHEMBL1374893,fondo,,-5.563,20,167,-0.227
DECH_CHEMBL1486005,fondo,,-5.556,22,168,-0.008
DECH_CHEMBL7855,fondo,,-5.551,20,169,-0.215
DECH_CHEMBL294199,fondo,,-5.543,22,170,0.005
DEC_CHEMBL1437579,fondo,,-5.541,17,171,-0.524
cf3quinazolina_ZO0,positivo,quinazolina-CF3,-5.533,22,172,0.015
DECH_CHEMBL1437579,fondo,,-5.533,17,173,-0.516
DEC_CHEMBL166209,fondo,,-5.533,21,174,-0.091
DEC_CHEMBL1430765,fondo,,-5.52,21,175,-0.078
DEC_CHEMBL1462643,fondo,,-5.52,23,176,0.134
DEC_CHEMBL1332994,fondo,,-5.514,21,177,-0.072
DECM_CHEMBL592,fondo,,-5.511,19,178,-0.282
DECM_CHEMBL72,fondo,,-5.51,20,179,-0.174
DEC_CHEMBL1558140,fondo,,-5.507,23,180,0.147
DECH_CHEMBL1401346,fondo,,-5.506,22,181,0.042
DECH_CHEMBL1418679,fondo,,-5.499,23,182,0.155
DECH_CHEMBL311498,fondo,,-5.498,21,183,-0.056
DECM_CHEMBL2165607,fondo,,-5.491,16,184,-0.581
DECM_CHEMBL1232461,fondo,,-5.483,30,185,0.915
DEC_CHEMBL1570928,fondo,,-5.481,20,186,-0.145
DECH_CHEMBL1201168,fondo,,-5.474,17,187,-0.457
DECH_CHEMBL4802240,fondo,,-5.474,20,188,-0.138
DEC_CHEMBL1092604,fondo,,-5.474,18,189,-0.351
DECH_CHEMBL8960,fondo,,-5.471,24,190,0.29
DEC_CHEMBL1502123,fondo,,-5.467,20,191,-0.131
DEC_CHEMBL1346563,fondo,,-5.462,20,192,-0.126
DEC_CHEMBL1391531,fondo,,-5.458,22,193,0.09
DECM_CHEMBL1909282,fondo,,-5.453,16,194,-0.543
DEC_CHEMBL1608506,fondo,,-5.453,23,195,0.201
DECH_CHEMBL1595,fondo,,-5.451,22,196,0.097
DECH_CHEMBL1161220,fondo,,-5.449,21,197,-0.007
DECM_CHEMBL1730073,fondo,,-5.448,20,198,-0.112
DECM_CHEMBL1939222,fondo,,-5.446,16,199,-0.536
DECM_CHEMBL861,fondo,,-5.446,16,200,-0.536
DECM_CHEMBL8328,fondo,,-5.439,19,201,-0.21
DEC_ONONETIN,fondo,,-5.426,19,202,-0.197
DECH_CHEMBL817,fondo,,-5.425,21,203,0.017
DECM_CHEMBL797,fondo,,-5.425,14,204,-0.727
DEC_CHEMBL1524176,fondo,,-5.415,20,205,-0.079
DEC_CHEMBL1470097,fondo,,-5.411,19,206,-0.182
