ligand,papel,quimia,afinidad,pesados,puesto,residual
DEC_Pramipexole,fondo,,-4.511,14,433,0.187
DEC_CHEMBL1879685,fondo,,-4.509,24,434,1.252
DEC_CAPTOPRIL,fondo,,-4.508,14,435,0.19
DECM_CHEMBL979,fondo,,-4.502,15,436,0.302
DEC_CHEMBL1602618,fondo,,-4.495,22,437,1.053
DECM_CHEMBL1546,fondo,,-4.491,11,438,-0.112
DECH_CHEMBL434,fondo,,-4.481,15,439,0.323
DECM_CHEMBL1169,fondo,,-4.462,11,440,-0.083
DECM_CHEMBL550,fondo,,-4.439,15,441,0.365
DECM_CHEMBL2106939,fondo,,-4.432,13,442,0.16
DECH_CHEMBL1201213,fondo,,-4.414,17,443,0.603
DECM_CHEMBL112,fondo,,-4.403,11,444,-0.024
DECH_CHEMBL924,fondo,,-4.376,16,445,0.534
DECM_CHEMBL1593719,fondo,,-4.372,11,446,0.007
DEC_Lamotrigine,fondo,,-4.371,13,447,0.221
DECM_CHEMBL39736,fondo,,-4.37,11,448,0.009
DECH_CHEMBL546,fondo,,-4.349,19,449,0.88
DECM_CHEMBL419,fondo,,-4.335,12,450,0.15
DECM_CHEMBL1200790,fondo,,-4.332,13,451,0.26
DECH_CHEMBL1547534,fondo,,-4.325,21,452,1.117
DECM_CHEMBL607400,fondo,,-4.323,15,453,0.481
DEC_CHEMBL1900371,fondo,,-4.315,19,454,0.914
DECH_CHEMBL1383511,fondo,,-4.303,20,455,1.033
DEC_CHEMBL1501518,fondo,,-4.303,16,456,0.607
DECH_CHEMBL252556,fondo,,-4.301,24,457,1.46
DECM_CHEMBL345714,fondo,,-4.283,11,458,0.096
anilina_ZZT,positivo,anilina,-4.279,10,459,-0.006
DECH_CHEMBL1501518,fondo,,-4.274,16,460,0.636
DECM_CHEMBL877,fondo,,-4.241,11,461,0.138
DECM_CHEMBL1560,fondo,,-4.235,14,462,0.463
DECH_CHEMBL203266,fondo,,-4.205,19,463,1.024
DECM_CHEMBL1115,fondo,,-4.191,13,464,0.401
DECH_CHEMBL997,fondo,,-4.187,19,465,1.042
DECM_CHEMBL476,fondo,,-4.181,13,466,0.411
DEC_CHEMBL1879543,fondo,,-4.172,15,467,0.632
DECM_CHEMBL498847,fondo,,-4.103,13,468,0.489
DECM_CHEMBL1201293,fondo,,-4.061,11,469,0.318
DECH_CHEMBL3774966,fondo,,-4.06,16,470,0.85
DECM_CHEMBL1100,fondo,,-4.048,11,471,0.331
DEC_Alpha-Lipoic_Acid,fondo,,-4.045,12,472,0.44
DECH_CHEMBL1006,fondo,,-4.031,12,473,0.454
DEC_CHEMBL3774966,fondo,,-3.941,16,474,0.969
DECH_CHEMBL834,fondo,,-3.939,13,475,0.653
DECH_CHEMBL871,fondo,,-3.884,11,476,0.495
DECH_CHEMBL1201345,fondo,,-3.86,19,477,1.369
DECM_CHEMBL830,fondo,,-3.818,12,478,0.667
DECH_CHEMBL870,fondo,,-3.799,14,479,0.899
DECH_CHEMBL1201317,fondo,,-3.791,10,480,0.482
DECM_CHEMBL591,fondo,,-3.721,9,481,0.446
DECM_CHEMBL119423,fondo,,-3.702,10,482,0.571
DECM_CHEMBL513,fondo,,-3.677,12,483,0.808
DECM_CHEMBL1425,fondo,,-3.643,10,484,0.63
DECM_CHEMBL1482,fondo,,-3.62,11,485,0.759
DECM_CHEMBL965,fondo,,-3.526,10,486,0.747
DECM_CHEMBL978,fondo,,-3.516,11,487,0.863
DECM_CHEMBL1430,fondo,,-3.422,9,488,0.745
DECM_CHEMBL1201073,fondo,,-3.338,10,489,0.935
DECM_CHEMBL671,fondo,,-3.28,11,490,1.099
DECM_CHEMBL667,fondo,,-3.251,10,491,1.022
DECH_CHEMBL2110978,fondo,,-2.879,6,492,0.969
DECM_CHEMBL427,fondo,,-2.722,8,493,1.338
