target,ligand,vina_affinity,mmgbsa_dG,atomos_pesados,eficiencia_ligando,residual,puesto_dG_bruto,puesto_residual,puesto_eficiencia,sube_puestos
TDP43_v2,CHEMBL517170,-8.4,-63.93,35,-1.8266,13.02,641,994,973,-353
TDP43_v2,CHEMBL517333,-8.4,-67.55,29,-2.3293,-2.73,516,463,451,53
TDP43_v2,CHEMBL517351,-8.4,-52.64,25,-2.1056,4.09,934,720,710,214
TDP43_v2,CHEMBL517867,-8.4,-51.34,28,-1.8336,11.46,956,967,968,-11
TDP43_v2,CHEMBL518018,-8.4,-93.73,27,-3.4715,-32.96,51,16,13,35
TDP43_v2,CHEMBL518113,-8.4,-82.05,29,-2.8293,-17.23,190,111,105,79
TDP43_v2,CHEMBL518545,-8.4,-92.86,35,-2.6531,-15.91,57,127,191,-70
TDP43_v2,CHEMBL518588,-8.4,-79.76,22,-3.6255,-29.09,225,27,9,198
TDP43_v2,CHEMBL519264,-8.4,-85.44,35,-2.4411,-8.49,134,282,344,-148
TDP43_v2,CHEMBL519419,-8.4,-87.77,23,-3.8161,-35.08,104,11,3,93
TDP43_v2,CHEMBL519601,-8.4,-99.29,31,-3.2029,-30.43,21,23,31,-2
TDP43_v2,CHEMBL519836,-8.4,-32.66,25,-1.3064,24.07,1158,1147,1158,11
TDP43_v2,CHEMBL520034,-8.4,-66.24,27,-2.4533,-5.47,553,364,329,189
TDP43_v2,CHEMBL520037,-8.4,-67.40,34,-1.9824,7.53,520,837,831,-317
