ligand,rol,vina,recall,jaccard,coseno,n_contactos
DEC_CHEMBL1390550,decoy,-6.085,0.4202,0.3571,0.544,71
DEC_CHEMBL1391531,decoy,-5.458,0.4202,0.3876,0.5917,60
DEC_CHEMBL1437517,decoy,-6.57,0.4202,0.4065,0.6237,54
DEC_CHEMBL1474627,decoy,-5.618,0.4202,0.3704,0.5642,66
DECH_CHEMBL1162123,decoy,-6.248,0.4118,0.3525,0.5408,69
DECH_CHEMBL1324,decoy,-6.167,0.4118,0.3203,0.493,83
DECH_CHEMBL3309763,decoy,-5.365,0.4118,0.3403,0.5222,74
DECH_CHEMBL3309985,decoy,-5.95,0.4118,0.3475,0.5331,71
DECH_CHEMBL503634,decoy,-5.078,0.4118,0.3333,0.5119,77
DECH_CHEMBL93,decoy,-4.829,0.4118,0.3427,0.5257,73
DECM_CHEMBL1115,decoy,-4.191,0.4118,0.3858,0.595,57
DECM_CHEMBL469,decoy,-5.905,0.4118,0.3475,0.5331,71
DEC_CHEMBL1343719,decoy,-5.245,0.4118,0.363,0.5571,65
DEC_CHEMBL1395067,decoy,-6.624,0.4118,0.3889,0.6002,56
DEC_CHEMBL1429958,decoy,-4.869,0.4118,0.363,0.5571,65
DEC_CHEMBL1601845,decoy,-5.994,0.4118,0.3356,0.5152,76
DEC_CHEMBL267400,decoy,-6.256,0.4118,0.3828,0.5898,58
ACT_CHEMBL1643541,activo,-5.106,0.4034,0.331,0.5115,74
DECH_CHEMBL1343730,decoy,-6.438,0.4034,0.3179,0.492,80
DECH_CHEMBL1486005,decoy,-5.556,0.4034,0.338,0.5222,71
DECH_CHEMBL1578770,decoy,-5.699,0.4034,0.3871,0.6044,53
DECH_CHEMBL19130,decoy,-6.334,0.4034,0.3333,0.515,73
DECH_CHEMBL3309988,decoy,-6.202,0.4034,0.3429,0.5297,69
DECH_CHEMBL3310377,decoy,-6.283,0.4034,0.3664,0.5681,60
DECH_CHEMBL849,decoy,-5.128,0.4034,0.3158,0.4889,81
DECM_CHEMBL170988,decoy,-5.927,0.4034,0.3265,0.5047,76
DECM_CHEMBL266960,decoy,-5.802,0.4034,0.3609,0.5588,62
DECM_CHEMBL459,decoy,-4.798,0.4034,0.3158,0.4889,81
DECM_CHEMBL701,decoy,-5.095,0.4034,0.3404,0.5259,70
DECM_CHEMBL925,decoy,-5.216,0.4034,0.3117,0.483,83
DEC_5-HYDROXYFLAVONE,decoy,-5.964,0.4034,0.3333,0.515,73
DEC_Baicalein,decoy,-5.899,0.4034,0.3333,0.515,73
DEC_CHEMBL1344270,decoy,-4.606,0.4034,0.378,0.588,56
DEC_CHEMBL1402270,decoy,-5.217,0.4034,0.3871,0.6044,53
DEC_CHEMBL1435511,decoy,-5.397,0.4034,0.378,0.588,56
DEC_CHEMBL1476483,decoy,-5.923,0.4034,0.3609,0.5588,62
DEC_CHEMBL1486005,decoy,-5.616,0.4034,0.338,0.5222,71
DEC_CHEMBL1502132,decoy,-5.808,0.4034,0.331,0.5115,74
DEC_CHEMBL1531633,decoy,-5.604,0.4034,0.378,0.588,56
DEC_CHEMBL1554159,decoy,-6.358,0.4034,0.3288,0.5081,75
DEC_CHEMBL1570928,decoy,-5.481,0.4034,0.3967,0.6223,50
DEC_CHEMBL1592685,decoy,-5.221,0.4034,0.3288,0.5081,75
DEC_CHEMBL1597290,decoy,-5.292,0.4034,0.378,0.588,56
DEC_CHEMBL1896436,decoy,-5.287,0.4034,0.3453,0.5336,68
DEC_CHEMBL1900567,decoy,-5.386,0.4034,0.3453,0.5336,68
DEC_CHEMBL1978331,decoy,-4.679,0.4034,0.3721,0.5778,58
DEC_Pramipexole,decoy,-4.511,0.4034,0.3556,0.55,64
DECH_CHEMBL1362943,decoy,-5.717,0.395,0.3013,0.4701,84
DECH_CHEMBL1470097,decoy,-5.263,0.395,0.3588,0.5609,59
DECH_CHEMBL1597289,decoy,-5.985,0.395,0.3672,0.5757,56
DECH_CHEMBL1602108,decoy,-5.37,0.395,0.331,0.515,70
DECH_CHEMBL3310302,decoy,-5.934,0.395,0.3481,0.5428,63
DECH_CHEMBL4543361,decoy,-5.824,0.395,0.3534,0.5516,61
DECH_CHEMBL588,decoy,-5.934,0.395,0.3241,0.5043,73
DECM_CHEMBL1118,decoy,-5.378,0.395,0.3287,0.5113,71
DECM_CHEMBL12856,decoy,-5.158,0.395,0.3219,0.5009,74
DECM_CHEMBL345714,decoy,-4.283,0.395,0.3456,0.5386,64
DECM_CHEMBL979,decoy,-4.502,0.395,0.2994,0.4673,85
"DEC_1,4-BIS(3'-PYRAZOLYLAMINO)BENZO[G]PHTHALAZINE",decoy,-6.516,0.395,0.3381,0.5264,67
DEC_CHEMBL1343668,decoy,-5.599,0.395,0.3561,0.5562,60
DEC_CHEMBL1470097,decoy,-5.411,0.395,0.3561,0.5562,60
DEC_CHEMBL1470903,decoy,-6.203,0.395,0.3176,0.4942,76
DEC_CHEMBL1530615,decoy,-5.731,0.395,0.3072,0.4787,81
DEC_CHEMBL1547432,decoy,-6.058,0.395,0.3219,0.5009,74
DEC_CHEMBL1643541,decoy,-5.231,0.395,0.3197,0.4975,75
DEC_CHEMBL1708737,decoy,-6.256,0.395,0.3534,0.5516,61
DEC_CHEMBL1896176,decoy,-5.91,0.395,0.376,0.5918,53
DEC_CHEMBL2360645,decoy,-5.886,0.395,0.379,0.5975,52
DEC_ONONETIN,decoy,-5.426,0.395,0.3357,0.5225,68
DEC_Thiamine,decoy,-4.522,0.395,0.3264,0.5078,72
DECH_CHEMBL1418679,decoy,-5.499,0.3866,0.3511,0.5537,58
DECH_CHEMBL1457583,decoy,-5.057,0.3866,0.3239,0.5076,69
DECH_CHEMBL1507664,decoy,-5.408,0.3866,0.3459,0.5444,60
DECH_CHEMBL1551968,decoy,-5.163,0.3866,0.3309,0.5191,66
DECH_CHEMBL2105345,decoy,-4.658,0.3866,0.3333,0.523,65
DECH_CHEMBL22,decoy,-4.907,0.3866,0.3087,0.4837,76
DECH_CHEMBL485,decoy,-5.18,0.3866,0.3622,0.5738,54
DECM_CHEMBL124937,decoy,-6.858,0.3866,0.3217,0.504,70
DECM_CHEMBL1482,decoy,-3.62,0.3866,0.3262,0.5114,68
DECM_CHEMBL276832,decoy,-4.696,0.3866,0.3309,0.5191,66
DECM_CHEMBL289480,decoy,-4.546,0.3866,0.368,0.5848,52
DECM_CHEMBL4553656,decoy,-6.976,0.3866,0.2614,0.4155,103
