ligand,rol,vina,recall,jaccard,coseno,n_contactos
DEC_CHEMBL1579274,decoy,-5.322,0.2824,0.24,0.4168,39
DEC_CHEMBL1570928,decoy,-5.245,0.2824,0.2286,0.3924,44
DEC_CHEMBL1462643,decoy,-5.024,0.2824,0.233,0.4017,42
DEC_CHEMBL1597290,decoy,-5.013,0.2824,0.2202,0.3757,48
DEC_CHEMBL1491587,decoy,-5.0,0.2824,0.25,0.44,35
DEC_CHEMBL1461527,decoy,-4.736,0.2824,0.2182,0.3719,49
DEC_CHEMBL2179266,decoy,-4.573,0.2824,0.2376,0.4116,40
DEC_CHEMBL1373755,decoy,-4.565,0.2824,0.2449,0.428,37
DEC_CHEMBL1409776,decoy,-4.526,0.2824,0.2424,0.4223,38
DEC_CHEMBL1501518,decoy,-4.108,0.2824,0.2581,0.4602,32
DEC_CHEMBL1330118,decoy,-6.369,0.2706,0.2212,0.3849,42
ACT_CHEMBL2165605,activo,-6.18,0.2706,0.2212,0.3849,42
DEC_CHEMBL1587018,decoy,-5.739,0.2706,0.211,0.3639,47
DEC_CHEMBL1431783,decoy,-5.601,0.2706,0.213,0.3678,46
DEC_CHEMBL1452318,decoy,-5.58,0.2706,0.2277,0.3995,39
DEC_CHEMBL1395067,decoy,-5.475,0.2706,0.215,0.3719,45
DEC_CHEMBL1486005,decoy,-5.458,0.2706,0.2212,0.3849,42
DEC_CHEMBL1531633,decoy,-5.419,0.2706,0.2233,0.3896,41
DEC_CHEMBL1468148,decoy,-5.402,0.2706,0.2277,0.3995,39
DEC_CHEMBL1530615,decoy,-5.132,0.2706,0.219,0.3804,43
DEC_CHEMBL1558218,decoy,-5.047,0.2706,0.2527,0.4633,29
DEC_Teriflunomide,decoy,-5.047,0.2706,0.215,0.3719,45
DEC_CHEMBL1730221,decoy,-4.965,0.2706,0.2396,0.4278,34
DEC_CHEMBL1896176,decoy,-4.925,0.2706,0.2212,0.3849,42
DEC_CHEMBL267400,decoy,-4.738,0.2706,0.2527,0.4633,29
DEC_CHEMBL1470785,decoy,-4.588,0.2706,0.2277,0.3995,39
DEC_CHEMBL1256364,decoy,-4.374,0.2706,0.2277,0.3995,39
DEC_CHEMBL3774966,decoy,-3.694,0.2706,0.219,0.3804,43
DEC_CHEMBL1602967,decoy,-5.851,0.2588,0.22,0.3923,37
DEC_CHEMBL272808,decoy,-5.694,0.2588,0.2268,0.4092,34
DEC_CHEMBL1643541,decoy,-5.691,0.2588,0.2136,0.3773,40
DEC_CHEMBL1398411,decoy,-5.677,0.2588,0.193,0.3341,51
DEC_CHEMBL2179268,decoy,-5.671,0.2588,0.2075,0.3639,43
DEC_CHEMBL1092602,decoy,-5.658,0.2588,0.193,0.3341,51
DEC_CHEMBL3214262,decoy,-5.639,0.2588,0.2095,0.3682,42
DEC_CHEMBL1524176,decoy,-5.629,0.2588,0.22,0.3923,37
DEC_MOLIBRESIB,decoy,-5.363,0.2588,0.2037,0.3557,45
DEC_CHEMBL1970198,decoy,-5.329,0.2588,0.2,0.3481,47
DEC_CHEMBL1730073,decoy,-5.159,0.2588,0.2222,0.3977,36
DEC_CHEMBL1605531,decoy,-5.109,0.2588,0.22,0.3923,37
DEC_CHEMBL1570375,decoy,-5.037,0.2588,0.22,0.3923,37
DEC_CHEMBL1091583,decoy,-4.99,0.2588,0.2018,0.3518,46
DEC_CHEMBL1429852,decoy,-4.933,0.2588,0.2292,0.4154,33
DEC_CHEMBL2359981,decoy,-4.913,0.2588,0.22,0.3923,37
DEC_CHEMBL1558140,decoy,-4.908,0.2588,0.2056,0.3597,44
DEC_CHEMBL1435511,decoy,-4.842,0.2588,0.2,0.3481,47
DEC_CHEMBL1597270,decoy,-4.757,0.2588,0.22,0.3923,37
DEC_CHEMBL1563897,decoy,-4.692,0.2588,0.2268,0.4092,34
DEC_CHEMBL1896241,decoy,-4.682,0.2588,0.2018,0.3518,46
DEC_CHEMBL1440455,decoy,-4.609,0.2588,0.2178,0.3871,38
DEC_CHEMBL3213756,decoy,-4.363,0.2588,0.2366,0.4357,30
DEC_CHEMBL124937,decoy,-6.439,0.2471,0.1927,0.3395,45
DEC_CHEMBL1900310,decoy,-6.277,0.2471,0.1842,0.3221,50
DEC_CHEMBL1472702,decoy,-5.881,0.2471,0.2143,0.3906,34
DEC_CHEMBL1091584,decoy,-5.498,0.2471,0.1667,0.2893,62
DEC_CHEMBL1570216,decoy,-5.297,0.2471,0.2019,0.3601,40
DEC_CHEMBL1574978,decoy,-5.246,0.2471,0.181,0.3159,52
DEC_CHEMBL1210791,decoy,-5.115,0.2471,0.1909,0.3358,46
ACT_CHEMBL2165611,activo,-5.099,0.2471,0.1981,0.3515,42
