ligand,rol,vina,recall,jaccard,coseno,n_contactos
DEC_CHEMBL1571416,decoy,-4.381,0.7692,0.156,0.6281,39
DEC_CHEMBL3213756,decoy,-4.363,0.7692,0.12,0.7161,30
DEC_CHEMBL124937,decoy,-6.439,0.7308,0.1753,0.5555,45
DEC_CHEMBL2143380,decoy,-5.841,0.7308,0.1553,0.5024,55
DEC_CHEMBL3214262,decoy,-5.639,0.7308,0.1542,0.575,42
DEC_CHEMBL1461506,decoy,-5.358,0.7308,0.132,0.6486,33
DEC_CHEMBL1574978,decoy,-5.246,0.7308,0.1527,0.5167,52
DEC_CHEMBL1210791,decoy,-5.115,0.7308,0.1385,0.5494,46
ACT_CHEMBL2165611,activo,-5.099,0.7083,0.156,0.5354,42
DEC_CHEMBL1570913,decoy,-5.094,0.6923,0.1518,0.5205,46
DEC_CHEMBL1446677,decoy,-4.973,0.6923,0.1514,0.5653,39
DEC_CHEMBL1414576,decoy,-4.891,0.6923,0.1474,0.5727,38
DEC_CHEMBL1574931,decoy,-4.877,0.6923,0.1275,0.6145,33
DEC_CHEMBL1373785,decoy,-4.604,0.6923,0.136,0.6054,34
DEC_CHEMBL1978331,decoy,-4.323,0.6923,0.1394,0.5883,36
DEC_CHEMBL1575024,decoy,-5.739,0.6538,0.1518,0.4916,46
DEC_Tizanidine,decoy,-5.253,0.6538,0.1339,0.5408,38
DEC_CHEMBL1430765,decoy,-5.078,0.6538,0.1423,0.5339,39
DEC_CHEMBL1334295,decoy,-4.967,0.6538,0.149,0.5084,43
DEC_CHEMBL1558140,decoy,-4.908,0.6538,0.1575,0.5026,44
ACT_CHEMBL2165602,activo,-5.783,0.64,0.128,0.5488,34
DEC_CHEMBL1374893,decoy,-4.926,0.6154,0.0791,0.6543,23
DEC_CHEMBL1879748,decoy,-4.883,0.6154,0.1137,0.5381,34
DEC_CHEMBL1541085,decoy,-4.608,0.6154,0.1102,0.5547,32
DEC_CHEMBL1900567,decoy,-5.396,0.5769,0.1542,0.4539,42
DEC_CHEMBL1390550,decoy,-5.014,0.5769,0.1373,0.4651,40
DEC_CHEMBL1524161,decoy,-4.998,0.5769,0.1077,0.4772,38
DEC_CHEMBL1728134,decoy,-4.447,0.5769,0.1328,0.4651,40
DEC_CHEMBL2165602,decoy,-5.7,0.5385,0.1315,0.4709,34
DEC_CHEMBL1470097,decoy,-5.431,0.5385,0.14,0.4641,35
DEC_Arimoclomol,decoy,-4.907,0.5385,0.12,0.5013,30
DEC_CHEMBL1708757,decoy,-4.816,0.5385,0.122,0.4641,35
DEC_CHEMBL1486052,decoy,-4.11,0.5385,0.1344,0.4514,37
ACT_CHEMBL2165603,activo,-5.205,0.52,0.124,0.4459,34
DEC_CHEMBL1401914,decoy,-4.697,0.4615,0.0996,0.4615,26
DEC_CHEMBL1592685,decoy,-4.343,0.4615,0.15,0.3362,49
ACT_CHEMBL2165612,activo,-5.89,0.36,0.112,0.2959,37
DEC_CHEMBL1402270,decoy,-4.81,0.3462,0.1176,0.2983,35
DEC_CHEMBL3189534,decoy,-4.974,0.1154,0.0798,0.1009,34
DEC_CHEMBL2356527,decoy,-9.241,0.0769,0.0656,0.0769,26
DEC_CHEMBL1373390,decoy,-6.186,0.0769,0.0981,0.0613,41
DEC_CHEMBL1731670,decoy,-6.016,0.0769,0.0746,0.0636,38
DEC_CHEMBL1327582,decoy,-5.894,0.0769,0.1316,0.0549,51
DEC_CHEMBL1472702,decoy,-5.881,0.0769,0.1181,0.0673,34
DEC_CHEMBL166209,decoy,-5.819,0.0769,0.0992,0.0636,38
DEC_CHEMBL1579999,decoy,-5.747,0.0769,0.0821,0.062,40
DEC_CHEMBL1708737,decoy,-5.546,0.0769,0.0802,0.0683,33
DEC_CHEMBL1332994,decoy,-5.526,0.0769,0.0913,0.0645,37
DEC_CHEMBL1389758,decoy,-5.521,0.0769,0.1099,0.0539,53
DEC_CHEMBL1712280,decoy,-5.432,0.0769,0.0802,0.0683,33
DEC_CHEMBL1315185,decoy,-5.424,0.0769,0.1506,0.0566,48
DEC_CHEMBL1732240,decoy,-5.406,0.0769,0.0812,0.0598,43
DEC_CHEMBL1570226,decoy,-5.358,0.0769,0.0677,0.0673,34
DEC_CHEMBL1429038,decoy,-5.217,0.0769,0.0858,0.0613,41
DEC_5-HYDROXYFLAVONE,decoy,-5.191,0.0769,0.0909,0.0636,38
DEC_CHEMBL1322610,decoy,-5.125,0.0769,0.0926,0.0585,45
DEC_CHEMBL1470903,decoy,-5.09,0.0769,0.1434,0.0585,45
DEC_CHEMBL1391531,decoy,-5.015,0.0769,0.1066,0.0549,51
