ligand,grupo,actual_afinidad,actual_apila_por_atomo,actual_apilamiento,actual_arn_por_atomo,actual_atomos,actual_contactos,actual_contactos_arn,actual_contactos_por_atomo,actual_interaccion,actual_interaccion_por_atomo,actual_puentes,arn_afinidad,arn_apila_por_atomo,arn_apilamiento,arn_arn_por_atomo,arn_atomos,arn_contactos,arn_contactos_arn,arn_contactos_por_atomo,arn_interaccion,arn_interaccion_por_atomo,arn_puentes
CHEMBL4533906,fondo,-6.8,1.8421052631578947,35,5.631578947368421,19,110,107,5.7894736842105265,35,1.8421052631578947,0,-6.7,1.8421052631578947,35,5.631578947368421,19,108,107,5.684210526315789,35,1.8421052631578947,0
CHEMBL558729,fondo,-5.8,0.5151515151515151,17,0.0,33,107,0,3.242424242424242,17,0.5151515151515151,0,-6.4,0.3333333333333333,11,3.787878787878788,33,126,125,3.8181818181818183,11,0.3333333333333333,0
CHEMBL560846,fondo,-6.3,0.9642857142857143,27,3.9642857142857144,28,117,111,4.178571428571429,27,0.9642857142857143,0,-7.0,1.1428571428571428,32,6.357142857142857,28,181,178,6.464285714285714,33,1.1785714285714286,1
CHEMBL12354,fondo,-7.2,0.18421052631578946,7,0.23684210526315788,38,116,9,3.0526315789473686,8,0.21052631578947367,1,-8.0,0.7105263157894737,27,3.3421052631578947,38,147,127,3.8684210526315788,27,0.7105263157894737,0
CHEMBL20070,fondo,-6.0,0.2631578947368421,10,0.0,38,82,0,2.1578947368421053,13,0.34210526315789475,3,-6.5,0.8157894736842105,31,3.6578947368421053,38,143,139,3.763157894736842,32,0.8421052631578947,1
CHEMBL66206,fondo,-6.4,0.8571428571428571,24,4.607142857142857,28,133,129,4.75,25,0.8928571428571429,1,-7.4,1.6428571428571428,46,4.821428571428571,28,139,135,4.964285714285714,47,1.6785714285714286,1
CHEMBL508268,fondo,-7.0,1.368421052631579,26,6.368421052631579,19,123,121,6.473684210526316,27,1.4210526315789473,1,-7.0,1.3157894736842106,25,6.315789473684211,19,122,120,6.421052631578948,25,1.3157894736842106,0
CHEMBL568579,fondo,-7.9,0.7037037037037037,19,5.666666666666667,27,164,153,6.074074074074074,23,0.8518518518518519,4,-8.6,1.4814814814814814,40,5.555555555555555,27,157,150,5.814814814814815,45,1.6666666666666667,5
CHEMBL1863507,fondo,-8.3,0.8333333333333334,25,4.2,30,163,126,5.433333333333334,28,0.9333333333333333,3,-8.0,0.9,27,4.166666666666667,30,158,125,5.266666666666667,30,1.0,3
CHEMBL39616,fondo,-6.5,0.20588235294117646,7,0.0,34,120,0,3.5294117647058822,15,0.4411764705882353,8,-7.5,0.8529411764705882,29,4.235294117647059,34,145,144,4.264705882352941,32,0.9411764705882353,3
CHEMBL59956,fondo,-8.1,2.5294117647058822,43,7.235294117647059,17,131,123,7.705882352941177,45,2.6470588235294117,2,-8.0,2.4705882352941178,42,7.470588235294118,17,136,127,8.0,45,2.6470588235294117,3
CHEMBL1205800,fondo,-7.0,0.06896551724137931,2,4.448275862068965,29,151,129,5.206896551724138,7,0.2413793103448276,5,-6.8,0.4482758620689655,13,5.275862068965517,29,157,153,5.413793103448276,16,0.5517241379310345,3
CHEMBL46384,fondo,-7.7,1.3103448275862069,38,4.448275862068965,29,135,129,4.655172413793103,42,1.4482758620689655,4,-8.2,1.6206896551724137,47,4.724137931034483,29,142,137,4.896551724137931,48,1.6551724137931034,1
CHEMBL559961,fondo,-6.7,0.02702702702702703,1,0.0,37,115,0,3.108108108108108,3,0.08108108108108109,2,-6.5,0.1891891891891892,7,2.5675675675675675,37,96,95,2.5945945945945947,8,0.21621621621621623,1
BALSALAZIDE,fondo,-6.3,0.9615384615384616,25,5.153846153846154,26,139,134,5.346153846153846,32,1.2307692307692308,7,-6.7,0.8461538461538461,22,5.5,26,143,143,5.5,26,1.0,4
CHEMBL4638204,fondo,-5.7,0.0,0,5.8,20,129,116,6.45,0,0.0,0,-5.5,0.0,0,5.35,20,117,107,5.85,1,0.05,1
CHEMBL515712,fondo,-7.1,0.6875,22,4.90625,32,189,157,5.90625,28,0.875,6,-6.6,0.53125,17,4.53125,32,179,145,5.59375,23,0.71875,6
CHEMBL49749,fondo,-6.5,1.1851851851851851,32,5.62962962962963,27,164,152,6.074074074074074,37,1.3703703703703705,5,-7.3,1.1111111111111112,30,5.888888888888889,27,167,159,6.185185185185185,33,1.2222222222222223,3
CHEMBL21872,fondo,-7.4,0.9333333333333333,28,4.4,30,133,132,4.433333333333334,30,1.0,2,-7.4,0.8666666666666667,26,4.133333333333334,30,125,124,4.166666666666667,27,0.9,1
CHEMBL59555,fondo,-6.8,0.03333333333333333,1,0.0,30,142,0,4.733333333333333,10,0.3333333333333333,9,-7.2,1.7666666666666666,53,5.566666666666666,30,177,167,5.9,55,1.8333333333333333,2
CHEMBL61276,fondo,-5.7,0.0,0,1.5,22,101,33,4.590909090909091,1,0.045454545454545456,1,-5.7,0.0,0,1.3181818181818181,22,99,29,4.5,1,0.045454545454545456,1
CHEMBL565529,fondo,-8.5,1.0740740740740742,29,4.555555555555555,27,124,123,4.592592592592593,29,1.0740740740740742,0,-8.6,1.2222222222222223,33,4.481481481481482,27,121,121,4.481481481481482,33,1.2222222222222223,0
CHEMBL513820,fondo,-8.1,1.0263157894736843,39,4.947368421052632,38,206,188,5.421052631578948,43,1.131578947368421,4,-7.6,1.4473684210526316,55,2.789473684210526,38,128,106,3.3684210526315788,61,1.605263157894737,6
CHEMBL4528302,fondo,-8.1,0.6896551724137931,20,5.172413793103448,29,173,150,5.9655172413793105,24,0.8275862068965517,4,-7.4,0.9310344827586207,27,5.103448275862069,29,156,148,5.379310344827586,28,0.9655172413793104,1
CHEMBL33556,fondo,-5.3,1.1153846153846154,29,5.346153846153846,26,143,139,5.5,32,1.2307692307692308,3,-5.9,0.7307692307692307,19,5.3076923076923075,26,140,138,5.384615384615385,23,0.8846153846153846,4
CHEMBL31147,fondo,-7.1,1.8888888888888888,34,7.388888888888889,18,142,133,7.888888888888889,36,2.0,2,-6.9,2.1666666666666665,39,6.277777777777778,18,131,113,7.277777777777778,42,2.3333333333333335,3
CHEMBL28202,fondo,-7.0,0.20689655172413793,6,0.0,29,97,0,3.3448275862068964,8,0.27586206896551724,2,-8.2,0.3103448275862069,9,1.7241379310344827,29,101,50,3.4827586206896552,12,0.41379310344827586,3
CHEMBL4570394,fondo,-6.6,0.1111111111111111,4,0.0,36,138,0,3.8333333333333335,7,0.19444444444444445,3,-7.0,0.8333333333333334,30,3.5833333333333335,36,132,129,3.6666666666666665,31,0.8611111111111112,1
CHEMBL45918,fondo,-7.5,1.5555555555555556,28,7.055555555555555,18,139,127,7.722222222222222,32,1.7777777777777777,4,-7.5,1.6111111111111112,29,7.333333333333333,18,144,132,8.0,34,1.8888888888888888,5
CHEMBL8906,fondo,-7.2,0.03333333333333333,1,0.0,30,122,0,4.066666666666666,11,0.36666666666666664,10,-7.3,0.4666666666666667,14,4.6,30,145,138,4.833333333333333,18,0.6,4
CHEMBL27963,fondo,-6.0,0.2,7,0.0,35,125,0,3.5714285714285716,15,0.42857142857142855,8,-6.9,0.42857142857142855,15,4.8,35,180,168,5.142857142857143,19,0.5428571428571428,4
CHEMBL1237042,fondo,-6.7,0.8974358974358975,35,4.230769230769231,39,172,165,4.410256410256411,40,1.0256410256410255,5,-7.0,0.7948717948717948,31,3.6153846153846154,39,146,141,3.7435897435897436,33,0.8461538461538461,2
CHEMBL4543556,fondo,-8.4,0.7058823529411765,24,3.6470588235294117,34,124,124,3.6470588235294117,25,0.7352941176470589,1,-8.4,0.7352941176470589,25,3.588235294117647,34,122,122,3.588235294117647,26,0.7647058823529411,1
CHEMBL4639278,fondo,-8.6,1.2333333333333334,37,5.466666666666667,30,174,164,5.8,38,1.2666666666666666,1,-10.1,1.7666666666666666,53,5.266666666666667,30,163,158,5.433333333333334,53,1.7666666666666666,0
CHEMBL3310670,fondo,-6.9,1.1111111111111112,30,5.666666666666667,27,163,153,6.037037037037037,36,1.3333333333333333,6,-6.8,1.1111111111111112,30,5.518518518518518,27,159,149,5.888888888888889,37,1.3703703703703705,7
CHEMBL30358,fondo,-7.2,1.0,22,4.636363636363637,22,116,102,5.2727272727272725,25,1.1363636363636365,3,-7.2,1.0454545454545454,23,4.5,22,119,99,5.409090909090909,26,1.1818181818181819,3
