ligand,rol,vina,recall,jaccard,coseno,n_contactos
DECM_CHEMBL7969,decoy,-6.22,0.9643,0.1619,0.67,58
DEC_CHEMBL1309718,decoy,-5.848,0.9643,0.1396,0.7289,49
DEC_CHEMBL1343679,decoy,-5.068,0.9643,0.1254,0.7692,44
DEC_CHEMBL1346563,decoy,-5.462,0.9643,0.1254,0.7692,44
DEC_CHEMBL1389758,decoy,-5.171,0.9643,0.2216,0.5741,79
DEC_CHEMBL1390550,decoy,-6.085,0.9643,0.2023,0.6056,71
DEC_CHEMBL1435511,decoy,-5.397,0.9643,0.153,0.6819,56
DEC_CHEMBL1461506,decoy,-5.847,0.9643,0.1111,0.8171,39
DEC_CHEMBL1470097,decoy,-5.411,0.9643,0.1709,0.6587,60
DEC_CHEMBL1486005,decoy,-5.616,0.9643,0.2023,0.6056,71
DEC_CHEMBL1527656,decoy,-4.976,0.9643,0.1396,0.7289,49
DEC_CHEMBL1528023,decoy,-6.535,0.9643,0.1453,0.7145,51
DEC_CHEMBL1547432,decoy,-6.058,0.9643,0.2108,0.5932,74
DEC_CHEMBL1563897,decoy,-4.847,0.9643,0.1795,0.6429,63
DEC_CHEMBL1571416,decoy,-4.736,0.9643,0.1197,0.7873,42
DEC_CHEMBL1587018,decoy,-6.258,0.9643,0.2051,0.6013,72
DEC_CHEMBL1601845,decoy,-5.994,0.9643,0.2096,0.5853,76
DEC_CHEMBL1708757,decoy,-4.727,0.9643,0.0912,0.902,32
DEC_CHEMBL1900567,decoy,-5.386,0.9643,0.1937,0.6188,68
DEC_CHEMBL2143380,decoy,-5.739,0.9643,0.2216,0.5741,79
DEC_CHEMBL2165612,decoy,-5.194,0.9643,0.1738,0.6533,61
DEC_CHEMBL3193932,decoy,-5.044,0.9643,0.1652,0.67,58
DEC_CHEMBL3194612,decoy,-5.677,0.9643,0.0826,0.9475,29
DEC_CHEMBL3213140,decoy,-5.147,0.9643,0.0994,0.8504,36
DEC_CHEMBL3214262,decoy,-6.262,0.9643,0.1624,0.6758,57
DEC_MOLIBRESIB,decoy,-5.404,0.9643,0.1823,0.6378,64
DEC_Thiamine,decoy,-4.522,0.9643,0.2051,0.6013,72
DEC_Tizanidine,decoy,-5.39,0.9643,0.17,0.648,62
ACT_CHEMBL1939222,activo,-5.462,0.931,0.1852,0.6219,65
ACT_CHEMBL2165611,activo,-5.311,0.931,0.188,0.6172,66
ACT_CHEMBL2165613,activo,-6.449,0.931,0.2023,0.5909,72
ACT_CHEMBL2165609,activo,-5.943,0.9286,0.2194,0.5494,80
ACT_LCS-1,activo,-4.94,0.9286,0.1481,0.6452,58
ACT_Lig9_6B3,activo,-6.334,0.9286,0.1567,0.6625,55
ACT_PRG-A01,activo,-7.21,0.9286,0.245,0.5298,86
DECH_CHEMBL1077248,decoy,-5.872,0.9286,0.2376,0.4989,97
DECH_CHEMBL117785,decoy,-4.953,0.9286,0.1076,0.7769,40
DECH_CHEMBL1228,decoy,-4.904,0.9286,0.1364,0.7019,49
DECH_CHEMBL1311703,decoy,-6.101,0.9286,0.1425,0.6949,50
DECH_CHEMBL1391531,decoy,-5.314,0.9286,0.1681,0.6397,59
DECH_CHEMBL1418679,decoy,-5.499,0.9286,0.1652,0.6452,58
DECH_CHEMBL1457583,decoy,-5.057,0.9286,0.1966,0.5915,69
DECH_CHEMBL1530615,decoy,-5.407,0.9286,0.1823,0.6142,64
DECH_CHEMBL1540525,decoy,-6.544,0.9286,0.2131,0.5636,76
DECH_CHEMBL1865134,decoy,-5.217,0.9286,0.1339,0.7167,47
DECH_CHEMBL252556,decoy,-4.301,0.9286,0.2621,0.5123,92
DECH_CHEMBL28280,decoy,-6.71,0.9286,0.1994,0.5873,70
DECH_CHEMBL306700,decoy,-5.282,0.9286,0.1823,0.6142,64
DECH_CHEMBL313972,decoy,-5.925,0.9286,0.2991,0.4795,105
DECH_CHEMBL3309763,decoy,-5.365,0.9286,0.2108,0.5712,74
DECH_CHEMBL3309985,decoy,-5.95,0.9286,0.2023,0.5831,71
DECH_CHEMBL546,decoy,-4.349,0.9286,0.1909,0.6003,67
DECM_CHEMBL1201260,decoy,-4.683,0.9286,0.1624,0.6508,57
DECM_CHEMBL1232461,decoy,-5.483,0.9286,0.1766,0.624,62
DECM_CHEMBL124937,decoy,-6.858,0.9286,0.1994,0.5873,70
DECM_CHEMBL1372889,decoy,-5.188,0.9286,0.0855,0.8971,30
DECM_CHEMBL1440455,decoy,-5.168,0.9286,0.1652,0.6452,58
