hit,png,smiles_crudo,confianza
1,hit_1.png,C1CC(CN(C1)C2=NC=CC=N2)N,"[('C', np.float32(0.9913879)), ('1', np.float32(0.9967062)), ('C', np.float32(0.9915816)), ('C', np.float32(0.9839311)), ('(', np.float32(0.99802834)), ('C', np.float32(0.99307865)), ('N', np.float32(0.99899215)), ('(', np.float32(0.99941015)), ('C', np.float32(0.9965263)), ('1', np.float32(0.9996331)), (')', np.float32(0.9998692)), ('C', np.float32(0.99924624)), ('2', np.float32(0.99969697)), ('=', np.float32(0.9995814)), ('N', np.float32(0.999114)), ('C', np.float32(0.9954165)), ('=', np.float32(0.99768555)), ('C', np.float32(0.99526286)), ('C', np.float32(0.99856526)), ('=', np.float32(0.9987042)), ('N', np.float32(0.99888283)), ('2', np.float32(0.9999021)), (')', np.float32(0.99994504)), ('N', np.float32(0.97982234))]"
2,hit_2.png,CC(C1=CN2C(=N1)SC=N2)N,"[('C', np.float32(0.9925242)), ('C', np.float32(0.9809188)), ('(', np.float32(0.9899448)), ('C', np.float32(0.9963934)), ('1', np.float32(0.98033124)), ('=', np.float32(0.9763901)), ('C', np.float32(0.9810238)), ('N', np.float32(0.93964404)), ('2', np.float32(0.98067296)), ('C', np.float32(0.9930635)), ('(', np.float32(0.54458165)), ('=', np.float32(0.9972325)), ('N', np.float32(0.99322116)), ('1', np.float32(0.97692704)), (')', np.float32(0.999298)), ('S', np.float32(0.985109)), ('C', np.float32(0.9874166)), ('=', np.float32(0.99341416)), ('N', np.float32(0.99688256)), ('2', np.float32(0.9941111)), (')', np.float32(0.99908626)), ('N', np.float32(0.9917796))]"
3,hit_3.png,C1=CN=C(C(=C1)C#N)N2CCC(CC2)N,"[('C', np.float32(0.99068624)), ('1', np.float32(0.996269)), ('=', np.float32(0.99745506)), ('C', np.float32(0.9947083)), ('N', np.float32(0.99674016)), ('=', np.float32(0.998531)), ('C', np.float32(0.99717915)), ('(', np.float32(0.9984433)), ('C', np.float32(0.9976671)), ('(', np.float32(0.99871397)), ('=', np.float32(0.9984779)), ('C', np.float32(0.9985524)), ('1', np.float32(0.99983084)), (')', np.float32(0.9991836)), ('C', np.float32(0.9911806)), ('#', np.float32(0.9998305)), ('N', np.float32(0.99381775)), (')', np.float32(0.999961)), ('N', np.float32(0.9989666)), ('2', np.float32(0.99939346)), ('C', np.float32(0.9951792)), ('C', np.float32(0.99513215)), ('C', np.float32(0.99343175)), ('(', np.float32(0.9993086)), ('C', np.float32(0.99577206)), ('C', np.float32(0.9985073)), ('2', np.float32(0.9998159)), (')', np.float32(0.9996855)), ('N', np.float32(0.97860134))]"
