ligand,target,energy
CHEMBL262244,SOD1,-0.0001962
CHEMBL503725,TDP43,-0.0001664
CHEMBL498871,TDP43,-0.0001655
CHEMBL500790,TDP43,-0.0001622
CHEMBL263555,TDP43,-0.0001509
CHEMBL265130,SOD1,-0.0001489
CHEMBL438132,SOD1,-0.0001411
CHEMBL438807,TDP43,-0.0001303
CHEMBL503725,SOD1,-0.0001153
CHEMBL263810,TDP43,-0.0001104
CHEMBL444434,TDP43,-0.0001012
CHEMBL261894,SOD1,-9.209e-05
CHEMBL444736,TDP43,-4.743e-05
CHEMBL155459,SOD1,-4.529e-05
CHEMBL268339,TDP43,-4.301e-05
CHEMBL264899,SOD1,-4.287e-05
CHEMBL444987,SOD1,-3.278e-05
CHEMBL437851,SOD1,-2.044e-05
CHEMBL503643,TDP43,-9.669e-06
CHEMBL262399,TDP43,-8.988e-06
CHEMBL1205372,TDP43,-7.081e-06
CHEMBL216546,SOD1,-6.617e-06
CHEMBL263810,SOD1,-5.841e-06
CHEMBL443602,TDP43,-3.441e-06
CHEMBL265282,SOD1,-1.357e-06
CHEMBL405416,TDP43,-1.307e-06
CHEMBL501101,TDP43,-7.571e-07
CHEMBL405398,TDP43,0.0
CHEMBL503634,TDP43,0.0
CHEMBL503643,SOD1,0.0
CHEMBL155287,TDP43,0.0
CHEMBL155287,SOD1,0.0
CHEMBL264472,SOD1,0.0
CHEMBL499520,SOD1,0.0
CHEMBL501674,SOD1,0.0
CHEMBL501923,TDP43,0.0
CHEMBL505943,TDP43,0.0
CHEMBL505943,SOD1,0.0
CHEMBL443992,TDP43,0.0
CHEMBL405667,SOD1,0.0
CHEMBL441131,SOD1,0.0
CHEMBL155374,TDP43,0.0
CHEMBL155374,SOD1,0.0
CHEMBL217730,SOD1,0.0
CHEMBL262664,SOD1,0.0
CHEMBL500021,SOD1,0.0
CHEMBL263956,SOD1,0.0
CHEMBL265282,TDP43,0.0
CHEMBL438327,TDP43,0.0
CHEMBL4116102,TDP43,0.0
CHEMBL444024,TDP43,0.0
CHEMBL444145,TDP43,0.0
CHEMBL444145,SOD1,0.0
CHEMBL444233,TDP43,0.0
CHEMBL444233,SOD1,0.0
CHEMBL441948,TDP43,0.0
CHEMBL441948,SOD1,0.0
CHEMBL442894,TDP43,0.0
CHEMBL442894,SOD1,0.0
CHEMBL444368,TDP43,0.0
