ligando,fichero,afinidad,puesto_frente_a_los_tres_fondos,n_fondo,cuantil
LCS-1,ACT_LCS-1,-4.956,312,482,64.6
PRG-A01,ACT_PRG-A01,-6.192,36,482,7.5
CHEMBL2165613,ACT_CHEMBL2165613,-6.372,25,482,5.2
isoproterenol,ACT_isoproterenol,-4.638,397,482,82.2
adrenalina,ACT_adrenalina,-4.779,360,482,74.5
dopamina,ACT_dopamina,-4.705,379,482,78.5
5-fluorouridina,ACT_5-fluorouridina,-5.702,106,482,21.9
