bolsillo,centro,size,activos,decoys,media_activos,media_decoys,AUC,EF1,EF5
trp32,"(46.5,80.0,73.3)",22,20,199,-5.85,-5.24,0.815,0.0,4.0
metal,"(43.6,99.7,78.3)",22,20,199,-5.34,-5.01,0.717,0.0,3.0
dimer,"(35.7,87.6,84.4)",22,20,199,-5.82,-5.25,0.809,0.0,2.0
