ligand,rol,affinity
DEC_CHEMBL1732240,decoy,-4.828
DEC_CHEMBL1395067,decoy,-4.821
DEC_CHEMBL1539969,decoy,-4.8
DEC_Lamotrigine,decoy,-4.794
DEC_Teriflunomide,decoy,-4.783
DEC_CHEMBL1970198,decoy,-4.779
DEC_CHEMBL1452318,decoy,-4.772
DEC_CHEMBL1592685,decoy,-4.765
DEC_Gabapentin,decoy,-4.757
DEC_CHEMBL1569875,decoy,-4.746
DEC_CHEMBL1579933,decoy,-4.746
DEC_MOLIBRESIB,decoy,-4.746
DEC_CHEMBL2360645,decoy,-4.74
DEC_CHEMBL1879692,decoy,-4.739
DEC_CHEMBL1541085,decoy,-4.737
DEC_CHEMBL1597290,decoy,-4.737
DEC_Baclofen,decoy,-4.725
DEC_CHEMBL3193932,decoy,-4.723
DEC_CHEMBL1570375,decoy,-4.722
DEC_CHEMBL1429852,decoy,-4.721
DEC_CHEMBL2086626,decoy,-4.709
DEC_Arimoclomol,decoy,-4.705
DEC_CHEMBL1461527,decoy,-4.7
DEC_CHEMBL1730073,decoy,-4.699
DEC_CHEMBL1896176,decoy,-4.695
DEC_Pramipexole,decoy,-4.69
DEC_CHEMBL1540430,decoy,-4.685
DEC_CHEMBL1344270,decoy,-4.684
DEC_IPRIFLAVONE,decoy,-4.681
DEC_CHEMBL1875761,decoy,-4.669
DEC_CHEMBL1574978,decoy,-4.657
DEC_CHEMBL1601845,decoy,-4.655
DEC_CHEMBL1414576,decoy,-4.654
DEC_CHEMBL1334295,decoy,-4.644
DEC_CHEMBL1509423,decoy,-4.643
DEC_CHEMBL1570928,decoy,-4.632
DEC_CHEMBL1547432,decoy,-4.61
DEC_CHEMBL1430765,decoy,-4.604
DEC_CHEMBL1470097,decoy,-4.6
DEC_CHEMBL1579274,decoy,-4.586
DEC_CHEMBL1373785,decoy,-4.579
DEC_CHEMBL3213140,decoy,-4.576
DEC_Ezogabine,decoy,-4.566
DEC_Thiamine,decoy,-4.564
DEC_CHEMBL1730221,decoy,-4.55
DEC_CHEMBL1571416,decoy,-4.546
DEC_CHEMBL1558218,decoy,-4.537
DEC_CHEMBL1730329,decoy,-4.525
ACT_LCS-1,activo,-4.52
DEC_CHEMBL1563897,decoy,-4.52
DEC_CHEMBL1468265,decoy,-4.515
