ligand,rol,affinity
DEC_CHEMBL1570375,decoy,-5.037
DEC_CHEMBL1462643,decoy,-5.024
DEC_CHEMBL1391531,decoy,-5.015
DEC_CHEMBL1390550,decoy,-5.014
DEC_CHEMBL1597290,decoy,-5.013
DEC_CHEMBL1372889,decoy,-5.006
DEC_CHEMBL1608506,decoy,-5.003
DEC_CHEMBL1491587,decoy,-5.0
DEC_CHEMBL1602618,decoy,-5.0
DEC_CHEMBL1527656,decoy,-4.999
DEC_CHEMBL1524161,decoy,-4.998
DEC_CHEMBL1091583,decoy,-4.99
DEC_CHEMBL1343679,decoy,-4.987
DEC_CHEMBL3193932,decoy,-4.98
DEC_CHEMBL1601845,decoy,-4.974
DEC_CHEMBL3189534,decoy,-4.974
DEC_CHEMBL1446677,decoy,-4.973
DEC_CHEMBL1334295,decoy,-4.967
DEC_Escitalopram,decoy,-4.967
DEC_CHEMBL1730221,decoy,-4.965
DEC_CHEMBL1429107,decoy,-4.935
DEC_CHEMBL1429852,decoy,-4.933
DEC_CHEMBL1374893,decoy,-4.926
DEC_IPRIFLAVONE,decoy,-4.926
DEC_CHEMBL1896176,decoy,-4.925
DEC_CHEMBL1437579,decoy,-4.924
DEC_CHEMBL1429958,decoy,-4.915
DEC_CHEMBL2359981,decoy,-4.913
DEC_Ezogabine,decoy,-4.91
DEC_CHEMBL1558140,decoy,-4.908
DEC_Arimoclomol,decoy,-4.907
ACT_LCS-1,activo,-4.906
DEC_CHEMBL1414576,decoy,-4.891
DEC_CHEMBL1879748,decoy,-4.883
DEC_CHEMBL1574931,decoy,-4.877
DEC_CHEMBL2086626,decoy,-4.869
DEC_Thiamine,decoy,-4.869
DEC_CHEMBL1435511,decoy,-4.842
DEC_CHEMBL1708757,decoy,-4.816
DEC_CHEMBL1402270,decoy,-4.81
DEC_CHEMBL3213140,decoy,-4.763
DEC_CHEMBL1597270,decoy,-4.757
DEC_CHEMBL1344270,decoy,-4.754
DEC_Melatonin,decoy,-4.752
DEC_CHEMBL1539969,decoy,-4.744
DEC_CHEMBL267400,decoy,-4.738
DEC_CHEMBL1461527,decoy,-4.736
DEC_CHEMBL1969867,decoy,-4.736
DEC_CHEMBL1443628,decoy,-4.735
DEC_CHEMBL1569875,decoy,-4.718
DEC_CHEMBL1401914,decoy,-4.697
DEC_CHEMBL1563897,decoy,-4.692
DEC_CHEMBL1730329,decoy,-4.685
DEC_CHEMBL1509423,decoy,-4.683
DEC_CHEMBL1896241,decoy,-4.682
DEC_CHEMBL1476483,decoy,-4.631
DEC_CHEMBL1440455,decoy,-4.609
DEC_CHEMBL1541085,decoy,-4.608
DEC_CHEMBL1373785,decoy,-4.604
DEC_CHEMBL1470785,decoy,-4.588
DEC_CHEMBL2179266,decoy,-4.573
DEC_Riluzole,decoy,-4.569
DEC_CHEMBL1879685,decoy,-4.566
DEC_CHEMBL1373755,decoy,-4.565
DEC_CHEMBL1409776,decoy,-4.526
DEC_CHEMBL1728134,decoy,-4.447
DEC_CAPTOPRIL,decoy,-4.427
DEC_Pramipexole,decoy,-4.407
DEC_CHEMBL1571416,decoy,-4.381
DEC_CHEMBL1256364,decoy,-4.374
DEC_CHEMBL3213756,decoy,-4.363
DEC_CHEMBL1592685,decoy,-4.343
DEC_CHEMBL2359671,decoy,-4.334
DEC_CHEMBL1978331,decoy,-4.323
DEC_CHEMBL1879543,decoy,-4.244
DEC_CHEMBL1900371,decoy,-4.128
DEC_CHEMBL1486052,decoy,-4.11
DEC_CHEMBL1501518,decoy,-4.108
DEC_Alpha-Lipoic_Acid,decoy,-4.1
DEC_CHEMBL3774966,decoy,-3.694
