ligand,rol,affinity
DEC_CHEMBL1730329,decoy,-5.311
DEC_CHEMBL1731606,decoy,-6.377
DEC_CHEMBL1731670,decoy,-5.392
DEC_CHEMBL1732240,decoy,-6.267
DEC_CHEMBL1732294,decoy,-6.115
DEC_CHEMBL1875761,decoy,-5.296
DEC_CHEMBL1879543,decoy,-4.172
DEC_CHEMBL1879685,decoy,-4.509
DEC_CHEMBL1879692,decoy,-5.212
DEC_CHEMBL1879748,decoy,-5.006
DEC_CHEMBL1896176,decoy,-5.91
DEC_CHEMBL1896241,decoy,-5.977
DEC_CHEMBL1896432,decoy,-6.199
DEC_CHEMBL1896436,decoy,-5.287
DEC_CHEMBL1900310,decoy,-5.977
DEC_CHEMBL1900371,decoy,-4.315
DEC_CHEMBL1900501,decoy,-5.197
DEC_CHEMBL1900567,decoy,-5.386
DEC_CHEMBL1939222,decoy,-5.274
DEC_CHEMBL1969867,decoy,-4.966
DEC_CHEMBL1970198,decoy,-5.308
DEC_CHEMBL1978331,decoy,-4.679
DEC_CHEMBL2086626,decoy,-5.267
DEC_CHEMBL2136341,decoy,-5.295
DEC_CHEMBL2142154,decoy,-5.575
DEC_CHEMBL2143380,decoy,-5.739
DEC_CHEMBL2165602,decoy,-4.985
DEC_CHEMBL2165608,decoy,-5.701
DEC_CHEMBL2165612,decoy,-5.194
DEC_CHEMBL2179266,decoy,-5.373
DEC_CHEMBL2179268,decoy,-5.595
DEC_CHEMBL2356527,decoy,-5.31
DEC_CHEMBL2359671,decoy,-4.546
DEC_CHEMBL2359981,decoy,-5.101
DEC_CHEMBL2360645,decoy,-5.886
DEC_CHEMBL267400,decoy,-6.256
DEC_CHEMBL272808,decoy,-6.011
DEC_CHEMBL3189534,decoy,-5.346
DEC_CHEMBL3193932,decoy,-5.044
DEC_CHEMBL3194612,decoy,-5.677
DEC_CHEMBL3208261,decoy,-5.805
DEC_CHEMBL3213140,decoy,-5.147
DEC_CHEMBL3213756,decoy,-4.764
DEC_CHEMBL3214262,decoy,-6.262
DEC_CHEMBL3774966,decoy,-3.941
DEC_Escitalopram,decoy,-5.086
DEC_Ezogabine,decoy,-4.663
DEC_Gabapentin,decoy,-4.754
DEC_Genistein,decoy,-5.691
DEC_IPRIFLAVONE,decoy,-6.01
DEC_KAEMPFEROL,decoy,-5.759
DEC_Lamotrigine,decoy,-4.371
DEC_Luteolin,decoy,-5.808
DEC_MOLIBRESIB,decoy,-5.404
DEC_Melatonin,decoy,-4.808
DEC_ONONETIN,decoy,-5.426
DEC_Pramipexole,decoy,-4.511
DEC_Quercetin,decoy,-5.74
DEC_Riluzole,decoy,-4.72
DEC_Teriflunomide,decoy,-5.805
DEC_Thiamine,decoy,-4.522
DEC_Tizanidine,decoy,-5.39
