familia,n_activos,fondo,n_fondo,media_activos,media_fondo,AUC,AUC_sin_tamano,EF1%,EF5%
catecolaminas (1 quimia),3,emparejado nuevo,140,-4.58,-5.11,0.276,0.469,0.0,0.0
catecolaminas (1 quimia),3,emparejado antiguo,199,-4.58,-5.41,0.072,0.452,0.0,0.0
catecolaminas (1 quimia),3,duro,143,-4.58,-5.33,0.138,0.531,0.0,0.0
catecolaminas (1 quimia),3,los tres juntos,482,-4.58,-5.3,0.151,0.481,0.0,0.0
"cristalizadas, quimias nuevas",8,emparejado nuevo,140,-5.54,-5.11,0.611,0.469,0.0,0.0
"cristalizadas, quimias nuevas",8,emparejado antiguo,199,-5.54,-5.41,0.506,0.443,12.5,5.0
"cristalizadas, quimias nuevas",8,duro,143,-5.54,-5.33,0.545,0.531,0.0,5.0
"cristalizadas, quimias nuevas",8,los tres juntos,482,-5.54,-5.3,0.548,0.476,0.0,5.0
Lig9 sola (manjula),1,emparejado nuevo,140,-6.33,-5.11,0.907,0.207,0.0,0.0
Lig9 sola (manjula),1,emparejado antiguo,199,-6.33,-5.41,0.935,0.171,0.0,0.0
Lig9 sola (manjula),1,duro,143,-6.33,-5.33,0.937,0.273,0.0,0.0
Lig9 sola (manjula),1,los tres juntos,482,-6.33,-5.3,0.927,0.212,0.0,0.0
paliperidona sola (farmaco),1,emparejado nuevo,140,-6.73,-5.11,0.943,0.643,0.0,0.0
paliperidona sola (farmaco),1,emparejado antiguo,199,-6.73,-5.41,0.995,0.663,100.0,20.0
paliperidona sola (farmaco),1,duro,143,-6.73,-5.33,0.986,0.678,0.0,20.0
paliperidona sola (farmaco),1,los tres juntos,482,-6.73,-5.3,0.977,0.662,0.0,20.0
sin estructura (actividad celular),2,emparejado nuevo,140,-6.08,-5.11,0.714,0.721,0.0,10.0
sin estructura (actividad celular),2,emparejado antiguo,199,-6.08,-5.41,0.588,0.691,50.0,10.0
sin estructura (actividad celular),2,duro,143,-6.08,-5.33,0.633,0.745,50.0,10.0
sin estructura (actividad celular),2,los tres juntos,482,-6.08,-5.3,0.638,0.716,50.0,10.0
serie pirazolona,1,emparejado nuevo,140,-6.45,-5.11,0.921,0.986,0.0,0.0
serie pirazolona,1,emparejado antiguo,199,-6.45,-5.41,0.955,0.98,0.0,20.0
serie pirazolona,1,duro,143,-6.45,-5.33,0.965,0.993,0.0,20.0
serie pirazolona,1,los tres juntos,482,-6.45,-5.3,0.948,0.985,0.0,0.0
cristalizadas + sin estructura,10,emparejado nuevo,140,-5.65,-5.11,0.631,0.519,0.0,2.0
cristalizadas + sin estructura,10,emparejado antiguo,199,-5.65,-5.41,0.523,0.492,10.0,6.0
cristalizadas + sin estructura,10,duro,143,-5.65,-5.33,0.563,0.573,10.0,6.0
cristalizadas + sin estructura,10,los tres juntos,482,-5.65,-5.3,0.566,0.524,10.0,6.0
todos los controles,14,emparejado nuevo,140,-5.48,-5.11,0.576,0.542,0.0,1.43
todos los controles,14,emparejado antiguo,199,-5.48,-5.41,0.457,0.519,7.14,4.29
todos los controles,14,duro,143,-5.48,-5.33,0.5,0.594,7.14,4.29
todos los controles,14,los tres juntos,482,-5.48,-5.3,0.504,0.548,7.14,4.29
