name,chembl_id,smiles
SULFASALAZINE,CHEMBL421,O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
COUMARIN,CHEMBL6466,O=c1ccc2ccccc2o1
DILTIAZEM,CHEMBL23,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
ATENOLOL,CHEMBL24,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
ASPIRIN,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O
TRIFLUOPERAZINE,CHEMBL422,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
SULPIRIDE,CHEMBL26,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
BETAXOLOL,CHEMBL423,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
SALICYLIC ACID,CHEMBL424,O=C(O)c1ccccc1O
OLSALAZINE,CHEMBL425,O=C(O)c1cc(/N=N/c2ccc(O)c(C(=O)O)c2)ccc1O
PROPRANOLOL,CHEMBL27,CC(C)NCC(O)COc1cccc2ccccc12
PRACTOLOL,CHEMBL6995,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
MECHLORETHAMINE,CHEMBL427,CN(CCCl)CCCl
PENICILLIN G,CHEMBL29,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O
TROVAFLOXACIN,CHEMBL428,N[C@@H]1[C@H]2CN(c3nc4c(cc3F)c(=O)c(C(=O)O)cn4-c3ccc(F)cc3F)C[C@@H]12
CIMETIDINE,CHEMBL30,CN/C(=N\CCSCc1nc[nH]c1C)NC#N
GATIFLOXACIN,CHEMBL31,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
LABETALOL,CHEMBL429,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
MOXIFLOXACIN,CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
LEVOFLOXACIN ANHYDROUS,CHEMBL33,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
GEMIFLOXACIN,CHEMBL430,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN
SPIRAPRIL,CHEMBL431,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CC2(C[C@H]1C(=O)O)SCCS2
VALPROATE SODIUM,CHEMBL433,CCCC(CCC)C(=O)[O-].[Na+]
ISOPROTERENOL,CHEMBL434,CC(C)NCC(O)c1ccc(O)c(O)c1
HYDROCHLOROTHIAZIDE,CHEMBL435,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
FUROSEMIDE,CHEMBL35,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
PYRIMETHAMINE,CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
TOLRESTAT,CHEMBL436,COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F
SULFATHIAZOLE,CHEMBL437,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
SULFAMERAZINE,CHEMBL438,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1
SULFADIAZINE,CHEMBL439,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
THIAMYLAL,CHEMBL440,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
THIOPENTAL,CHEMBL441,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
CYCLOBARBITAL,CHEMBL268164,CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O
ERGOTAMINE,CHEMBL442,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
TRETINOIN,CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1
METHOHEXITAL,CHEMBL7413,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
PHENOBARBITAL,CHEMBL40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
FLUOXETINE,CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
SULFAMETHOXAZOLE,CHEMBL443,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
BARBITAL,CHEMBL444,CCC1(CC)C(=O)NC(=O)NC1=O
CLOZAPINE,CHEMBL42,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
NORTRIPTYLINE,CHEMBL445,CNCCC=C1c2ccccc2CCc2ccccc21
SULFAMETHAZINE,CHEMBL446,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
SECOBARBITAL,CHEMBL447,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
PENTOBARBITAL,CHEMBL448,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
QUINACRINE,CHEMBL7568,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12
AMOBARBITAL,CHEMBL267894,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
HEXOBARBITAL,CHEMBL7728,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O
BUTABARBITAL,CHEMBL449,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
APROBARBITAL,CHEMBL7863,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O
METHARBITAL,CHEMBL450,CCC1(CC)C(=O)NC(=O)N(C)C1=O
CHLORDIAZEPOXIDE,CHEMBL451,CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1
MELAGATRAN,CHEMBL266349,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1
CLONAZEPAM,CHEMBL452,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
SULFISOXAZOLE,CHEMBL453,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
SULFAMETHOXYPYRIDAZINE,CHEMBL268869,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
BUTALBITAL,CHEMBL454,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
SULFACETAMIDE,CHEMBL455,CC(=O)NS(=O)(=O)c1ccc(N)cc1
AMSACRINE,CHEMBL43,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
ETHACRYNIC ACID,CHEMBL456,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl
TICRYNAFEN,CHEMBL267744,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
GEMFIBROZIL,CHEMBL457,Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1
MELATONIN,CHEMBL45,COc1ccc2[nH]cc(CCNC(C)=O)c2c1
ONDANSETRON,CHEMBL46,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
BUSPIRONE,CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
KETANSERIN,CHEMBL51,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1
METHYLDOPA,CHEMBL459,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
MOLINDONE,CHEMBL460,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
APOMORPHINE,CHEMBL53,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
HALOPERIDOL,CHEMBL54,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
PENTAMIDINE,CHEMBL55,N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1
AMINOHIPPURIC ACID,CHEMBL463,Nc1ccc(C(=O)NCC(=O)O)cc1
ETRETINATE,CHEMBL464,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
NEVIRAPINE,CHEMBL57,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
DRONABINOL,CHEMBL465,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
MITOXANTRONE,CHEMBL58,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
DOPAMINE,CHEMBL59,NCCc1ccc(O)c(O)c1
HYDROXYUREA,CHEMBL467,NC(=O)NO
PODOFILOX,CHEMBL61,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1OC
ISONIAZID,CHEMBL64,NNC(=O)c1ccncc1
THALIDOMIDE,CHEMBL468,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
KETOROLAC,CHEMBL469,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
SOTALOL,CHEMBL471,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
GLYBURIDE,CHEMBL472,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
HEXESTROL,CHEMBL9225,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1
DOFETILIDE,CHEMBL473,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
DACARBAZINE,CHEMBL476,CN(C)/N=N/c1[nH]cnc1C(N)=O
ADENOSINE,CHEMBL477,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
THIORIDAZINE,CHEMBL479,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
LANSOPRAZOLE,CHEMBL480,Cc1c(OCC(F)(F)F)ccnc1C[S+]([O-])c1nc2ccccc2[nH]1
IRINOTECAN,CHEMBL481,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC
MORPHINE,CHEMBL70,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
CODEINE,CHEMBL485,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
CHLORPROMAZINE,CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
DESIPRAMINE,CHEMBL72,CNCCCN1c2ccccc2CCc2ccccc21
AMINOGLUTETHIMIDE,CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CROMOLYN SODIUM,CHEMBL74,O=C([O-])c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)[O-])cc(=O)c34)cccc2o1.[Na+].[Na+]
CHLOROQUINE,CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
PAROXETINE,CHEMBL490,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
ETORICOXIB,CHEMBL416146,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1
LIDOCAINE,CHEMBL79,CCN(CC)CC(=O)Nc1c(C)cccc1C
PIRENZEPINE,CHEMBL9967,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
ETIDOCAINE,CHEMBL492,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
NALOXONE,CHEMBL80,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5
RALOXIFENE,CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
TAMOXIFEN,CHEMBL83,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
BROMOCRIPTINE,CHEMBL493,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12
ILOPROST,CHEMBL494,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O
TOPOTECAN,CHEMBL84,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1
RISPERIDONE,CHEMBL85,Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2
CROMOLYN,CHEMBL428880,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1
METOCLOPRAMIDE,CHEMBL86,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
PACLITAXEL,CHEMBL428647,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
ALPROSTADIL,CHEMBL495,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
HEXACHLOROPHENE,CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
CLIOQUINOL,CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12
AGOMELATINE,CHEMBL10878,COc1ccc2cccc(CCNC(C)=O)c2c1
CYCLOPHOSPHAMIDE ANHYDROUS,CHEMBL88,O=P1(N(CCCl)CCCl)NCCCO1
CHLORPROPAMIDE,CHEMBL498,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
TIMOLOL,CHEMBL499,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
PINDOLOL,CHEMBL500,CC(C)NCC(O)COc1cccc2[nH]ccc12
HYDRALAZINE,CHEMBL276832,NNc1nncc2ccccc12
AMPHETAMINE SULFATE,CHEMBL501,CC(N)Cc1ccccc1.O=S(=O)(O)O
AMPHOTERICIN B,CHEMBL267345,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O
HISTAMINE,CHEMBL90,NCCc1c[nH]cn1
MICONAZOLE,CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
DOCETAXEL ANHYDROUS,CHEMBL92,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
ZILEUTON,CHEMBL93,CC(c1cc2ccccc2s1)N(O)C(N)=O
PHYSOSTIGMINE,CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C
TACRINE,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2
DONEPEZIL,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2
LOVASTATIN,CHEMBL503,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
OZAGREL,CHEMBL11662,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1
BENZYDAMINE,CHEMBL12610,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12
ACETANILIDE,CHEMBL269644,CC(=O)Nc1ccccc1
DIMETHYL SULFOXIDE,CHEMBL504,C[S+](C)[O-]
CHLORPHENIRAMINE,CHEMBL505,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
PRIMAQUINE,CHEMBL506,COc1cc(NC(C)CCCN)c2ncccc2c1
MECLOFENAMIC ACID,CHEMBL509,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl
PYRILAMINE,CHEMBL511,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
SERTINDOLE,CHEMBL12713,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
CARMUSTINE,CHEMBL513,O=NN(CCCl)C(=O)NCCCl
LOMUSTINE,CHEMBL514,O=NN(CCCl)C(=O)NC1CCCCC1
CHLORAMBUCIL,CHEMBL515,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
CYPROHEPTADINE,CHEMBL516,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1
INAMRINONE,CHEMBL12856,Nc1cc(-c2ccncc2)c[nH]c1=O
DISOPYRAMIDE,CHEMBL517,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
VORINOSTAT,CHEMBL98,O=C(CCCCCCC(=O)Nc1ccccc1)NO
IBUPROFEN,CHEMBL521,CC(C)Cc1ccc(C(C)C(=O)O)cc1
CLOMETACIN,CHEMBL13376,COc1ccc2c(C(=O)c3ccc(Cl)cc3)c(C)n(CC(=O)O)c2c1
FLUNITRAZEPAM,CHEMBL13280,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
NITRAZEPAM,CHEMBL13209,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
METHOXAMINE,CHEMBL524,COc1ccc(OC)c(C(O)C(C)N)c1
PROPOFOL,CHEMBL526,CC(C)c1cccc(C(C)C)c1O
PIROXICAM,CHEMBL527,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
CEFTIZOXIME,CHEMBL528,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1
PHENYLBUTAZONE,CHEMBL101,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
AZITHROMYCIN,CHEMBL529,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
AMDINOCILLIN,CHEMBL530,CC1(C)S[C@@H]2[C@H](/N=C/N3CCCCCC3)C(=O)N2[C@H]1C(=O)O
PERGOLIDE,CHEMBL531,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
ERYTHROMYCIN,CHEMBL532,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
IBUTILIDE,CHEMBL533,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
PROGESTERONE,CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
KETOTIFEN,CHEMBL534,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1
SUNITINIB,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
HYDROQUINONE,CHEMBL537,Oc1ccc(O)cc1
ACETIC ACID,CHEMBL539,CC(=O)O
PHENOL,CHEMBL14060,Oc1ccccc1
MEQUINOL,CHEMBL544,COc1ccc(O)cc1
CLOTRIMAZOLE,CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
MITOMYCIN,CHEMBL105,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
ALCOHOL,CHEMBL545,CCO
OXPRENOLOL,CHEMBL546,C=CCOc1ccccc1OCC(O)CNC(C)C
FLUCONAZOLE,CHEMBL106,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
ISOTRETINOIN,CHEMBL547,CC1=C(/C=C/C(C)=C/C=C/C(C)=C\C(=O)O)C(C)(C)CCC1
ILOPERIDONE,CHEMBL14376,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1
DINOPROSTONE,CHEMBL548,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O
NEOSTIGMINE,CHEMBL278020,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
REBOXETINE,CHEMBL14370,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1
CITALOPRAM,CHEMBL549,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
PILOCARPINE,CHEMBL550,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C
COLCHICINE,CHEMBL107,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2
ERLOTINIB,CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1
LAPATINIB,CHEMBL554,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
TRIFLUPERIDOL,CHEMBL15023,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1
CARBAMAZEPINE,CHEMBL108,NC(=O)N1c2ccccc2C=Cc2ccccc21
VALPROIC ACID,CHEMBL109,CCCC(CCC)C(=O)O
TEMAFLOXACIN,CHEMBL277100,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1
BENZNIDAZOLE,CHEMBL110,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1
DEFEROXAMINE,CHEMBL556,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN
MEXILETINE,CHEMBL558,Cc1cccc(C)c1OCC(C)N
DEXTROTHYROXINE,CHEMBL559,N[C@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
