exhaustividad,blando_auc,blando_atomo,blando_residual,blando_quimias,blando_veredicto,duro_auc,duro_residual,duro_quimias,duro_ganan,duro_veredicto,pendiente
8,0.3009,0.6827,0.3068,2,PASA,0.3712,0.407,2,"bencilisoquinolina,isoxazol-piperidina",PASA,-0.0446
32,0.2881,0.6663,0.2881,3,PASA,0.39,0.4229,3,"bencilisoquinolina,isoxazol-piperidina,piridil-pirazol",PASA,-0.0389
