ligand,papel,afinidad,pesados,puesto_fondo1,puesto_fondo2,residual
DEC_CHEMBL4436054,fondo,-9.959,43,1,,
RB_SM_0111,fondo2,-9.757,36,,1,
DEC_CHEMBL14666,fondo,-9.636,44,2,,
RB_SM_0127,fondo2,-9.636,46,,2,
DEC_CHEMBL1163540,fondo,-9.526,24,3,,
RB_SM_0137,fondo2,-9.418,40,,3,
RB_SM_0083,fondo2,-9.412,28,,4,
RB_SM_0126,fondo2,-9.367,38,,5,
DEC_CHEMBL4435881,fondo,-9.322,24,4,,
RB_SM_0152,fondo2,-9.144,40,,6,
DEC_CHEMBL2360863,fondo,-9.134,32,5,,
DEC_CHEMBL20834,fondo,-8.987,26,6,,
DEC_CHEMBL3310187,fondo,-8.895,40,7,,
RB_SM_0010,fondo2,-8.889,34,,7,
DEC_CHEMBL17590,fondo,-8.831,37,8,,
DEC_CHEMBL261102,fondo,-8.776,39,9,,
DEC_CHEMBL24973,fondo,-8.775,32,10,,
DEC_CHEMBL4435888,fondo,-8.737,39,11,,
DEC_CHEMBL12212,fondo,-8.733,34,12,,
DEC_CHEMBL3309988,fondo,-8.733,25,13,,
DEC_CHEMBL20549,fondo,-8.729,34,14,,
RB_SM_0052,fondo2,-8.725,28,,8,
DEC_CHEMBL11796,fondo,-8.708,34,15,,
DEC_CHEMBL23220,fondo,-8.667,26,16,,
DEC_CHEMBL1214124,fondo,-8.649,27,17,,
RB_SM_0031,fondo2,-8.632,32,,9,
DEC_CHEMBL607833,fondo,-8.628,47,18,,
DEC_CHEMBL2105722,fondo,-8.577,24,19,,
DEC_CHEMBL4435182,fondo,-8.575,43,20,,
DEC_CHEMBL1173055,fondo,-8.538,24,21,,
DEC_CHEMBL20297,fondo,-8.464,24,22,,
RB_SM_0055A,fondo2,-8.458,23,,10,
RB_SM_0096,fondo2,-8.451,33,,11,
RB_SM_0115,fondo2,-8.41,24,,12,
DEC_CHEMBL4434945,fondo,-8.407,33,23,,
DEC_CHEMBL1094636,fondo,-8.37,24,24,,
DEC_CHEMBL3310561,fondo,-8.368,25,25,,
RB_SM_0149,fondo2,-8.366,27,,13,
DEC_CHEMBL10183,fondo,-8.349,43,26,,
DEC_CHEMBL4436055,fondo,-8.347,43,27,,
RB_SM_0092,fondo2,-8.347,30,,14,
DEC_CHEMBL25353,fondo,-8.312,38,28,,
DEC_CHEMBL4543361,fondo,-8.31,25,29,,
RB_SM_0091,fondo2,-8.301,28,,15,
RB_SM_0029,fondo2,-8.291,31,,16,
DEC_CHEMBL1429984,fondo,-8.278,29,30,,
RB_SM_0124,fondo2,-8.268,32,,17,
DEC_CHEMBL452,fondo,-8.267,22,31,,
RB_SM_0030,fondo2,-8.266,30,,18,
RB_SM_0027A,fondo2,-8.265,28,,19,
DEC_CHEMBL42,fondo,-8.239,23,32,,
RB_SM_0023,fondo2,-8.221,36,,20,
DEC_CHEMBL1214724,fondo,-8.206,25,33,,
DEC_CHEMBL17479,fondo,-8.197,23,34,,
RB_SM_0095,fondo2,-8.186,29,,21,
DEC_CHEMBL23584,fondo,-8.17,25,35,,
DEC_CHEMBL24738,fondo,-8.17,26,36,,
DEC_CHEMBL1162123,fondo,-8.166,24,37,,
DEC_CHEMBL3309778,fondo,-8.165,33,38,,
DEC_CHEMBL1113,fondo,-8.158,22,39,,
DEC_CHEMBL4582651,fondo,-8.155,39,40,,
RB_SM_0070,fondo2,-8.154,44,,22,
RB_SM_0089,fondo2,-8.154,26,,23,
RB_SM_0003,fondo2,-8.152,30,,24,
RB_SM_0119,fondo2,-8.143,21,,25,
RB_SM_0049,fondo2,-8.139,26,,26,
DEC_CHEMBL1435671,fondo,-8.129,24,41,,
RB_SM_0009,fondo2,-8.126,26,,27,
DEC_CHEMBL1480241,fondo,-8.122,24,42,,
DEC_CHEMBL3309985,fondo,-8.12,24,43,,
RB_SM_0082,fondo2,-8.115,28,,28,
nTRD22,positivo,-8.097,29,,,
RB_SM_0022A,fondo2,-8.085,28,,29,
RB_SM_0150,fondo2,-8.079,31,,30,
PE859,positivo,-8.068,34,,,
DEC_CHEMBL1434388,fondo,-8.054,32,44,,
berberrubine,positivo,-8.04,24,,,
DEC_CHEMBL26485,fondo,-8.032,39,45,,
DEC_CHEMBL9112,fondo,-8.031,23,46,,
DEC_CHEMBL1309718,fondo,-8.025,26,47,,
DEC_CHEMBL19153,fondo,-7.97,25,48,,
DEC_CHEMBL582415,fondo,-7.965,34,49,,
DEC_CHEMBL22434,fondo,-7.961,24,50,,
DEC_CHEMBL8960,fondo,-7.945,24,51,,
DEC_CHEMBL4543422,fondo,-7.94,37,52,,
DEC_CHEMBL10923,fondo,-7.922,33,53,,
DEC_CHEMBL11010,fondo,-7.897,34,54,,
DEC_CHEMBL218650,fondo,-7.897,38,55,,
DEC_CHEMBL22561,fondo,-7.892,24,56,,
DEC_CHEMBL1323007,fondo,-7.888,25,57,,
RB_SM_0094,fondo2,-7.882,31,,31,
RB_SM_0129,fondo2,-7.87,35,,32,
DEC_CHEMBL7640,fondo,-7.845,23,58,,
RB_SM_0086,fondo2,-7.842,23,,33,
DEC_CHEMBL3309781,fondo,-7.834,25,59,,
DEC_CHEMBL500370,fondo,-7.828,43,60,,
RB_SM_0072,fondo2,-7.817,38,,34,
DEC_CHEMBL1733879,fondo,-7.813,20,61,,
DEC_CHEMBL1314282,fondo,-7.806,36,62,,
DEC_CHEMBL1201244,fondo,-7.784,38,63,,
DEC_CHEMBL3311228,fondo,-7.773,37,64,,
DEC_CHEMBL1900316,fondo,-7.769,34,65,,
RB_SM_0028,fondo2,-7.767,27,,35,
RB_SM_0093,fondo2,-7.767,31,,36,
DEC_CHEMBL1304194,fondo,-7.764,22,66,,
RB_SM_0038,fondo2,-7.756,30,,37,
RB_SM_0120,fondo2,-7.755,21,,38,
RB_SM_0101,fondo2,-7.753,36,,39,
RB_SM_0102,fondo2,-7.748,38,,40,
DEC_CHEMBL7340,fondo,-7.741,23,67,,
RB_SM_0106,fondo2,-7.74,38,,41,
RB_SM_0090,fondo2,-7.73,28,,42,
DEC_CHEMBL2136283,fondo,-7.706,25,68,,
RB_SM_0135,fondo2,-7.698,18,,43,
RB_SM_0048,fondo2,-7.694,22,,44,
DEC_CHEMBL17272,fondo,-7.691,33,69,,
RB_SM_0053,fondo2,-7.691,28,,45,
RB_SM_0138,fondo2,-7.679,37,,46,
RB_SM_0017,fondo2,-7.678,28,,47,
DEC_CHEMBL2356527,fondo,-7.675,24,70,,
RB_SM_0123,fondo2,-7.674,21,,48,
RB_SM_0020,fondo2,-7.673,35,,49,
RB_SM_0145,fondo2,-7.672,48,,50,
RB_SM_0122,fondo2,-7.669,30,,51,
DEC_CHEMBL1200907,fondo,-7.64,24,71,,
DEC_CHEMBL1330042,fondo,-7.628,20,72,,
DEC_CHEMBL4436208,fondo,-7.628,38,73,,
RB_SM_0133,fondo2,-7.603,21,,52,
RB_SM_0016,fondo2,-7.593,22,,53,
DEC_CHEMBL1322110,fondo,-7.59,20,74,,
DEC_CHEMBL1466,fondo,-7.587,25,75,,
DEC_CHEMBL2165609,fondo,-7.583,22,76,,
RB_SM_0153,fondo2,-7.573,27,,54,
RB_SM_0037,fondo2,-7.543,29,,55,
RB_SM_0035,fondo2,-7.541,25,,56,
RB_SM_0151,fondo2,-7.54,48,,57,
DEC_CHEMBL25585,fondo,-7.537,40,77,,
RB_SM_0121,fondo2,-7.531,29,,58,
DEC_CHEMBL1164909,fondo,-7.525,42,78,,
RB_SM_0024,fondo2,-7.516,32,,59,
RB_SM_0026,fondo2,-7.51,23,,60,
RB_SM_0015,fondo2,-7.501,25,,61,
DEC_CHEMBL29606,fondo,-7.5,25,79,,
RB_SM_0074,fondo2,-7.494,29,,62,
RB_SM_0066,fondo2,-7.493,21,,63,
RB_SM_0134,fondo2,-7.486,19,,64,
RB_SM_0139,fondo2,-7.484,38,,65,
RB_SM_0136,fondo2,-7.472,36,,66,
RB_SM_0069,fondo2,-7.469,49,,67,
DEC_CHEMBL245807,fondo,-7.461,24,80,,
RB_SM_0001,fondo2,-7.453,29,,68,
RB_SM_0107,fondo2,-7.448,50,,69,
RB_SM_0060,fondo2,-7.444,24,,70,
DEC_CHEMBL1200585,fondo,-7.431,24,81,,
DEC_CHEMBL1733891,fondo,-7.415,25,82,,
RB_SM_0147,fondo2,-7.415,24,,71,
DEC_CHEMBL3355357,fondo,-7.407,24,83,,
DEC_CHEMBL16415,fondo,-7.4,24,84,,
DEC_CHEMBL1274,fondo,-7.399,22,85,,
RB_SM_0054,fondo2,-7.398,27,,72,
DEC_CHEMBL1090397,fondo,-7.394,24,86,,
DEC_CHEMBL63857,fondo,-7.392,24,87,,
DEC_CHEMBL3214262,fondo,-7.39,26,88,,
RB_SM_0067,fondo2,-7.387,28,,73,
