ligand,target,energy,category
Genistein,TDP43,0.0,EGCG
Genistein,SOD1,0.0,EGCG
Berberine,SOD1,0.0,Isoflavona
Cannabidiol,SOD1,0.0,Alcaloide
Aspirin,TDP43,0.0,CBD
Paracetamol,TDP43,0.0,AINE
Paracetamol,SOD1,0.0,AINE
Lamotrigine,TDP43,0.0,Anticonvulsivo
Lamotrigine,SOD1,0.0,Anticonvulsivo
TUDCA,SOD1,0.0,Energia-celular
Ursolic_Acid,TDP43,0.0,Acido-biliar
Ursolic_Acid,SOD1,0.0,Acido-biliar
Melatonin,TDP43,0.0,Triterpeno
Riboflavin,TDP43,0.0,Neurohormona
Pyridoxine,TDP43,0.0,Vitamina B1
Folic_Acid,SOD1,0.0,Vitamina B6
Nicotinamide,TDP43,0.0,Vitamina B9
Nicotinamide,SOD1,0.0,Vitamina B9
Ezogabine,TDP43,0.0,HSP-coinducer
AMX0035,TDP43,0.0,TKI-mastocitos
Deferiprone,TDP43,0.0,Fenilbutirato-TUDCA
Deferiprone,SOD1,0.0,Fenilbutirato-TUDCA
Baicalein,TDP43,0.0,Purina-analogo
Baicalein,SOD1,0.0,Purina-analogo
Luteolin,TDP43,0.0,Flavonoide
Luteolin,SOD1,0.0,Flavonoide
Apigenin,SOD1,0.0,Flavonoide
Fisetin,TDP43,0.0,Flavonoide
Sulforaphane,SOD1,0.0,Flavonoide
Diclofenac,SOD1,4.211e-06,AINE
Prednisone,SOD1,4.435e-06,AINE
Lenalidomide,TDP43,4.825e-06,Inmunomodulador
Omeprazole,TDP43,1.074e-05,Analgesico
N-Acetylcysteine,TDP43,1.147e-05,Corticoide
Ropinirole,SOD1,1.163e-05,Parkinson
Cannabidiol,TDP43,6.499e-05,Alcaloide
Celecoxib,SOD1,9.376e-05,Parkinson
Alpha-Lipoic_Acid,SOD1,0.0001004,Mitocondrial
Apigenin,TDP43,0.0001201,Flavonoide
Rosiglitazone,SOD1,0.0001231,PPAR-gamma
Escitalopram,TDP43,0.0001681,ISRS
Selegiline,SOD1,0.0002028,Parkinson
Gabapentin,SOD1,0.0009515,ISRS
