ligando,fichero,afinidad,pesados,quimia_murcko,residuo_sin_tamano,puesto_frente_a_los_tres_fondos,n_fondo,cuantil
isoproterenol,ACT_isoproterenol,-4.723,15,c1ccccc1,0.092,377,482,78.1
adrenalina,ACT_adrenalina,-4.771,13,c1ccccc1,-0.166,363,482,75.2
dopamina,ACT_dopamina,-4.698,11,c1ccccc1,-0.303,380,482,78.7
5-fluorouridina,ACT_5-fluorouridina,-5.354,18,O=c1ccn(C2CCCO2)c(=O)[nH]1,-0.224,200,482,41.4
quinazolina_12I,ACT_quinazolina_12I,-4.965,17,c1ccc2c(N3CCNCC3)ncnc2c1,0.06,311,482,64.4
diazepanoquinazolina_4MQ,ACT_diazepanoquinazolina_4MQ,-10.024,20,c1ccc2c(N3CCCNCC3)ncnc2c1,-4.684,8,482,1.7
cf3quinazolina_ZO0,ACT_cf3quinazolina_ZO0,-9.766,24,c1ccc2c(N3CCCNCC3)ncnc2c1,-4.006,10,482,2.1
anilina_ZZT,ACT_anilina_ZZT,-4.581,10,c1ccccc1,-0.291,407,482,84.3
paliperidona_K4I,ACT_paliperidona_K4I,-6.138,31,O=c1c(CCN2CCC(c3noc4ccccc34)CC2)cnc2n1CCCC2,0.356,51,482,10.6
Lig9_6B3,ACT_Lig9_6B3,-6.447,33,O=C(Nc1ccc2c(c1)[nH]c(=O)c1ccccc12)c1ccccc1-c1ccccc1,0.257,26,482,5.4
naftalenoaminoalcohol_946,ACT_naftalenoaminoalcohol_946,-5.344,23,c1ccc(CCNCc2ccc3ccccc3c2)cc1,0.311,202,482,41.8
LCS-1,ACT_LCS-1,-4.859,16,O=c1cccnn1-c1ccccc1,0.061,348,482,72.0
PRG-A01,ACT_PRG-A01,-6.116,31,O=C(C=Cc1ccccc1)OC1COc2cc3oc(=O)ccc3cc2C1,0.378,51,482,10.6
CHEMBL2165613,ACT_CHEMBL2165613,-5.979,20,O=c1cc(COc2cccc(-c3ccccc3)c2)[nH][nH]1,-0.639,62,482,12.8
