familia,n_activos,fondo,n_fondo,media_activos,media_fondo,AUC,AUC_sin_tamano,EF1%,EF5%
catecolaminas (1 quimia),3,emparejado nuevo,140,-4.73,-5.24,0.326,0.643,0.0,0.0
catecolaminas (1 quimia),3,emparejado antiguo,199,-4.73,-5.24,0.169,0.73,0.0,0.0
catecolaminas (1 quimia),3,duro,143,-4.73,-5.47,0.214,0.611,0.0,0.0
catecolaminas (1 quimia),3,los tres juntos,482,-4.73,-5.31,0.228,0.669,0.0,0.0
"cristalizadas, quimias nuevas",8,emparejado nuevo,140,-6.58,-5.24,0.724,0.617,0.0,5.0
"cristalizadas, quimias nuevas",8,emparejado antiguo,199,-6.58,-5.24,0.688,0.678,25.0,7.5
"cristalizadas, quimias nuevas",8,duro,143,-6.58,-5.47,0.65,0.6,0.0,5.0
"cristalizadas, quimias nuevas",8,los tres juntos,482,-6.58,-5.31,0.687,0.637,0.0,5.0
Lig9 sola (manjula),1,emparejado nuevo,140,-6.45,-5.24,0.943,0.379,0.0,0.0
Lig9 sola (manjula),1,emparejado antiguo,199,-6.45,-5.24,0.985,0.432,0.0,20.0
Lig9 sola (manjula),1,duro,143,-6.45,-5.47,0.902,0.343,0.0,0.0
Lig9 sola (manjula),1,los tres juntos,482,-6.45,-5.31,0.948,0.39,0.0,0.0
paliperidona sola (farmaco),1,emparejado nuevo,140,-6.14,-5.24,0.871,0.307,0.0,0.0
paliperidona sola (farmaco),1,emparejado antiguo,199,-6.14,-5.24,0.95,0.367,0.0,0.0
paliperidona sola (farmaco),1,duro,143,-6.14,-5.47,0.846,0.294,0.0,0.0
paliperidona sola (farmaco),1,los tres juntos,482,-6.14,-5.31,0.896,0.328,0.0,0.0
sin estructura (actividad celular),2,emparejado nuevo,140,-5.49,-5.24,0.632,0.4,0.0,0.0
sin estructura (actividad celular),2,emparejado antiguo,199,-5.49,-5.24,0.583,0.472,0.0,0.0
sin estructura (actividad celular),2,duro,143,-5.49,-5.47,0.552,0.385,0.0,0.0
sin estructura (actividad celular),2,los tres juntos,482,-5.49,-5.31,0.588,0.425,0.0,0.0
serie pirazolona,1,emparejado nuevo,140,-5.98,-5.24,0.85,0.879,0.0,0.0
serie pirazolona,1,emparejado antiguo,199,-5.98,-5.24,0.94,0.945,0.0,0.0
serie pirazolona,1,duro,143,-5.98,-5.47,0.804,0.867,0.0,0.0
serie pirazolona,1,los tres juntos,482,-5.98,-5.31,0.873,0.902,0.0,0.0
cristalizadas + sin estructura,10,emparejado nuevo,140,-6.36,-5.24,0.706,0.574,0.0,4.0
cristalizadas + sin estructura,10,emparejado antiguo,199,-6.36,-5.24,0.667,0.637,20.0,6.0
cristalizadas + sin estructura,10,duro,143,-6.36,-5.47,0.631,0.557,0.0,4.0
cristalizadas + sin estructura,10,los tres juntos,482,-6.36,-5.31,0.667,0.595,0.0,4.0
todos los controles,14,emparejado nuevo,140,-5.98,-5.24,0.635,0.61,0.0,2.86
todos los controles,14,emparejado antiguo,199,-5.98,-5.24,0.58,0.679,14.29,4.29
todos los controles,14,duro,143,-5.98,-5.47,0.554,0.59,0.0,2.86
todos los controles,14,los tres juntos,482,-5.98,-5.31,0.588,0.633,0.0,2.86
